gene_id,category,degree
Os10g0556100,Cell wall responsive gene,30
Os02g0743400,Auxin responsive gene,29
Os08g0237000,Cell wall responsive gene,29
Os03g0822000,Cell wall responsive gene,27
Os03g0633800,Auxin responsive gene,26
Os04g0671900,Auxin responsive gene,26
Os03g0742900,Auxin responsive gene,26
Os01g0856500,Auxin responsive gene,26
Os05g0210100,Ethyelene signalling gene,25
Os11g0539200,Cell wall responsive gene,25
Os06g0232300,Auxin responsive gene,24
Os03g0157300,Mechano sensing gene,24
Os08g0420600,Mechano sensing gene,23
Os12g0133800,Auxin responsive gene,23
Os12g0601400,Auxin responsive gene,22
Os11g0137000,Auxin responsive gene,22
Os04g0397000,Jasmonate responsive gene,21
Os03g0302900,Cell wall responsive gene,21
Os05g0477600,Cell wall responsive gene,21
Os06g0614100,Mechano sensing gene,21
Os03g0633500,Auxin responsive gene,20
Os06g0660200,Auxin responsive gene,19
Os03g0324300,Ethyelene signalling gene,17
Os05g0213500,ABA repsonsive gene,16
Os10g0397400,Cell wall responsive gene,16
Os03g0707600,Jasmonate responsive gene,16
Os03g0438100,Jasmonate responsive gene,14
Os06g0597000,Auxin responsive gene,12
Os05g0563400,Auxin responsive gene,10
Os06g0654300,Ethyelene signalling gene,10
Os03g0810800,ABA repsonsive gene,9
Os03g0319400,Mechano sensing gene,7
Os02g0512000,Auxin responsive gene,7
Os01g0853400,Jasmonate responsive gene,7
Os05g0403300,Mechano sensing gene,7
Os01g0580500,Ethyelene signalling gene,6
Os08g0537900,Ethyelene signalling gene,6
Os03g0301200,Cell wall responsive gene,6
Os05g0149400,Ethyelene signalling gene,6
Os05g0148700,Mechano sensing gene,6
Os03g0313600,Mechano sensing gene,5
Os06g0335500,Auxin responsive gene,5
Os08g0109400,Auxin responsive gene,5
Os01g0169800,Ethyelene signalling gene,5
Os06g0194000,Ethyelene signalling gene,5
Os01g0867300,ABA repsonsive gene,5
Os11g0186900,Ethyelene signalling gene,5
Os11g0572700,Ethyelene signalling gene,5
Os10g0573400,ABA repsonsive gene,4
Os09g0518200,Cell wall responsive gene,4
Os06g0562200,ABA repsonsive gene,3
Os05g0586200,Jasmonate responsive gene,3
Os11g0593000,Mechano sensing gene,3
Os06g0130400,Mechano sensing gene,3
Os01g0663300,Cell wall responsive gene,3
Os06g0166500,Auxin responsive gene,3
Os06g0657500,Auxin responsive gene,2
Os11g0523800,Auxin responsive gene,2
Os01g0273800,Auxin responsive gene,2
Os09g0286600,Ethyelene signalling gene,2
Os12g0586100,ABA repsonsive gene,2
Os01g0128300,Ethyelene signalling gene,2
Os01g0656200,ABA repsonsive gene,2
Os01g0221100,Jasmonate responsive gene,2
Os06g0216300,Jasmonate responsive gene,2
Os03g0300300,Mechano sensing gene,2
Os04g0653000,Jasmonate responsive gene,2
Os02g0799000,ABA repsonsive gene,1
Os02g0766700,ABA repsonsive gene,1
Os09g0451400,Ethyelene signalling gene,1
Os04g0578000,Ethyelene signalling gene,1
Os03g0180900,Jasmonate responsive gene,1
Os09g0439200,Jasmonate responsive gene,1
Os01g0231000,Auxin responsive gene,1
Os01g0802700,Auxin responsive gene,1
Os01g0178500,Auxin responsive gene,1
Os01g0190300,Auxin responsive gene,1
Os12g0613700,Auxin responsive gene,1
Os03g0741100,Jasmonate responsive gene,1
Os04g0583500,Cell wall responsive gene,1
Os03g0332100,Cell wall responsive gene,1
Os03g0284100,Mechano sensing gene,1
Os03g0283100,Mechano sensing gene,1
Os03g0283000,Mechano sensing gene,1
Os04g0613600,Mechano sensing gene,1
Os02g0532300,Mechano sensing gene,1
Os03g0764900,Mechano sensing gene,1
