gene_1,gene_2,r,gene_1_category,gene_2_category
Os01g0856500,Os02g0743400,0.9920069906995502,Auxin responsive gene,Auxin responsive gene
Os05g0210100,Os01g0856500,0.990178480374907,Ethyelene signalling gene,Auxin responsive gene
Os01g0856500,Os12g0601400,0.9880538655435482,Auxin responsive gene,Auxin responsive gene
Os03g0633800,Os12g0601400,0.9879299310737162,Auxin responsive gene,Auxin responsive gene
Os05g0210100,Os02g0743400,0.9878209893377442,Ethyelene signalling gene,Auxin responsive gene
Os06g0232300,Os02g0743400,0.9868586643748586,Auxin responsive gene,Auxin responsive gene
Os05g0210100,Os06g0232300,0.9863575784054793,Ethyelene signalling gene,Auxin responsive gene
Os02g0743400,Os12g0601400,0.9854223752398932,Auxin responsive gene,Auxin responsive gene
Os05g0210100,Os12g0601400,0.9842019803216147,Ethyelene signalling gene,Auxin responsive gene
Os01g0856500,Os06g0232300,0.9836532755470235,Auxin responsive gene,Auxin responsive gene
Os04g0671900,Os08g0420600,0.9822844471544236,Auxin responsive gene,Mechano sensing gene
Os12g0601400,Os05g0477600,0.9804937870555074,Auxin responsive gene,Cell wall responsive gene
Os03g0822000,Os08g0237000,0.9804842653659793,Cell wall responsive gene,Cell wall responsive gene
Os06g0232300,Os12g0601400,0.9791127986045313,Auxin responsive gene,Auxin responsive gene
Os01g0856500,Os03g0157300,0.9784306019443986,Auxin responsive gene,Mechano sensing gene
Os10g0556100,Os11g0539200,0.9776437139103852,Cell wall responsive gene,Cell wall responsive gene
Os06g0232300,Os03g0157300,0.9772345172654823,Auxin responsive gene,Mechano sensing gene
Os06g0216300,Os09g0518200,0.9766725491990985,Jasmonate responsive gene,Cell wall responsive gene
Os12g0601400,Os10g0397400,0.9762424865170795,Auxin responsive gene,Cell wall responsive gene
Os05g0210100,Os03g0742900,0.97566482165889,Ethyelene signalling gene,Auxin responsive gene
Os12g0601400,Os03g0157300,0.9756573326054817,Auxin responsive gene,Mechano sensing gene
Os03g0742900,Os03g0633500,0.9753513890095213,Auxin responsive gene,Auxin responsive gene
Os12g0133800,Os11g0137000,0.9749895721835253,Auxin responsive gene,Auxin responsive gene
Os05g0477600,Os08g0420600,0.9748426360412649,Cell wall responsive gene,Mechano sensing gene
Os03g0633800,Os05g0477600,0.974690049889529,Auxin responsive gene,Cell wall responsive gene
Os01g0856500,Os05g0477600,0.974578991837061,Auxin responsive gene,Cell wall responsive gene
Os06g0660200,Os05g0477600,0.974365101696216,Auxin responsive gene,Cell wall responsive gene
Os04g0671900,Os12g0601400,0.9739435635677464,Auxin responsive gene,Auxin responsive gene
Os02g0743400,Os03g0157300,0.9738920662163716,Auxin responsive gene,Mechano sensing gene
Os06g0660200,Os06g0232300,0.9736505292560922,Auxin responsive gene,Auxin responsive gene
Os05g0210100,Os03g0157300,0.9726811413856138,Ethyelene signalling gene,Mechano sensing gene
Os03g0742900,Os10g0556100,0.9726449895985333,Auxin responsive gene,Cell wall responsive gene
Os02g0743400,Os05g0477600,0.972594490753663,Auxin responsive gene,Cell wall responsive gene
Os04g0671900,Os02g0743400,0.9722606766221618,Auxin responsive gene,Auxin responsive gene
