"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os11g0206000",6000.25706357351,-11.5319741900687,0.383221341291248,-30.0922024624522,6.12850151131401e-199,8.92371105062433e-195
"Os04g0419400",3275.01064017567,-9.97752892576684,0.356297054250807,-28.0033999909058,1.47704286597004e-172,1.43381474475932e-168
"Os07g0158900",1714.30790209154,-6.13706913313303,0.245199585371931,-25.0288723931732,2.96567540661813e-138,2.15915997978833e-134
"Os04g0330301",4251.01562191594,-12.3305847018633,0.510796090258175,-24.1399355575156,9.52447685239961e-129,4.62286358159302e-125
"Os12g0285100",6914.12466240811,-4.50459055916126,0.193253354973594,-23.3092489378865,3.57224557710008e-120,1.48615622423298e-116
"Os06g0720000",1106.94273329244,-6.76127409307219,0.360595326529286,-18.7503098227843,1.92466513492658e-78,5.09546345993927e-75
"Os11g0178200",485.863040321613,-4.55541716959745,0.250349518782825,-18.196228983165,5.52851261156177e-74,1.12091099196791e-70
"Os12g0234800",1072.29740667768,-8.88336118132545,0.488261682247914,-18.1938528135717,5.77352684551837e-74,1.12091099196791e-70
"Os04g0367400",843.622228164098,-2.60327608009715,0.147135290504304,-17.6930773791554,4.74138277944502e-70,8.1222676060587e-67
"Os06g0621500",411.91734475052,-6.91673364598621,0.396646304107787,-17.4380388128024,4.24388977971433e-68,6.86614212026893e-65
"Os01g0120300",6099.69505321205,-3.31361118215689,0.194311749275676,-17.0530665001413,3.31667073210534e-65,4.82940425301859e-62
"Os11g0550500",1387.7681456804,-11.6430830647675,0.6938870398137,-16.7795078978468,3.44680508654995e-63,4.77989798716702e-60
"Os12g0505800",669.282348320574,-9.53362585787867,0.596056871299316,-15.9944903195173,1.39596075389304e-57,1.69388204478638e-54
"Os09g0340400",5650.95426600877,-16.2667639663096,1.0445872796661,-15.5724316033306,1.12064731048689e-54,1.20872188799997e-51
"Os07g0220600",2397.33514320164,-2.88740050400692,0.185841265097421,-15.5369180385922,1.95145076107228e-54,2.02964818085525e-51
"Os03g0673700",1015.83761394673,-6.07057333615248,0.392675911272056,-15.4595002186081,6.51016741241141e-54,6.53755501324983e-51
"Os11g0549665",3786.46860455582,-15.6645167904689,1.03130434170585,-15.1890340775244,4.18034233869672e-52,4.05799765291753e-49
