"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os05g0103800",2721.38633137372,5.78528950691658,0.191352830469854,30.2336238910665,8.5656484431934e-201,2.49448813962678e-196
"Os11g0206000",6000.25706357351,-11.5319741900687,0.383221341291248,-30.0922024624522,6.12850151131401e-199,8.92371105062433e-195
"Os04g0419400",3275.01064017567,-9.97752892576684,0.356297054250807,-28.0033999909058,1.47704286597004e-172,1.43381474475932e-168
"Os07g0158900",1714.30790209154,-6.13706913313303,0.245199585371931,-25.0288723931732,2.96567540661813e-138,2.15915997978833e-134
"Os03g0223301",1656.8938709551,9.25952571534034,0.372035752002257,24.8888061577592,9.83556003518901e-137,5.72862358689549e-133
"Os04g0330301",4251.01562191594,-12.3305847018633,0.510796090258175,-24.1399355575156,9.52447685239961e-129,4.62286358159302e-125
"Os12g0285100",6914.12466240811,-4.50459055916126,0.193253354973594,-23.3092489378865,3.57224557710008e-120,1.48615622423298e-116
"Os11g0100100",1837.81959208272,9.07066573383005,0.452584604231463,20.0419228781169,2.37416341605153e-89,8.64254837528157e-86
"Os01g0124650",3718.9375930627,6.32056585924633,0.328477548432844,19.2420026555895,1.64719657971091e-82,5.32996208826011e-79
"Os04g0688300",8230.49582431886,6.31918218351269,0.32921631089609,19.1946206016117,4.10468978932937e-82,1.1953677604485e-78
"Os06g0720000",1106.94273329244,-6.76127409307219,0.360595326529286,-18.7503098227843,1.92466513492658e-78,5.09546345993927e-75
"Os08g0205100",754.747109437376,4.41676161338353,0.238581974653114,18.5125536822523,1.6355969125897e-76,3.96932110736977e-73
"Os01g0270100",3881.47663619082,2.43617402121665,0.133605105403823,18.2341386869407,2.76576628473305e-74,6.19574198030738e-71
"Os11g0178200",485.863040321613,-4.55541716959745,0.250349518782825,-18.196228983165,5.52851261156177e-74,1.12091099196791e-70
"Os12g0234800",1072.29740667768,-8.88336118132545,0.488261682247914,-18.1938528135717,5.77352684551837e-74,1.12091099196791e-70
"Os11g0684700",896.299658473009,9.84642139936389,0.542170428184813,18.1611185108891,1.0486623863834e-73,1.90869662601609e-70
"Os04g0367400",843.622228164098,-2.60327608009715,0.147135290504304,-17.6930773791554,4.74138277944502e-70,8.1222676060587e-67
"Os06g0621500",411.91734475052,-6.91673364598621,0.396646304107787,-17.4380388128024,4.24388977971433e-68,6.86614212026893e-65
"Os07g0539300",3626.18133247691,4.72655387201146,0.275089268279505,17.1818911787175,3.62885596765103e-66,5.56208123631228e-63
"Os01g0120300",6099.69505321205,-3.31361118215689,0.194311749275676,-17.0530665001413,3.31667073210534e-65,4.82940425301859e-62
"Os11g0550500",1387.7681456804,-11.6430830647675,0.6938870398137,-16.7795078978468,3.44680508654995e-63,4.77989798716702e-60
"Os11g0263000",929.603450683741,9.87092863915573,0.603304439327705,16.3614387624189,3.60508899264579e-60,4.77215462017412e-57
"Os02g0228300",4347.78656666197,4.55316563219705,0.28239525653003,16.1233785869659,1.74786460977767e-58,2.21310057243241e-55
"Os12g0505800",669.282348320574,-9.53362585787867,0.596056871299316,-15.9944903195173,1.39596075389304e-57,1.69388204478638e-54
"Os03g0111600",1592.13065425048,1.94675052162478,0.121787151714336,15.9848596031795,1.62933605073405e-57,1.89798097877909e-54
"Os03g0269100",628.951111375586,7.60812055421547,0.486167427330396,15.6491778891741,3.36538910413308e-55,3.76949467271398e-52
"Os09g0340400",5650.95426600877,-16.2667639663096,1.0445872796661,-15.5724316033306,1.12064731048689e-54,1.20872188799997e-51
"Os07g0220600",2397.33514320164,-2.88740050400692,0.185841265097421,-15.5369180385922,1.95145076107228e-54,2.02964818085525e-51
"Os03g0673700",1015.83761394673,-6.07057333615248,0.392675911272056,-15.4595002186081,6.51016741241141e-54,6.53755501324983e-51
"Os11g0549665",3786.46860455582,-15.6645167904689,1.03130434170585,-15.1890340775244,4.18034233869672e-52,4.05799765291753e-49
"Os08g0367300",3982.81015447332,-15.8404803513119,1.04481144655142,-15.1610899780971,6.39983607885887e-52,6.0121298802751e-49
"Os07g0115200",8113.83086725003,-16.5251659431999,1.09399722227372,-15.1053088680195,1.49404685888374e-51,1.35967601951288e-48
"Os01g0942900",3700.73753492067,-15.6426508696082,1.03603988463319,-15.0985025785435,1.65652695583416e-51,1.46185993963037e-48
"Os03g0847500",2775.3076488994,-3.38108519334577,0.225232909331112,-15.0115061044444,6.17299541223801e-51,5.28735212927045e-48
"Os04g0194800",484.355905075427,-2.89162664146184,0.19279193131369,-14.9986911887765,7.48813590183337e-51,6.23055696380547e-48
"Os09g0241700",4318.0165116435,-15.8347484414185,1.05657634778982,-14.986847353286,8.95019100714567e-51,7.24020729194712e-48
"Os02g0129000",3205.69719204619,-15.583710576038,1.04053249513355,-14.9766688199755,1.04316105195768e-50,8.21052328516527e-48
"Os07g0215200",889.937215885054,8.42549469932042,0.56623382807135,14.8798858026878,4.4525884442858e-50,3.4123231756445e-47
"Os12g0179700",1030.93937263379,7.99533587420497,0.537564926541363,14.8732468943726,4.91696800522566e-50,3.67158826277389e-47
"Os10g0394000",1107.70940567491,4.17561477417306,0.281252839052664,14.8464804417181,7.33181589936583e-50,5.33792856553329e-47
"Os12g0551900",444.165415756879,-5.04780949866547,0.340048776018964,-14.8443689689504,7.56634329527288e-50,5.3743182791448e-47
"Os06g0271500",3048.33312335711,-15.3783252210348,1.04057847700707,-14.7786308873754,2.01214868129859e-49,1.39518556897089e-46
"Os09g0365300",611.24973227875,9.49578822332433,0.643853267807994,14.7483731124839,3.1517094157917e-49,2.13451352573688e-46
"Os01g0541000",2593.76712352639,-15.2870177956227,1.04386291963902,-14.6446602403591,1.45727893476928e-48,9.64519934962523e-46
"Os06g0713400",2340.4224845483,-15.205087781069,1.03855788419639,-14.6405780673788,1.54746932474464e-48,1.0014533705603e-45
"Os12g0554000",1622.6425376143,2.39998651932742,0.163981594590216,14.6357066799167,1.66239397543288e-48,1.05243994244687e-45
"Os11g0308100",2542.71169724669,-15.1057642223638,1.03244151938776,-14.6311088218553,1.77864596963131e-48,1.10207931760857e-45
"Os01g0943800",2770.09287164609,-15.1393504733386,1.03710471979812,-14.5977066580949,2.90452501585022e-48,1.76219953149146e-45
"Os02g0800433",361.859036191939,-9.15069900429392,0.627527209815299,-14.5821549427112,3.64816556439856e-48,2.16820158298806e-45
"Os02g0166600",3233.85497277277,4.56085121171393,0.313025730972768,14.5702118402231,4.34541440033656e-48,2.53094316333202e-45
"Os01g0781700",863.32201739537,4.68411367596136,0.323043283078664,14.4999568829318,1.21226018594301e-47,6.92224335981024e-45
"Os07g0281000",3099.33737457677,2.04001580024679,0.142445918344714,14.321335591449,1.60999058682846e-46,9.01656651338815e-44
"Os02g0800750",385.107252323928,-9.23838212423662,0.645320844616724,-14.3159518266043,1.73965872387237e-46,9.55893233143605e-44
"Os07g0213400",1564.32995675392,1.55123312813406,0.108398416591637,14.3104777441346,1.882158921226e-46,1.01504133525821e-43
"Os01g0539400",2008.78177089311,-14.8277942786686,1.03770928713705,-14.2889675003075,2.56382395782277e-46,1.35752147817663e-43
"Os10g0571900",311.662326020533,7.87720948802897,0.552814688222568,14.2492767573815,4.52947865101097e-46,2.35549066562039e-43
"Os06g0135000",2607.00446809382,-15.1004445211142,1.06177596413874,-14.2218745113175,6.70330011731917e-46,3.42479835116787e-43
"Os01g0116400",1568.26954873529,7.10097749131895,0.499922587464934,14.2041541417991,8.63388474250644e-46,4.33510330122884e-43
"Os06g0113600",864.082207433655,-5.50396928905484,0.389265182597872,-14.1393824444368,2.17181886390729e-45,1.07199506702895e-42
"Os02g0687900",6545.06662103531,2.26389414244016,0.160821158260165,14.0770913910332,5.25276121878299e-45,2.54951520355664e-42
"Os09g0392666",1480.94852117138,4.10320671818439,0.291515158306888,14.0754489132425,5.37624073027487e-45,2.56667020568958e-42
"Os01g0138800",1367.72439819255,2.26224194509032,0.161518244250242,14.0061078275802,1.43031798571989e-44,6.71834199679592e-42
"Os05g0155000",868.597545423975,-6.31941792453798,0.455562482607419,-13.8716820761198,9.40451983788367e-44,4.34727661458489e-41
"Os11g0549680",1814.7373892089,-14.5883886166786,1.05222260209801,-13.8643558764001,1.04156888046196e-43,4.73946389637705e-41
"Os06g0244000",3085.58848680946,-4.70900506608252,0.340471414786284,-13.8308382483105,1.66073882527554e-43,7.44062093379604e-41
"Os12g0103580",1369.75792017191,-14.2871148242444,1.03349286963109,-13.8241058492684,1.82364374885448e-43,8.04668988699095e-41
"Os11g0619500",203.682540241656,4.37832669135521,0.317403676569321,13.7941902207266,2.76237307239693e-43,1.2006840091693e-40
"Os08g0300100",417.476745867189,-9.55596581234499,0.693587295093811,-13.7775963890061,3.4765563485888e-43,1.48888638211181e-40
"Os02g0272800",155.513962170492,-5.63334669794536,0.41090689102985,-13.7095454491566,8.90137321373207e-43,3.75689551783051e-40
"Os07g0212400",1385.20250685557,-14.2703219001234,1.04225672245504,-13.6917532817726,1.1373145973442e-42,4.73155367197969e-40
"Os09g0315050",465.86665687769,-6.45718735634485,0.472662753227633,-13.6612993349935,1.72871370134833e-42,7.09064794516422e-40
