"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os05g0103800",2721.38633137372,5.78528950691658,0.191352830469854,30.2336238910665,8.5656484431934e-201,2.49448813962678e-196
"Os03g0223301",1656.8938709551,9.25952571534034,0.372035752002257,24.8888061577592,9.83556003518901e-137,5.72862358689549e-133
"Os11g0100100",1837.81959208272,9.07066573383005,0.452584604231463,20.0419228781169,2.37416341605153e-89,8.64254837528157e-86
"Os01g0124650",3718.9375930627,6.32056585924633,0.328477548432844,19.2420026555895,1.64719657971091e-82,5.32996208826011e-79
"Os04g0688300",8230.49582431886,6.31918218351269,0.32921631089609,19.1946206016117,4.10468978932937e-82,1.1953677604485e-78
"Os08g0205100",754.747109437376,4.41676161338353,0.238581974653114,18.5125536822523,1.6355969125897e-76,3.96932110736977e-73
"Os01g0270100",3881.47663619082,2.43617402121665,0.133605105403823,18.2341386869407,2.76576628473305e-74,6.19574198030738e-71
"Os11g0684700",896.299658473009,9.84642139936389,0.542170428184813,18.1611185108891,1.0486623863834e-73,1.90869662601609e-70
"Os07g0539300",3626.18133247691,4.72655387201146,0.275089268279505,17.1818911787175,3.62885596765103e-66,5.56208123631228e-63
"Os11g0263000",929.603450683741,9.87092863915573,0.603304439327705,16.3614387624189,3.60508899264579e-60,4.77215462017412e-57
"Os02g0228300",4347.78656666197,4.55316563219705,0.28239525653003,16.1233785869659,1.74786460977767e-58,2.21310057243241e-55
"Os03g0111600",1592.13065425048,1.94675052162478,0.121787151714336,15.9848596031795,1.62933605073405e-57,1.89798097877909e-54
"Os03g0269100",628.951111375586,7.60812055421547,0.486167427330396,15.6491778891741,3.36538910413308e-55,3.76949467271398e-52
"Os07g0215200",889.937215885054,8.42549469932042,0.56623382807135,14.8798858026878,4.4525884442858e-50,3.4123231756445e-47
"Os12g0179700",1030.93937263379,7.99533587420497,0.537564926541363,14.8732468943726,4.91696800522566e-50,3.67158826277389e-47
"Os10g0394000",1107.70940567491,4.17561477417306,0.281252839052664,14.8464804417181,7.33181589936583e-50,5.33792856553329e-47
"Os09g0365300",611.24973227875,9.49578822332433,0.643853267807994,14.7483731124839,3.1517094157917e-49,2.13451352573688e-46
"Os12g0554000",1622.6425376143,2.39998651932742,0.163981594590216,14.6357066799167,1.66239397543288e-48,1.05243994244687e-45
"Os02g0166600",3233.85497277277,4.56085121171393,0.313025730972768,14.5702118402231,4.34541440033656e-48,2.53094316333202e-45
"Os01g0781700",863.32201739537,4.68411367596136,0.323043283078664,14.4999568829318,1.21226018594301e-47,6.92224335981024e-45
"Os07g0281000",3099.33737457677,2.04001580024679,0.142445918344714,14.321335591449,1.60999058682846e-46,9.01656651338815e-44
"Os07g0213400",1564.32995675392,1.55123312813406,0.108398416591637,14.3104777441346,1.882158921226e-46,1.01504133525821e-43
"Os10g0571900",311.662326020533,7.87720948802897,0.552814688222568,14.2492767573815,4.52947865101097e-46,2.35549066562039e-43
"Os01g0116400",1568.26954873529,7.10097749131895,0.499922587464934,14.2041541417991,8.63388474250644e-46,4.33510330122884e-43
"Os02g0687900",6545.06662103531,2.26389414244016,0.160821158260165,14.0770913910332,5.25276121878299e-45,2.54951520355664e-42
"Os09g0392666",1480.94852117138,4.10320671818439,0.291515158306888,14.0754489132425,5.37624073027487e-45,2.56667020568958e-42
"Os01g0138800",1367.72439819255,2.26224194509032,0.161518244250242,14.0061078275802,1.43031798571989e-44,6.71834199679592e-42
"Os11g0619500",203.682540241656,4.37832669135521,0.317403676569321,13.7941902207266,2.76237307239693e-43,1.2006840091693e-40
"Os07g0124900",7176.1876094119,3.95643127452149,0.291913487860348,13.5534377103337,7.5604735965345e-42,2.97535286592267e-39
"Os01g0571700",7527.99301964961,2.43284248674988,0.181512538970486,13.4031648752677,5.79387392422347e-41,2.22012100554258e-38
"Os11g0226800",1816.69971277662,2.4526697320701,0.183989731648929,13.3304707283885,1.53923361441807e-40,5.74686683577988e-38
"Os04g0565750",648.28639209955,6.97211830290566,0.525466491719796,13.2684355953634,3.52870578164648e-40,1.30079708573555e-37
"Os07g0110100",761.057432754615,10.0623884382134,0.759704065650217,13.2451422773435,4.81368742418013e-40,1.75230256458717e-37
"Os07g0535100",241.791770825083,2.94930340344878,0.222787502102587,13.2381905430706,5.28057565853631e-40,1.89852992997401e-37
"Os02g0729300",849.17118474445,2.483284596272,0.188095685019624,13.2022411679084,8.51630557564206e-40,2.98809459004636e-37
"Os08g0232100",489.455340325859,8.69129351491894,0.662888950201734,13.1112360709497,2.83932721018566e-39,9.72786906059138e-37
"Os06g0542300",974.280193992004,3.77332418956596,0.288947586584147,13.0588534556495,5.65733983663873e-39,1.91573314793713e-36
"Os03g0183200",3610.74193637206,2.58745366888467,0.201165491399001,12.8623137641068,7.33477755473043e-38,2.24845675735642e-35
"Os12g0105600",623.211627164498,4.27174861902603,0.335376722610416,12.7371648985557,3.67508588932127e-37,1.0810692047355e-34
"Os02g0692700",2165.39124428325,2.234346519012,0.175848599908464,12.7060808000466,5.47083243353379e-37,1.57744140722149e-34
"Os02g0707200",798.694023232776,3.58739870279898,0.283912238647116,12.6355902087683,1.34382009013048e-36,3.83673810439017e-34
"Os03g0122000",982.621113585306,1.85540931871478,0.148643410397905,12.4822843727012,9.32717059119913e-36,2.53855945754113e-33
"Os12g0431100",2666.30886874637,5.21670680076523,0.418059659655186,12.4783788157603,9.79609069323015e-36,2.64149771452082e-33
"Os05g0473900",2570.37005503095,14.8817031699681,1.19275942657487,12.4767013686092,1.00046158812993e-35,2.67297636417613e-33
"Os07g0213500",684.618019617704,3.15609419862929,0.254767766881905,12.3881220817556,3.0305714430337e-35,7.81029217380772e-33
"Os03g0720400",845.204866876595,3.50424340462952,0.283829324087965,12.3463050052696,5.10005010600865e-35,1.28037637230331e-32
"Os02g0222100",813.346538901937,2.73138986223104,0.222777738217098,12.2606050500849,1.47395200378159e-34,3.60709497933844e-32
"Os10g0132300",4567.83948547979,15.0776788543182,1.23136874117376,12.2446496732944,1.79450267303921e-34,4.35495890368733e-32
"Os09g0380400",1963.86954901303,2.86664000790685,0.23531497499225,12.1821401634183,3.86991654811086e-34,9.23768112410527e-32
"Os01g0188900",1985.12593329139,14.4087866530206,1.18860712407136,12.1224131685043,8.03576646277531e-34,1.82826242913236e-31
"Os04g0370500",253.604500208018,8.564817380482,0.708877441797935,12.0822258904994,1.31121387680468e-33,2.89281594850802e-31
"Os07g0676200",1921.56850976777,14.4034105387703,1.19593551619872,12.043634747592,2.09516481735813e-33,4.55338729933607e-31
"Os01g0716500",7521.42789943643,2.76696455873605,0.23001762864296,12.0293586846381,2.490880434845e-33,5.37329037211526e-31
"Os04g0522800",305.32655948516,2.31541819900799,0.192608274615588,12.0213848736725,2.74334640563715e-33,5.8315134324792e-31
"Os01g0200700",3504.96464587682,3.66360871019224,0.305153674928757,12.0057826963663,3.31314491438295e-33,6.99169610120726e-31
"Os07g0675400",1908.87890191329,14.2356984971089,1.18631715351148,11.9999095140548,3.55685068501078e-33,7.45198601790533e-31
"Os04g0419550",307.087916837873,4.05014540958723,0.341319981503283,11.8661245431606,1.77501342705184e-32,3.54054390565779e-30
"Os04g0614600",9628.88746538879,1.49980931821427,0.126527425214951,11.8536302755416,2.06066240489858e-32,4.02755775539977e-30
"Os10g0131800",1191.56410885255,14.1293797873661,1.19418273540939,11.8318406123349,2.67217106176427e-32,5.15759230935848e-30
"Os11g0533800",1482.14483345795,14.2556962481534,1.2048653740073,11.8317751972072,2.67425464842089e-32,5.15759230935848e-30
"Os07g0492300",136.226118362864,5.51083221997862,0.468773551343487,11.7558514216188,6.58931733026925e-32,1.23802644704581e-29
"Os04g0608800",2868.62115699389,2.18321965021571,0.186278337562023,11.7202014941152,1.00432835764785e-31,1.86293314849813e-29
"Os06g0674000",1663.96110517749,3.39992972455089,0.290269245361236,11.7130208552398,1.09314188234507e-31,2.01484037326919e-29
"Os04g0631100",720.312462711456,2.14450531275439,0.183175759896406,11.7073640855493,1.16856223585725e-31,2.14030625362483e-29
"Os01g0124700",1750.84620964971,5.32956317531663,0.455332489013251,11.7047724551049,1.20482003900472e-31,2.19292307349347e-29
"Os11g0237600",356.535800753736,9.35950665762788,0.804446182593725,11.6347207061765,2.74487119188161e-31,4.78659514071713e-29
"Os01g0316100",857.227649506486,3.19788999820707,0.27565825512009,11.6009222971172,4.07660946182341e-31,6.98347180866008e-29
"Os03g0195100",1928.15534178388,4.12542676059439,0.356431441998388,11.5742504013242,5.56555781313846e-31,9.42326596710571e-29
"Os10g0382400",1327.24880238369,14.0176382006101,1.21255099653612,11.560452501094,6.53634415010045e-31,1.10029719271229e-28
"Os05g0157300",892.374391568142,3.43195744267631,0.297960907090306,11.5181467132403,1.06885203858947e-30,1.73894464065936e-28
"Os03g0448500",1447.19960869235,12.4084200883623,1.07929373664745,11.4967961612619,1.36903268912701e-30,2.21494277626427e-28
"Os04g0226400",918.671523598989,14.0498186789008,1.22263912445453,11.4913864589185,1.45753669877559e-30,2.34510407412942e-28
"Os03g0608700",750.077597833537,13.7572925253495,1.20272902472848,11.4383973800376,2.68804981276155e-30,4.18617040894341e-28
"Os05g0269000",1090.70863847122,13.6239187983466,1.19386216714907,11.4116345866628,3.65789988535602e-30,5.6065979190178e-28
"Os06g0147800",1480.44147798476,2.44832452411634,0.214726416279726,11.4020648531985,4.08318047356621e-30,6.22567443723535e-28
"Os01g0598900",976.175195347936,13.6600388081916,1.19872932150392,11.3954322824553,4.4063754451536e-30,6.68346175592516e-28
"Os12g0511500",407.243361651309,3.60619608457229,0.316580334002774,11.3910931831309,4.63142293163024e-30,6.98840925465989e-28
"Os04g0508500",584.267773414707,3.29610013537244,0.289474593610445,11.3864919689916,4.88253441833463e-30,7.29175217080724e-28
"Os07g0129300",8958.54863338541,5.32904335274528,0.468253970623806,11.3806687974177,5.21978863384596e-30,7.75564717320725e-28
"Os01g0966900",230.433483703755,6.60546117736541,0.581411288079494,11.3610817553688,6.53306114189087e-30,9.60887911990636e-28
"Os01g0932550",1090.47676958104,13.7035498696025,1.20686116972387,11.3547027722649,7.02784885564287e-30,1.02846740891473e-27
"Os04g0599400",1132.41487438774,13.5083666732528,1.18982295361341,11.3532577533731,7.14499954591243e-30,1.04038338388031e-27
"Os12g0299700",1226.5873971562,13.4849539541583,1.19056415574649,11.3265243952378,9.69769534051521e-30,1.4050561378432e-27
"Os12g0125400",1296.82824748865,2.03819403277714,0.179973451435689,11.3249705249191,9.87120708264534e-30,1.42311531020197e-27
"Os02g0611200",23480.9285108873,1.02564640968034,0.0907126820351638,11.3065382553981,1.2180076950831e-29,1.73876569099068e-27
"Os06g0360600",982.033746631211,13.6343085341179,1.20868182300741,11.2803123821233,1.64162004961416e-29,2.28742866434754e-27
"Os09g0390400",1103.36678795848,13.45672101365,1.19507139768792,11.2601816424395,2.0633298406251e-29,2.83435337823983e-27
"Os11g0103800",211.362596692915,2.65724014572552,0.23601329117687,11.2588580603885,2.09455217297557e-29,2.86373466579317e-27
"Os02g0772100",382.686658567,6.03053849567345,0.535832388677214,11.2545240323392,2.20010646647871e-29,2.99399535125201e-27
"Os01g0847800",779.374998497015,1.45980460604731,0.130020158281622,11.2275252187079,2.98728605348349e-29,3.98592264145218e-27
"Os08g0263300",990.608882468811,13.2918812908174,1.18514003927702,11.2154520565569,3.42432236514047e-29,4.5328689053464e-27
"Os12g0529200",832.982778143262,13.2472310263726,1.18607777411737,11.1689396053566,5.78675690504944e-29,7.55703742550896e-27
"Os01g0105400",1033.81433680556,13.2487371785341,1.18669621770247,11.1643881398599,6.09091309621933e-29,7.91873085661158e-27
"Os08g0246400",837.287358535545,13.4374219898609,1.20418564492346,11.1589288964784,6.47671713618438e-29,8.38288695288718e-27
"Os08g0182400",1189.6449084599,13.2658558316302,1.19404865893997,11.1099792561278,1.12185572989245e-28,1.41431526259428e-26
"Os11g0311100",972.338794198443,13.1606227959358,1.19218976690136,11.0390335174087,2.47682883400675e-28,3.0693706086785e-26
"Os12g0272800",734.740780944946,13.0793282212859,1.18920749694169,10.9983566828517,3.89159017098124e-28,4.80215631183541e-26
"Os12g0511400",726.038776594201,13.2861430186321,1.20909862239307,10.9884692386266,4.34228066966304e-28,5.26899573591363e-26
"Os01g0976450",323.49825326654,2.68100288593855,0.244370974603405,10.9710365164668,5.26651628298795e-28,6.36396212419814e-26
"Os07g0642100",927.633028966686,13.0008917563708,1.1897581260944,10.9273401637093,8.53124723557675e-28,1.01822533604289e-25
"Os10g0558700",996.34436332541,3.04079054180742,0.2784824176146,10.9191473122575,9.33682299926473e-28,1.10982432401872e-25
"Os11g0227800",556.315746393148,13.2347290574622,1.21296443213288,10.9110611217101,1.02058035946723e-27,1.20329316714189e-25
"Os08g0424200",5450.79702774024,1.32952693223609,0.122122387677775,10.8868403043683,1.33181052736715e-27,1.5576299669874e-25
"Os08g0373000",692.610157924722,13.3850354280806,1.22969392033462,10.8848512680605,1.36120646652631e-27,1.58564218872717e-25
"Os07g0646600",4207.99665484046,1.26730260077759,0.116515125878019,10.8767217237043,1.48819247277531e-27,1.72665901163994e-25
"Os08g0145600",703.857626037014,12.9596199423208,1.19394021033585,10.8544965904745,1.89849995712881e-27,2.18530101784606e-25
"Os06g0274300",695.858327063338,3.48793934001042,0.322063646322116,10.829969106547,2.48239058498824e-27,2.83498739670696e-25
"Os05g0195901",265.350771194885,7.59266954733223,0.701727314021722,10.8199715126055,2.76863421915e-27,3.1495377238315e-25
"Os05g0404901",823.786652005156,12.8671857955318,1.18974208151354,10.8151052194126,2.91957460715719e-27,3.2954981282803e-25
"Os11g0186900",4350.24359717955,3.11931251699535,0.289216984256312,10.7853711462219,4.03610771865793e-27,4.50343022922438e-25
"Os02g0184900",187.831117854204,7.64676842284357,0.710683276090082,10.7597416178319,5.33194529154207e-27,5.90406504868016e-25
"Os08g0232700",415.411081971787,5.11916153096878,0.476662447561728,10.7395947743625,6.63349019505653e-27,7.26242486693369e-25
"Os07g0535200",405.778056983752,1.95187806842328,0.182358826800821,10.7035020057197,9.80028690103576e-27,1.05705168567394e-24
"Os02g0670900",5801.77353295613,2.0583737186097,0.192718846851993,10.6807079444104,1.25312340872489e-26,1.34662213685927e-24
"Os09g0325300",541.760201470562,12.7625702553597,1.1952419793868,10.6778129244652,1.2928154553063e-26,1.38416807681728e-24
"Os07g0137000",960.872885542694,13.604960443463,1.27767697816033,10.6482003479879,1.77768466120723e-26,1.88253573467916e-24
"Os10g0463800",3701.10290951076,2.23702483292778,0.210126212187413,10.6461007869526,1.81822357681031e-26,1.91848938419818e-24
"Os12g0633700",582.859946874774,12.8959964369516,1.21391136646896,10.6235074431041,2.31688640803023e-26,2.41836437185148e-24
"Os10g0382600",596.306193850836,13.0623691473545,1.23766825761951,10.5540148314689,4.86718434471215e-26,4.97340850830552e-24
"Os06g0547201",915.873207769878,13.0755359801145,1.23944831351671,10.5494806338596,5.10786563483256e-26,5.20109311250328e-24
"Os10g0132500",657.853008345156,12.7683862572066,1.21063109968105,10.5468843982039,5.25095042722051e-26,5.32815952409463e-24
"Os01g0590200",6022.59520526563,1.66145150756834,0.157874838731003,10.5238524449056,6.7073747956025e-26,6.68945783553205e-24
"Os11g0623800",802.559451199799,13.062038249716,1.24142499888656,10.5218102273044,6.85438275729131e-26,6.81274179719582e-24
