"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os12g0285100",6914.12466240811,-5.15052299936081,0.208815273995937,-24.6654514336965,2.51261328330432e-134,3.5131358927161e-130
"Os06g0713400",2340.4224845483,-10.7533863610123,0.585567707518716,-18.3640358287152,2.54937157054166e-75,2.37635421995423e-71
"Os01g0120300",6099.69505321205,-3.74189427330667,0.209091630881368,-17.8959543121537,1.26805825987349e-71,5.90999686318372e-68
"Os06g0244000",3085.58848680946,-6.6258632585322,0.373944179908306,-17.7188564885725,2.99947702115936e-70,1.19824822028143e-66
"Os06g0720000",1106.94273329244,-6.9485689886683,0.40847138410053,-17.0111524555614,6.78890925224556e-65,2.10938953699772e-61
"Os04g0419400",3275.01064017567,-12.4726968502527,0.766131539527398,-16.280098399221,1.36649044779155e-59,3.47386717109481e-56
"Os03g0847500",2775.3076488994,-3.8598120199417,0.242856148495573,-15.8934086859739,7.03933889059757e-57,1.64040060613892e-53
"Os01g0144200",1271.48200869347,-3.06179317719936,0.194802655867177,-15.717409824674,1.14926907417136e-55,2.47216618385599e-52
"Os07g0442800",1530.95155470805,-2.26480528239749,0.145919415192856,-15.5209317375908,2.50388676505448e-54,4.6679126331989e-51
"Os04g0367400",843.622228164098,-2.35809687867419,0.157899278635312,-14.9341839877591,1.97476671260697e-50,2.62963696911149e-47
"Os09g0241700",4318.0165116435,-13.1551351104771,0.885782462488231,-14.8514287283622,6.81016297620191e-50,8.65633624847774e-47
"Os07g0158900",1714.30790209154,-3.7883951344852,0.258880595212939,-14.6337547291604,1.71079324957899e-48,1.99335926796778e-45
"Os03g0673700",1015.83761394673,-6.19429682010028,0.433470124589463,-14.2900201622127,2.52536323886567e-46,2.71612529275537e-43
"Os06g0731200",1373.91415799665,-5.85518260111852,0.428727614005528,-13.6571156366966,1.83093488514319e-42,1.76552631476359e-39
"Os03g0170200",342.803823029683,-5.7446278994649,0.425740271821935,-13.4932687360795,1.71332671021604e-41,1.54553122982198e-38
"Os09g0110300",3641.64275090098,-6.2544891081868,0.468398617800896,-13.352919651111,1.13895791708111e-40,9.6514603615928e-38
"Os07g0115200",8113.83086725003,-16.6698715875668,1.25140607358482,-13.3209131227993,1.74954493862829e-40,1.43894925481769e-37
"Os02g0644600",3034.41998989984,-2.79462682054714,0.210486477439459,-13.2769898310971,3.14796394094843e-40,2.51513324699091e-37
"Os09g0340400",5650.95426600877,-15.9199819456423,1.20219423913348,-13.2424373927437,4.99026144748332e-40,3.77155867884928e-37
"Os11g0206000",6000.25706357351,-15.9174759290824,1.2030989755853,-13.2303960456276,5.85778885756537e-40,4.20018481058867e-37
"Os11g0691800",192.43506474796,-4.39937533762848,0.333249375684107,-13.201451101288,8.60610765997215e-40,5.86978523423076e-37
"Os01g0967800",2614.93871660804,-5.83493937611984,0.449975961781148,-12.9672246335633,1.87704486897572e-38,1.23923554310727e-35
"Os04g0330301",4251.01562191594,-15.4155982137206,1.19230148745448,-12.929278689933,3.07691944319082e-38,1.95552216612246e-35
"Os11g0549665",3786.46860455582,-15.3673808024415,1.18901487153125,-12.9244647568208,3.27568196040541e-38,2.03558156312837e-35
