"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os05g0103800",2721.38633137372,5.63942867100328,0.199213753071267,28.3084304374599,2.72144895981876e-176,7.61025987123717e-172
"Os12g0285100",6914.12466240811,-5.15052299936081,0.208815273995937,-24.6654514336965,2.51261328330432e-134,3.5131358927161e-130
"Os06g0713400",2340.4224845483,-10.7533863610123,0.585567707518716,-18.3640358287152,2.54937157054166e-75,2.37635421995423e-71
"Os07g0124900",7176.1876094119,5.6821702636759,0.311848932896468,18.2209065488845,3.52270255662022e-74,2.4627213573332e-70
"Os01g0120300",6099.69505321205,-3.74189427330667,0.209091630881368,-17.8959543121537,1.26805825987349e-71,5.90999686318372e-68
"Os03g0111600",1592.13065425048,2.34138220795947,0.130806327474143,17.8996096990973,1.18751216538204e-71,5.90999686318372e-68
"Os06g0244000",3085.58848680946,-6.6258632585322,0.373944179908306,-17.7188564885725,2.99947702115936e-70,1.19824822028143e-66
"Os04g0308000",651.919807232224,7.72766765362456,0.442370226015758,17.4687788625026,2.47740516736053e-68,8.65976976250872e-65
"Os06g0720000",1106.94273329244,-6.9485689886683,0.40847138410053,-17.0111524555614,6.78890925224556e-65,2.10938953699772e-61
"Os05g0404901",823.786652005156,9.43080670897027,0.575123078926253,16.3978929980996,1.97986560481153e-60,5.53649617729496e-57
"Os04g0419400",3275.01064017567,-12.4726968502527,0.766131539527398,-16.280098399221,1.36649044779155e-59,3.47386717109481e-56
"Os03g0847500",2775.3076488994,-3.8598120199417,0.242856148495573,-15.8934086859739,7.03933889059757e-57,1.64040060613892e-53
"Os01g0144200",1271.48200869347,-3.06179317719936,0.194802655867177,-15.717409824674,1.14926907417136e-55,2.47216618385599e-52
"Os12g0554000",1622.6425376143,2.75200389876191,0.176592802352154,15.5838961843641,9.36673374888705e-55,1.87093816109913e-51
"Os07g0442800",1530.95155470805,-2.26480528239749,0.145919415192856,-15.5209317375908,2.50388676505448e-54,4.6679126331989e-51
"Os07g0126301",7314.26183668838,4.82312261895366,0.312068643274329,15.4553260088801,6.9459272981015e-54,1.21397444352569e-50
"Os12g0125400",1296.82824748865,2.96944244985067,0.193710028209072,15.3293171102414,4.87080251597419e-53,8.01218362098248e-50
"Os09g0392666",1480.94852117138,4.84065699287022,0.31680066355667,15.2798196144065,1.0422882647434e-52,1.61925272418247e-49
"Os02g0687900",6545.06662103531,2.58682024018177,0.171769396188478,15.0598435902012,2.97490009666395e-51,4.37842664753214e-48
"Os07g0125500",7573.45610752955,4.62432927858518,0.309149010808532,14.9582535182337,1.37589647328066e-50,1.92377844894101e-47
"Os04g0367400",843.622228164098,-2.35809687867419,0.157899278635312,-14.9341839877591,1.97476671260697e-50,2.62963696911149e-47
"Os09g0241700",4318.0165116435,-13.1551351104771,0.885782462488231,-14.8514287283622,6.81016297620191e-50,8.65633624847774e-47
"Os07g0215200",889.937215885054,7.48079357214777,0.508887766488507,14.7002818003815,6.41920233224015e-49,7.80463365298972e-46
"Os07g0158900",1714.30790209154,-3.7883951344852,0.258880595212939,-14.6337547291604,1.71079324957899e-48,1.99335926796778e-45
"Os01g0270100",3881.47663619082,2.04539393149498,0.142952030535078,14.3082537816284,1.94331817412724e-46,2.17371797685177e-43
"Os03g0673700",1015.83761394673,-6.19429682010028,0.433470124589463,-14.2900201622127,2.52536323886567e-46,2.71612529275537e-43
"Os07g0642100",927.633028966686,10.443360276866,0.744193466945654,14.0331254448228,9.77469831609429e-45,1.01236912485652e-41
