"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os05g0103800",2721.38633137372,5.63942867100328,0.199213753071267,28.3084304374599,2.72144895981876e-176,7.61025987123717e-172
"Os07g0124900",7176.1876094119,5.6821702636759,0.311848932896468,18.2209065488845,3.52270255662022e-74,2.4627213573332e-70
"Os03g0111600",1592.13065425048,2.34138220795947,0.130806327474143,17.8996096990973,1.18751216538204e-71,5.90999686318372e-68
"Os04g0308000",651.919807232224,7.72766765362456,0.442370226015758,17.4687788625026,2.47740516736053e-68,8.65976976250872e-65
"Os05g0404901",823.786652005156,9.43080670897027,0.575123078926253,16.3978929980996,1.97986560481153e-60,5.53649617729496e-57
"Os12g0554000",1622.6425376143,2.75200389876191,0.176592802352154,15.5838961843641,9.36673374888705e-55,1.87093816109913e-51
"Os07g0126301",7314.26183668838,4.82312261895366,0.312068643274329,15.4553260088801,6.9459272981015e-54,1.21397444352569e-50
"Os12g0125400",1296.82824748865,2.96944244985067,0.193710028209072,15.3293171102414,4.87080251597419e-53,8.01218362098248e-50
"Os09g0392666",1480.94852117138,4.84065699287022,0.31680066355667,15.2798196144065,1.0422882647434e-52,1.61925272418247e-49
"Os02g0687900",6545.06662103531,2.58682024018177,0.171769396188478,15.0598435902012,2.97490009666395e-51,4.37842664753214e-48
"Os07g0125500",7573.45610752955,4.62432927858518,0.309149010808532,14.9582535182337,1.37589647328066e-50,1.92377844894101e-47
"Os07g0215200",889.937215885054,7.48079357214777,0.508887766488507,14.7002818003815,6.41920233224015e-49,7.80463365298972e-46
"Os01g0270100",3881.47663619082,2.04539393149498,0.142952030535078,14.3082537816284,1.94331817412724e-46,2.17371797685177e-43
"Os07g0642100",927.633028966686,10.443360276866,0.744193466945654,14.0331254448228,9.77469831609429e-45,1.01236912485652e-41
"Os01g0124650",3718.9375930627,4.93330289786208,0.359859993527092,13.7089506658113,8.97463734777586e-43,8.96309852832872e-40
"Os12g0179700",1030.93937263379,7.99138045788308,0.585491003894284,13.6490234772693,2.04601913927435e-42,1.9071626403556e-39
"Os01g0976450",323.49825326654,3.79431515260305,0.282790818048839,13.4173916210666,4.7825176794844e-41,4.17932263715943e-38
"Os04g0688300",8230.49582431886,4.69985622533788,0.354373665596815,13.2624308226252,3.82299726799889e-40,2.96961932228669e-37
"Os08g0205100",754.747109437376,3.4042707614384,0.257185887232417,13.2366157337474,5.3924463480964e-40,3.96827288626757e-37
"Os06g0216300",4123.17698144427,2.35861681407021,0.178417046554815,13.2196830942697,6.75479384343846e-40,4.72227637594783e-37
"Os07g0539300",3626.18133247691,3.84336502105611,0.29641714413094,12.9660685866345,1.90556173485955e-38,1.23923554310727e-35
"Os07g0151800",1847.09345201608,4.28670670570789,0.336267173883679,12.74791903176,3.20178236505457e-37,1.82723759298747e-34
"Os07g0213400",1564.32995675392,1.48741104255315,0.11689473931692,12.7243625439853,4.32994064919577e-37,2.42164920628221e-34
"Os10g0132300",4567.83948547979,15.7568923509283,1.23880944518333,12.7193834469001,4.614871220958e-37,2.53039723182097e-34
"Os02g0222100",813.346538901937,3.05185344970187,0.240738219882926,12.6770624589067,7.92464895029106e-37,4.18122421218753e-34
"Os10g0394000",1107.70940567491,3.76407407003803,0.299449346577427,12.5699859193541,3.08778899814086e-36,1.59901725081502e-33
"Os01g0116400",1568.26954873529,6.56837728288096,0.551163458913171,11.9172945460372,9.61813208392112e-33,4.13786839376569e-30
"Os05g0473900",2570.37005503095,14.2298548395482,1.194901936775,11.9088055693961,1.06491763587523e-32,4.51202375297194e-30
