"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os10g0546100",2284.00836265805,-2.51423948857903,0.325149373741841,-7.73256752625721,1.05398879252272e-14,9.42511911233566e-11
"Os02g0559300",321.442071924008,-2.08409839498198,0.278616562349876,-7.48016692692106,7.4228265967215e-14,4.97830422775619e-10
"Os01g0126100",1363.82745396313,-2.02926141169789,0.275840638086096,-7.35664413256076,1.88591235405443e-13,8.43222845370304e-10
"Os02g0176900",175.265590482645,-2.79028819981881,0.378685811592081,-7.36834630293593,1.72757548673075e-13,8.43222845370304e-10
"Os07g0499500",1690.3304236897,-2.64801216442824,0.380448606164213,-6.9602362093693,3.39702678600848e-12,9.33023346531199e-09
"Os04g0674800",1764.15082506382,-2.50279893250656,0.362245191080526,-6.90912949055599,4.87636696757947e-12,1.18925724217504e-08
"Os04g0472200",870.639008836465,-2.44813288890817,0.356638732405883,-6.86446161467958,6.67424834536383e-12,1.4920838363423e-08
"Os10g0323600",139.751744952596,-2.70478038735667,0.402409999129347,-6.72145422133824,1.79919765521475e-11,3.2178050330964e-08
"Os02g0641000",285.784191811251,-2.65033916002073,0.397413898636933,-6.66896444515648,2.57614647881437e-11,4.31939259919708e-08
"Os07g0638600",1144.19461872757,-2.56404873478464,0.404356698915588,-6.34105665038061,2.28194605092668e-10,3.28407989463355e-07
"Os06g0108600",764.508004404275,-2.47105693782984,0.392545487778111,-6.29495692796403,3.07485227773086e-10,4.12445310273429e-07
"Os02g0280200",984.385529166845,-2.86915401928919,0.458780933189207,-6.25386499683916,4.0041718237962e-10,5.11523416747526e-07
"Os01g0164300",698.458171300643,-2.52587738353233,0.408912926227211,-6.17705438377078,6.53085820734213e-10,7.96378786947124e-07
"Os03g0236200",2372.89107466302,-1.47252572770958,0.241395151505671,-6.10006339615726,1.06026405169943e-09,1.2366827702148e-06
"Os03g0836800",1059.90598963932,-3.75257944348454,0.619408902473103,-6.05832339267595,1.37547651725965e-09,1.53749618868853e-06
"Os08g0208400",202.97607603545,-9.44263359473197,1.56649581005583,-6.02787031673926,1.6613426830979e-09,1.78275360637869e-06
"Os03g0831400",426.864847963565,-2.19056320200034,0.367929469700544,-5.95375848469878,2.62053437661059e-09,2.50927137359284e-06
"Os01g0294500",3396.58546220392,-2.07099463416597,0.366116679580706,-5.65665196280534,1.5435431633832e-08,1.20933210693868e-05
"Os02g0712500",1166.79017892675,-1.31733335593395,0.234364772710614,-5.62086759327326,1.90000854246729e-08,1.37760889645324e-05
"Os02g0162150",81.9822577249151,-2.97264863923697,0.533049573032783,-5.57668327604899,2.45147617283193e-08,1.68630131509134e-05
"Os02g0763800",211.052336252072,-1.75637539171154,0.31658590735381,-5.54786347374791,2.89181541131516e-08,1.93946830098379e-05
"Os10g0122600",2255.72598419587,-1.35350839804369,0.244406105196306,-5.53794839517841,3.06035399880712e-08,2.00244187136582e-05
