"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os05g0170300",215.152736753093,24.2433298364978,2.60028177619573,9.32334720738086,1.12726744933461e-20,3.02412038632997e-16
"Os04g0179100",107.588422824535,22.3702395767577,2.48482487742924,9.00274292162659,2.20147403211486e-19,2.95294719297727e-15
"Os09g0437500",17448.4472668931,1.93709358856242,0.269691748828896,7.18262088838096,6.83875444762949e-13,2.62090379380795e-09
"Os06g0216300",4123.17698144427,1.27116330700408,0.178782709537379,7.11010203555683,1.15957194595726e-12,3.88847957427443e-09
"Os03g0575200",2620.06901085037,3.37603291721647,0.485276959175762,6.95691986479357,3.47792651631267e-12,9.33023346531199e-09
"Os03g0154000",2789.58818762519,1.82564162402335,0.269351988458419,6.77790290122613,1.21932748224641e-11,2.51622295124803e-08
"Os10g0481500",351.656983568779,4.17411064667014,0.617148146426829,6.76354724686034,1.34653434195882e-11,2.58024834226638e-08
"Os12g0258700",621.858284920221,5.65181312652645,0.856612869882871,6.59786156061285,4.17130488930414e-11,6.58256448619777e-08
"Os08g0140300",481.730359189337,5.51307198423799,0.869828241696409,6.33811564164203,2.32592231699547e-10,3.28407989463355e-07
"Os01g0543600",156.879478278819,5.8470587745714,0.982585157216397,5.95068908951948,2.6701588697732e-09,2.50927137359284e-06
"Os01g0557100",3013.26943182741,1.06658997664465,0.179286233304922,5.94909021726528,2.69636997656842e-09,2.50927137359284e-06
"Os12g0555000",6850.0093616306,6.0056588314077,1.0096747430215,5.94811237273843,2.7125235708127e-09,2.50927137359284e-06
"Os02g0577700",440.007257533966,2.50154702865785,0.425610010991084,5.87755683385524,4.16365786352874e-09,3.72328165016285e-06
"Os06g0293500",718.347990174304,4.15117812145498,0.707095837810773,5.87074325639842,4.33845694797815e-09,3.75444466269064e-06
"Os08g0453200",13174.1163940831,0.812551162858155,0.138571684674861,5.86376044113695,4.52500193553767e-09,3.79350709139591e-06
"Os02g0574800",81.369817135718,7.47560088184777,1.27996960889243,5.84045185910037,5.20594275032373e-09,4.23211594433136e-06
"Os10g0456000",6805.60367994714,1.38451283990801,0.244921427282463,5.65288572449516,1.57776209575628e-08,1.20933210693868e-05
"Os02g0212300",85.7071000760425,8.9307201186664,1.58321120631954,5.64088990970918,1.691735074251e-08,1.26067157880365e-05
"Os12g0151000",38.9378137584663,7.45140275171689,1.3325505366794,5.59183501609263,2.24682265866425e-08,1.58619767010489e-05
"Os06g0568600",265.099889509488,5.48622533218418,1.02355671276477,5.35996224123735,8.32393478592346e-08,4.75119571280784e-05
"Os07g0158900",1714.30790209154,1.33607464834704,0.249253356992502,5.36030753795315,8.30803961534413e-08,4.75119571280784e-05
"Os11g0247350",88.514927518749,7.00252930670514,1.31273070827908,5.33432276897453,9.59018039144512e-08,5.35991186169371e-05
"Os02g0529800",335.809450371157,7.46982821215828,1.40471998007993,5.31766353300765,1.05108203874813e-07,5.75456690887676e-05
"Os02g0483500",187.699658547271,1.94821862446132,0.370174647060464,5.2629715188007,1.41745543674156e-07,7.31270711566649e-05
"Os01g0275900",794.047003653709,1.46558833515832,0.282347808687371,5.1907197083335,2.0948277233545e-07,0.000102178078789875
"Os12g0555500",3401.7576383368,8.65811025393338,1.67915337665756,5.15623550194552,2.51963970293734e-07,0.000118586621597719
"Os10g0111700",576.038710553605,1.46237615953713,0.284052697111822,5.14825655382335,2.62918729476681e-07,0.00012160897854605
"Os11g0454200",25.3087418036587,7.53867893778093,1.47475334564483,5.11182358734347,3.19063717140848e-07,0.000140320038356353
"Os01g0201100",269.570955759675,1.77454365435714,0.347465252808595,5.10711111402748,3.27121408012311e-07,0.00014154332278623
"Os04g0614600",9628.88746538879,0.693095581611482,0.135884880338397,5.10060854368381,3.38563150583342e-07,0.000144168787947608
"Os03g0347900",1000.17744137327,5.80854240137667,1.14274942490887,5.08295368587902,3.71610336528365e-07,0.000153982084809243
"Os09g0518200",7457.39230120017,1.49649730740734,0.294458558781712,5.08220006780893,3.73088139285078e-07,0.000153982084809243
"Os04g0178400",2040.10584909572,6.46187685951325,1.28574827159643,5.02577137551971,5.01412957159872e-07,0.000203809172753453
"Os07g0209100",806.879857072485,1.76154048838407,0.350758121735274,5.02209465505563,5.11109821450414e-07,0.000204649898209705
"Os01g0674450",293.949039879339,7.52756034749719,1.50310703086133,5.00800022416478,5.49984707215533e-07,0.000216977055006928
"Os06g0314501",261.243686127069,2.55799911373594,0.516086401626847,4.95653267683942,7.17623028220097e-07,0.000279009753305225
"Os07g0538200",2603.88032635584,0.932397180103698,0.18837809571835,4.94960508305464,7.43642186750407e-07,0.000284995556342188
"Os04g0316200",45.2152302900362,7.54964364862349,1.52943531561196,4.93622945119632,7.96473964067494e-07,0.000300943761042798
"Os08g0421850",67.1044962451477,21.6777323308726,4.40862668548673,4.917116797899,8.78281547160008e-07,0.000327245264800855
"Os01g0117600",114.564579766023,1.77759004507999,0.363311749251642,4.8927403221655,9.94415755296697e-07,0.000365440979004719
"Os03g0835150",7243.19866097986,1.07447861085452,0.220258156514465,4.87826933566455,1.07020722323601e-06,0.000382805989036697
"Os06g0494400",226.648966939343,2.49417061575366,0.511670334249364,4.87456561149413,1.09048138757634e-06,0.000384925581375138
"Os06g0726200",362.427678458279,4.00123756082512,0.824411178672713,4.85344893948071,1.21332592516944e-06,0.000414081243836386
"Os09g0444900",470.115233360369,2.96023003044525,0.610651795139506,4.84765631413394,1.2492858789838e-06,0.000418932403443731
"Os03g0726200",1685.38785673482,0.97342069442813,0.201603914090087,4.82838192314638,1.37646911327648e-06,0.000455883171628001
"Os04g0452600",388.932498230382,2.15750208758141,0.44741185841918,4.8221835138756,1.41995215037603e-06,0.00045895248600166
"Os01g0643600",29.8867537797689,6.92212245521147,1.44719421627457,4.78313302897981,1.72583824293981e-06,0.000544694853451133
"Os01g0248500",944.40062075279,1.74836636277517,0.368013708803826,4.7508185726504,2.02594843897285e-06,0.000617614986049145
"Os01g0627701",315.077946218909,2.82249795846775,0.59482767491914,4.74506832395019,2.084359688332e-06,0.000628282217515535
"Os01g0949900",3655.29510428669,2.09201841388868,0.444210397482482,4.70952149194387,2.4829903233533e-06,0.000740124237828878
"Os05g0542500",634.485331706636,1.8111590811753,0.38537366269228,4.69974794987872,2.60482784091996e-06,0.000767908972399559
"Os01g0660900",87.3318212345801,3.35993409394412,0.721158281783017,4.65907995348387,3.17625824806463e-06,0.000906483830008829
"Os03g0801000",22.0952462272463,7.00659183593205,1.50327895857518,4.66087268498254,3.14871457751488e-06,0.000906483830008829
"Os10g0473950",383.89566372603,1.13466897113602,0.244595958503665,4.63895224629814,3.501799476497e-06,0.00097857056829151
"Os05g0467700",229.252518098272,2.60333519695133,0.562147949614376,4.63104988417581,3.63816197659142e-06,0.00100619558088678
"Os04g0524500",1313.15255019939,1.61572199869942,0.349240727527466,4.62638481524854,3.72103654031271e-06,0.0010186147680303
"Os02g0569900",208.290005715801,7.47668968948434,1.62251767853971,4.60807902950769,4.06406202562618e-06,0.00110127870668155
"Os10g0139700",775.441954323419,2.02367018900138,0.441023166740037,4.58858024162309,4.4627076611874e-06,0.00119721058426674
"Os07g0416900",3046.112844881,2.3692787739023,0.517589593747395,4.57752397367287,4.70511881910509e-06,0.00124974477782309
"Os03g0318400",188.93835482204,3.16601047778829,0.693320841427917,4.56644354043619,4.96068568050272e-06,0.00129204189078492
"Os06g0673500",236.857404796069,0.934058016266249,0.205968082590536,4.53496485726459,5.76130774701884e-06,0.00148614041278149
"Os02g0769800",2001.9363306604,0.939154258039612,0.207399632711993,4.52823491420439,5.94784369898705e-06,0.00151616962360056
"Os07g0418500",559.256949139469,1.59727399650081,0.352854967513028,4.52671534641731,5.9907548403347e-06,0.00151616962360056
"Os03g0348800",371.353784129234,1.88439636385644,0.416633865994232,4.52290732381926,6.09959519948194e-06,0.00152845411392237
"Os12g0555200",2495.06879517331,6.50267558229162,1.43830958137518,4.52105420592023,6.15324278911604e-06,0.00152845411392237
"Os06g0542300",974.280193992004,1.46776799026886,0.326349519575905,4.49753378578966,6.87462392493291e-06,0.00164665657173371
"Os02g0149600",99.945767540286,7.08714808799514,1.58090642516092,4.48296494669111,7.36130251191294e-06,0.00174762533174414
"Os10g0135100",59.1991863674729,4.64888143247772,1.03754217740791,4.48066742124353,7.44099839276024e-06,0.00175104968318052
"Os06g0328400",2140.75195437937,0.900154336903687,0.201402425699703,4.46943145682785,7.84277863843064e-06,0.00181377778045844
"Os07g0129900",273.077333849437,2.56545278992276,0.575137016497206,4.46059411294252,8.17327564656121e-06,0.00185817343873134
"Os03g0674300",763.67755456546,0.559879830713637,0.125578512105675,4.45840471690326,8.25718870014298e-06,0.00186147564082971
"Os03g0594100",253.231157245846,6.53894003728178,1.46945496386601,4.44990843413014,8.59069081844842e-06,0.00190464845112823
"Os06g0216200",195.892196514053,1.44646923406801,0.326563434416687,4.42936679867945,9.45101637940614e-06,0.00204469690653491
"Os10g0467000",494.964898291588,1.673355742472,0.378138243802924,4.4252486224168,9.63312730419055e-06,0.00206742324951616
"Os03g0306700",623.001025585035,2.29757467166665,0.523925903988794,4.38530459016165,1.15823593737532e-05,0.00244661381826518
"Os06g0102100",50.6768610884301,6.63700728749663,1.52189771224258,4.36100746726054,1.29464947670921e-05,0.00267165857782137
"Os03g0182000",91.7325258466546,5.24840481636011,1.20532940628741,4.35433234183337,1.33473086147847e-05,0.00273334540617427
"Os08g0203700",1076.04709959154,1.12512937917901,0.260431602481219,4.32024903452393,1.55853215072923e-05,0.00312020462743381
"Os01g0627600",2773.68236608418,1.66785984679042,0.386485337294052,4.31545439334857,1.59274934154527e-05,0.00314181519012022
"Os01g0189800",324.516969586849,3.69031684808162,0.855785396953778,4.31219890081969,1.61638922580527e-05,0.00316517326720277
"Os04g0178300",2440.14065464419,6.05980441638695,1.41622698315551,4.27883700032677,1.87872376917936e-05,0.00365221177940396
"Os04g0565750",648.28639209955,5.55964025576327,1.30119784239089,4.27270940255149,1.93112057898027e-05,0.00372706271743191
"Os04g0566600",26.1341717578825,7.25946033772911,1.70344398108873,4.2616372585903,2.02934651525895e-05,0.00388866278320371
"Os04g0630400",469.292704923046,3.57268219411567,0.840390625094411,4.25121614572307,2.12612853803125e-05,0.00404522342480598
"Os01g0846500",930.427989868205,1.31553550456302,0.309994870680015,4.24373313557487,2.19831760423962e-05,0.00412407457125428
"Os01g0248300",1300.62438911898,1.2551928961117,0.29592042352161,4.24165686563382,2.21875731711695e-05,0.00413351406571502
"Os11g0691300",660.313525160967,2.91893474187175,0.689543679380281,4.23313972581854,2.30451226491568e-05,0.00426366555385469
"Os03g0743800",172.331059823897,2.89135431547853,0.684130562723584,4.22631946739492,2.37544684051255e-05,0.00436480221852262
"Os03g0122000",982.621113585306,0.695629368580673,0.164742173034627,4.22253364616272,2.41571323104181e-05,0.00440859447953461
"Os08g0114300",3570.33200423264,1.34013263103168,0.320318509648743,4.18375020694636,2.86739173519587e-05,0.0050942727205364
"Os03g0269100",628.951111375586,5.36259178221546,1.28313875819089,4.17927659653601,2.92437835358024e-05,0.00509430507087643
"Os04g0269600",2573.19701077308,1.18676916372314,0.283881006792934,4.18051625619596,2.90848016823295e-05,0.00509430507087643
"Os10g0528300",14087.9695122314,1.04094893548571,0.249041945756939,4.17981369492534,2.91748014662155e-05,0.00509430507087643
"Os02g0153300",392.42766063793,2.7052197443294,0.64837352937949,4.17231676147908,3.01518060771712e-05,0.00521859678472434
"Os03g0291500",57517.1546837753,1.38034505370036,0.331049857148936,4.16959869908464,3.05136450658796e-05,0.00524736894988686
"Os08g0114400",947.747481112359,2.17717488782977,0.523792685570112,4.15655840146005,3.23077612211578e-05,0.00552051153044586
"Os10g0101100",940.56943234725,1.59691410596077,0.385609153119323,4.14127645322418,3.4537838095321e-05,0.00586421887710872
"Os11g0100100",1837.81959208272,5.22410390976294,1.26868352943137,4.11773605361174,3.82612546318548e-05,0.0064152167375548
"Os01g0585200",714.233811745429,4.62465431549503,1.12739496218702,4.10207112024318,4.09468362580077e-05,0.00682286196455635
"Os09g0417800",1021.02075786029,1.58241801947924,0.387064546711762,4.08825358179247,4.34632901502131e-05,0.00715331095005992
"Os01g0162300",14.304652014317,5.8957778132152,1.44276356057351,4.08644768576743,4.38028195767173e-05,0.00716523317551583
"Os05g0253200",2128.21493829952,2.89323068270683,0.708310696620424,4.0846915012174,4.41354145178987e-05,0.00717588342588889
"Os05g0144100",2535.82215727119,0.780179709237706,0.192032858466121,4.06274069692792,4.84998958118566e-05,0.00783799219846191
"Os03g0326000",1182.04273235,0.703391347445313,0.173618433439175,4.05136328851703,5.0920074903083e-05,0.00817983742170663
"Os10g0134250",156.979076514274,2.65164970203539,0.655314329425824,4.04637833016519,5.20161410042552e-05,0.00830617270667353
"Os09g0547500",76.2655794059875,6.04222704423205,1.49739762714705,4.03515200951944,5.45669585518826e-05,0.00866193962764115
"Os06g0128700",241.33025006333,0.968203888661666,0.240357528128573,4.02818208441447,5.6209803878636e-05,0.00887023769795392
"Os04g0616700",1414.36213634126,0.972582341508593,0.242204278902464,4.01554566218152,5.93084140515816e-05,0.0092503885102429
"Os09g0447300",866.724017860196,1.43845873811653,0.358745699684401,4.0096891457709,6.07987346294174e-05,0.00942802112082879
"Os06g0249350",46.1861822643971,4.86262158553917,1.21415664512262,4.0049375878086,6.20338574792613e-05,0.00956426606089737
"Os12g0629600",34.5635289781425,17.1803388331068,4.29893569852959,3.99641679659995,6.43084695576173e-05,0.00985830464469828
