"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os04g0431700",844.694746281627,-4.24785357269672,0.237500693729565,-17.8856470100825,1.52571822451577e-71,4.17909478877115e-67
"Os04g0194800",484.355905075427,-2.73134398318068,0.193360049568413,-14.1256892997139,2.63805869261771e-45,1.8064766412373e-41
"Os04g0326300",258.865415592445,-4.96929215737187,0.362969065144885,-13.6906767946968,1.15429075682137e-42,4.51673973144202e-39
"Os04g0460900",310.505681667044,-13.0628798138969,1.07472099686859,-12.1546707024038,5.41796570371875e-34,1.14156537377354e-30
"Os02g0559300",321.442071924008,-3.1499446667611,0.265897408216032,-11.8464662288167,2.24457911202118e-32,4.09875109715815e-29
"Os04g0323800",254.153568925341,-12.7740251303656,1.07931076344109,-11.8353541566092,2.56259544208754e-32,4.38700323463874e-29
"Os04g0554600",2200.33219307553,-4.44320405904172,0.397483306487326,-11.1783412951542,5.20537874509433e-29,4.59937190989932e-26
"Os02g0514500",1274.17503373389,-2.69244326361027,0.242587821540116,-11.0988393667776,1.27083435054892e-28,1.05483102108744e-25
"Os10g0546100",2284.00836265805,-3.28189629899472,0.305512125274523,-10.7422783827179,6.44342949887819e-27,4.20218993818506e-24
"Os07g0499500",1690.3304236897,-3.84027484793785,0.358496724438761,-10.7121616074733,8.92530868176345e-27,5.68390154410653e-24
"Os04g0192775",367.887605817091,-10.9687048676687,1.05331505268256,-10.4135081329501,2.15144186552594e-25,1.13327200266579e-22
"Os04g0472200",870.639008836465,-3.34677596458248,0.33836515012504,-9.89101851460089,4.55371037052331e-23,1.75677015153527e-20
"Os02g0208500",648.310273956523,-3.43711228178168,0.34800268569085,-9.87668320708036,5.25433004252228e-23,1.998907697149e-20
"Os06g0636700",181.923020326362,-2.51881223102639,0.256180265749316,-9.83218681446433,8.1822416245666e-23,3.07013397723978e-20
"Os04g0296700",86.0110662414699,-11.2107391495717,1.15686621170677,-9.6906098874062,3.30548839190542e-22,1.17585237068417e-19
"Os12g0163700",1075.69793635194,-3.63817471028035,0.37672235835645,-9.65744302024664,4.57131175393546e-22,1.52698536892739e-19
"Os06g0142700",5502.25403708564,-1.06754013672957,0.110712255893123,-9.64247479303577,5.28970480241484e-22,1.74566631618006e-19
"Os02g0641000",285.784191811251,-3.69721660339724,0.383538307594113,-9.63975835057887,5.43156863794075e-22,1.75030701837453e-19
"Os05g0513800",525.241969298483,-2.1839535731482,0.226538257085785,-9.64055078926992,5.38979970237569e-22,1.75030701837453e-19
"Os04g0309600",278.832681820455,-2.67157250666697,0.27895513352253,-9.57706880289836,9.98381514763468e-22,3.07265933380743e-19
"Os04g0325300",132.663953271107,-11.0352549514855,1.15245266177103,-9.5754518320319,1.01412897679122e-21,3.08644520036537e-19
"Os10g0323600",139.751744952596,-3.51591769124021,0.368371071902303,-9.54449998769901,1.36765742980783e-21,4.07190268042026e-19
