"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os01g0200700",3504.96464587682,4.41173574421033,0.306347689949358,14.4010739723209,5.0945657419229e-47,6.97726251185051e-43
"Os10g0558700",996.34436332541,4.01561913854238,0.282632214116379,14.2079315024185,8.1806358103926e-46,7.46919318274879e-42
"Os07g0147500",9420.67378794095,8.80517445309845,0.632381731311942,13.9238279936253,4.5392644713312e-44,2.48669986268466e-40
"Os12g0105600",623.211627164498,4.66994664112301,0.33994041708982,13.7375446000265,6.04927744993429e-43,2.76159597718584e-39
"Os02g0707200",798.694023232776,3.86625456419949,0.286018817919353,13.5174831933248,1.23323126348158e-41,4.22242969225298e-38
"Os07g0643400",268.397604366449,5.39982237218467,0.400259872485007,13.4907912168661,1.77188748261421e-41,5.39264111514286e-38
"Os02g0611200",23480.9285108873,1.18635525619592,0.0907574765491935,13.0717082636478,4.77803524020988e-39,1.30875163264589e-35
"Os02g0668500",1276.64743172861,2.0055811416267,0.156261176392093,12.8348012470754,1.04671245027386e-37,2.60640915685921e-34
"Os10g0456000",6805.60367994714,2.85968165183329,0.228604002969828,12.5093244854978,6.63863706649407e-36,1.51532423240283e-32
"Os01g0138800",1367.72439819255,1.9400094082883,0.161080114989403,12.0437548012424,2.09211705294333e-33,4.09322701408363e-30
"Os11g0227800",556.315746393148,3.51875832053143,0.297878586249073,11.8127266710914,3.35501463494402e-32,5.40571799210304e-29
"Os04g0320700",5588.78940762286,2.58884692525212,0.219559189549071,11.7911116841389,4.33777065222019e-32,6.60088199638684e-29
"Os02g0583700",45249.5073165197,13.1310148844447,1.11478925399658,11.7789212959933,5.01304982840443e-32,7.22697093946451e-29
"Os02g0580900",879.96680296939,3.39955790402096,0.292302019840969,11.6302922089643,2.89106209706071e-31,3.9594540950295e-28
"Os04g0631100",720.312462711456,2.12637242396796,0.183565209043952,11.5837441911927,4.98214505372599e-31,6.4983778650766e-28
"Os12g0431100",2666.30886874637,4.82308699636765,0.417421219651301,11.5544844615151,7.0066686671792e-31,8.38780088186461e-28
"Os12g0431300",2909.16681431043,5.37582929401649,0.465277096964895,11.5540380755559,7.04316820426001e-31,8.38780088186461e-28
"Os02g0160500",350.970767658157,5.18770049680577,0.449308990139247,11.5459530315608,7.73789899119657e-31,8.83119963616105e-28
"Os11g0669100",1122.80576844847,3.11309424969424,0.270590638973122,11.5048113323812,1.24761877161445e-30,1.36694103093165e-27
"Os02g0523100",1353.46960839167,6.94427141676055,0.60599412007505,11.4593049449069,2.11202888240104e-30,2.2250224276095e-27
"Os03g0122000",982.621113585306,1.68973595190193,0.148529574725662,11.376427590417,5.47987821685135e-30,5.55923497176946e-27
"Os04g0226400",918.671523598989,13.9026062138245,1.22264438393377,11.3709320522897,5.83610342258976e-30,5.70916817314843e-27
"Os03g0608700",750.077597833537,13.6100791720606,1.20273412262259,11.3159499810178,1.09410712389057e-29,1.03340304243057e-26
"Os04g0504000",1865.56694105301,2.89221550182272,0.256360895248444,11.2818123022227,1.61386504319028e-29,1.47351257993417e-26
"Os05g0318600",1528.00847345089,4.85369247105201,0.436881189135363,11.1098682931577,1.12325063925254e-28,9.61467445617694e-26
"Os12g0508400",2269.84510282405,3.11096076459291,0.28132738287206,11.0581512998601,2.00180921030438e-28,1.6126928258661e-25
"Os03g0195100",1928.15534178388,3.9163370896284,0.356254001239521,10.9931034486693,4.12493870818353e-28,3.22817703302443e-25
"Os04g0442800",1265.13990765443,12.9966525881911,1.18317125059596,10.9845912682925,4.53285735468409e-28,3.44887488339311e-25
"Os04g0269600",2573.19701077308,2.86360576206735,0.263438279918434,10.8701201775003,1.59989969190121e-27,1.18440141786125e-24
"Os08g0185701",251.00507231941,5.1163676290814,0.472011014462243,10.8395089782183,2.23668292503227e-27,1.61223636840944e-24
"Os08g0203600",5061.76707368133,3.86294272686535,0.356950747677737,10.8220608921456,2.70622589912078e-27,1.9006726564825e-24
"Os08g0398000",8745.96052938782,2.85502564154682,0.264212273811425,10.8058024722369,3.23119242539162e-27,2.21263979309755e-24
"Os01g0316100",857.227649506486,2.96192592104967,0.275279284026756,10.7597123827225,5.33363703340523e-27,3.56325980443909e-24
"Os04g0209300",2328.66715685712,4.01345537194219,0.374737024679959,10.7100582745189,9.13043218358903e-27,5.68390154410653e-24
"Os02g0692700",2165.39124428325,1.87670381412137,0.175558333389293,10.6899158695011,1.13473863489267e-26,6.90702798852116e-24
"Os06g0589300",4938.10789356077,4.6425657091096,0.434504180252968,10.6847434848767,1.19980275722345e-26,7.14430376589292e-24
"Os12g0194100",250.219503133133,3.41568602741953,0.320727819448232,10.6497965573917,1.74746536489729e-26,1.01840050659365e-23
"Os04g0219000",333.640559879521,4.59869432585143,0.434727968901078,10.5783263438885,3.75607534573269e-26,2.14338874572842e-23
"Os08g0293300",1135.97451447772,3.10697351834307,0.294181406487943,10.5614204358983,4.49803188394952e-26,2.51439982312778e-23
"Os01g0966900",230.433483703755,5.79582070209352,0.552491408165148,10.4903363499203,9.56871511521229e-26,5.2419335144156e-23
"Os06g0528600",6764.72181003771,1.36984408094442,0.130826107550279,10.4707241283469,1.17738868331162e-25,6.32350067148797e-23
"Os09g0478100",1530.13246918021,2.93376775113217,0.282099653766732,10.3997566532219,2.48567167439038e-25,1.28462326100428e-22
"Os01g0155000",6860.0092063178,3.35160796030582,0.322337146491156,10.3978334386533,2.53634407116648e-25,1.28653704543187e-22
"Os02g0543000",10633.3792366959,4.68226255707599,0.453764343227508,10.318709759723,5.79972680101644e-25,2.88836939648439e-22
"Os04g0420600",579.367155117619,12.8628267097473,1.24742632605833,10.3114921026173,6.2522963883694e-25,3.05815447096118e-22
"Os03g0306700",623.001025585035,4.7442477986852,0.461079582601365,10.2894337066903,7.86374862058836e-25,3.778876113448e-22
"Os01g0134700",4003.53485326407,2.8629606472681,0.279442761476786,10.2452489094298,1.24304514682775e-24,5.77088976555236e-22
"Os04g0490500",1007.7605122171,2.85040306383812,0.278184838371592,10.2464357170703,1.22788179163164e-24,5.77088976555236e-22
"Os06g0725100",460.746051055899,3.41171614496106,0.335209128980175,10.1778736018936,2.48941639420813e-24,1.13646007422925e-21
"Os09g0379600",650.081101360287,3.96827028532153,0.390269263475825,10.1680318095748,2.75417511912814e-24,1.23671492931211e-21
"Os01g0299300",210.970043185894,3.7969966630004,0.373923772607753,10.1544671431828,3.16534545288879e-24,1.39841898871092e-21
"Os01g0854000",1445.47533173943,2.50597170570042,0.24884573189319,10.0703825082121,7.46870463157765e-24,3.24722680259593e-21
"Os03g0227700",1324.11391189366,2.10692214729088,0.209524042359727,10.055753619308,8.66558480948286e-24,3.70873489869601e-21
"Os04g0186400",4042.29354796658,4.02861598986648,0.401303209120206,10.0388332271217,1.02883872590596e-23,4.33552639096773e-21
"Os11g0144900",403.634858819152,2.75437050511281,0.276775591813644,9.95163802943779,2.48065960884795e-23,1.02951132342355e-20
"Os01g0716500",7521.42789943643,2.28354620303028,0.229893622690509,9.93305589039532,2.98950411790895e-23,1.2221717506514e-20
"Os02g0211200",558.371602281731,3.25126129126864,0.327567620635332,9.92546603038079,3.22592214834076e-23,1.29942990537061e-20
"Os03g0255500",14621.2928779128,3.25245929902501,0.327760441574352,9.92328202696541,3.29731836311606e-23,1.30893981571177e-20
"Os11g0229700",245.022480861797,2.90070802968591,0.292568458165843,9.91463005913521,3.59586071726683e-23,1.40706029866651e-20
"Os07g0129300",8958.54863338541,4.58627076482183,0.467878845081275,9.80226144660409,1.10092765830046e-22,4.07506884979836e-20
"Os12g0639200",2191.9655348081,4.09578286929747,0.420734091925779,9.73484903624117,2.14135412107625e-22,7.82051076405326e-20
"Os08g0535800",4327.07619687582,2.48419673746996,0.255855219269336,9.70938464559863,2.74992242495704e-22,9.91093751868399e-20
"Os07g0683600",8042.63746821652,2.94211057234656,0.303758382987575,9.68569342320639,3.46846759122634e-22,1.18755994739101e-19
"Os12g0556500",647.703306046824,2.4896481407402,0.25698995940149,9.68772533580068,3.40016792527872e-22,1.18755994739101e-19
"Os04g0288100",226.394346172156,11.8818354359468,1.22661313733371,9.68670159670259,3.43441133345757e-22,1.18755994739101e-19
"Os12g0438300",175.694301668001,5.0723884372952,0.52438878393967,9.67295371801614,3.92872160384228e-22,1.32853843766474e-19
"Os12g0609050",1620.34577136676,5.67660410009798,0.58927425183175,9.63321251938692,5.78907290919075e-22,1.84381972157725e-19
"Os03g0575200",2620.06901085037,4.27299907066876,0.444672806230629,9.60931051055227,7.30364064984358e-22,2.29691484782835e-19
"Os07g0290500",189.770478798871,7.51117472491815,0.78174237427469,9.6082481544986,7.37937667879577e-22,2.29691484782835e-19
"Os08g0556300",4608.27057375648,2.67597652759333,0.279834026054942,9.56272746855998,1.14693461345763e-21,3.45227318650746e-19
"Os01g0967800",2614.93871660804,4.01812078680306,0.422434817687896,9.5118125177166,1.87368970796244e-21,5.51851986997841e-19
"Os06g0314501",261.243686127069,4.66789884580194,0.491335897475934,9.50042296885213,2.090394815085e-21,6.09127706170142e-19
"Os01g0956500",1322.36138264712,8.23439284531735,0.868582743077942,9.48026300423337,2.53642966424067e-21,7.31319420349643e-19
"Os09g0472100",2380.32552299067,3.77606866002534,0.398356551070654,9.4791177649181,2.56441971695891e-21,7.31687713200223e-19
"Os08g0203700",1076.04709959154,2.27464749234902,0.240270696307762,9.46702002076622,2.87940898173606e-21,8.13091664110645e-19
"Os09g0471200",1243.58972009942,2.860883152217,0.30325616208324,9.43388300031222,3.95182227231948e-21,1.1045343251133e-18
"Os06g0673800",458.543716590735,3.17027380278557,0.336762164917015,9.41398450614781,4.77677345248232e-21,1.30662846657364e-18
"Os03g0142900",2700.7805517737,0.928389933865973,0.0987338730808275,9.4029526534015,5.30529609348929e-21,1.42468005192907e-18
"Os04g0488700",1475.1222750794,1.85303116141761,0.197272685323215,9.39324751615545,5.81782188875678e-21,1.5404356256317e-18
"Os11g0114600",2030.02517564505,1.64253973037829,0.174893066234747,9.39168010339312,5.90506884346423e-21,1.5404356256317e-18
"Os11g0118400",390.865829319776,2.50088580665702,0.266403827739602,9.38757460009745,6.1397749811976e-21,1.571725014112e-18
"Os11g0619500",203.682540241656,2.72587867625755,0.290739423042389,9.37567615610258,6.8733787813708e-21,1.74322887222711e-18
"Os02g0101500",1404.04785332215,6.52148624653818,0.697198100668947,9.35384970251776,8.45143047025367e-21,2.12379020193319e-18
"Os11g0245200",1505.70624633993,5.85257190396385,0.62804936019824,9.31864957575393,1.1783040194742e-20,2.93408412703798e-18
"Os08g0477100",1130.65808059675,3.84815168831153,0.413043664400584,9.31657357315003,1.20158012711428e-20,2.96508840196283e-18
"Os09g0533400",10105.6400288725,1.37129708537518,0.147245520492097,9.31299696447327,1.24275215012394e-20,3.03930572714686e-18
"Os04g0654400",448.392618094513,4.28082714161493,0.461328929902237,9.27933815579723,1.70534548807935e-20,4.12629568116142e-18
"Os11g0471200",258.205061889206,12.0715490877402,1.30108581404692,9.27805757115484,1.72596248907166e-20,4.12629568116142e-18
"Os12g0431700",3120.0102017061,5.2986760762284,0.571782387405303,9.26694524515404,1.91553307850222e-20,4.52313504769434e-18
"Os07g0209100",806.879857072485,3.02538456494797,0.326851163960251,9.25615356020542,2.11929435714674e-20,4.96150356723131e-18
"Os01g0173900",9997.57857311206,2.7601291299154,0.298961524612844,9.23238912930274,2.64661597268139e-20,6.14351339895897e-18
"Os01g0807800",1366.31453010883,1.92539365959973,0.20879096318684,9.22163311195015,2.92609137961728e-20,6.73517386378967e-18
"Os01g0183600",207.146934632214,4.04241279866358,0.439753368979553,9.19245441608324,3.83978174439814e-20,8.69218692238096e-18
"Os01g0956800",271.110390850373,3.97266087867358,0.432708007035661,9.18092758645479,4.27393765211636e-20,9.59569067451796e-18
"Os11g0707000",17238.2013227755,7.52329420891731,0.820801286864456,9.16579241445521,4.91842711891977e-20,1.08645675172848e-17
