"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os10g0529800",7874.73678881363,9.65483492933796,0.291844727156852,33.0820947953909,5.37752968882395e-240,1.53496207437791e-235
"Os04g0688300",10264.7521109849,6.76667395840843,0.207113355805766,32.6713549306512,3.98672683117131e-234,5.68985653344769e-230
"Os05g0103800",3401.29458749736,5.91510906872005,0.202896742986426,29.1532972962301,7.58754621448889e-187,7.21929730487903e-183
"Os04g0419400",2885.28052899205,-10.0954653334924,0.374402528960266,-26.9642017684229,3.88784184115915e-160,2.77436393785117e-156
"Os03g0223301",2082.37940891016,8.85587730975698,0.36390559086615,24.3356451014634,8.22699601031148e-131,4.69662748236662e-127
"Os04g0330301",3471.70948027489,-12.345083097986,0.514747238903827,-23.9828058607469,4.20367322640405e-127,1.99982747624129e-123
"Os12g0285100",5921.38441247703,-4.62094345332223,0.194043364918517,-23.8139730016672,2.39327343269156e-125,9.75908526610686e-122
"Os12g0179700",1296.19454676362,7.49733316980294,0.317917518338001,23.5826361787084,5.80958846985807e-123,2.07286116604536e-119
"Os12g0508500",1584.99019290938,4.33582839236824,0.194121011797839,22.3356985017348,1.66308504584407e-110,5.27456661650812e-107
"Os06g0347100",9112.34190766744,11.8457541488592,0.536463981514983,22.0811733071187,4.79476875289714e-108,1.36861879282696e-104
"Os04g0206200",3486.78770422282,-4.61497808505349,0.212259713761898,-21.7421290326921,8.20053849467973e-105,2.12796518901944e-101
"Os07g0158900",1507.06142309098,-6.20866037825761,0.286860233085686,-21.6435032192248,6.99792534874737e-104,1.66457317628871e-100
"Os03g0226200",16654.2864997006,-3.94988472530611,0.186490335996715,-21.1801040745386,1.45710182417907e-99,3.19934726687441e-96
"Os01g0124650",4646.98806058883,6.29682381095476,0.300691323472074,20.9411556617115,2.25912726159527e-97,4.60603775392681e-94
"Os11g0100100",2307.64458251974,9.64586398302396,0.481996131520812,20.012326556624,4.3009885193539e-89,8.18449441976251e-86
"Os12g0234800",878.905607687606,-9.05206162490651,0.461601472123171,-19.6101229557845,1.26725198918725e-85,2.26077754871005e-82
"Os07g0220600",2136.26133152002,-2.98492641575775,0.158721309887258,-18.8060848154415,6.73305974467057e-79,1.13052033736398e-75
"Os07g0539300",4515.92009765459,4.45131889847899,0.236868218884137,18.7923855697008,8.71712665699207e-79,1.38234257387323e-75
"Os07g0281000",3609.3479835008,1.90628024777174,0.101709203582136,18.7424557526134,2.23089760074448e-78,3.35151269029739e-75
"Os07g0215200",1117.25520921454,7.97749533169369,0.430150404214795,18.5458278163332,8.81332411511425e-77,1.25783761770911e-73
"Os08g0205100",934.971052499014,4.44976523940162,0.241226481938968,18.4464209884196,5.57149908387373e-76,7.57299380238532e-73
"Os09g0380400",2398.17923782389,2.87623487437399,0.156415443385667,18.3884328306521,1.62612839471751e-75,2.10982767721894e-72
"Os12g0125400",1553.80041506175,2.24988615251698,0.122773850979546,18.3254506930128,5.18501280397884e-75,6.43482632507704e-72
"Os01g0116400",1965.57158616827,6.84130886411911,0.38245453147417,17.8879011780807,1.46524171760824e-71,1.67295438349638e-68
"Os03g0847500",2540.31325972925,-3.58946748433305,0.20064843492295,-17.8893370671514,1.42797074474473e-71,1.67295438349638e-68
"Os04g0565750",813.085083803029,7.77817793867433,0.435416329040416,17.8637717970204,2.25848584224683e-71,2.47946999542668e-68
"Os06g0621500",362.311664912235,-7.1187389456769,0.401752945756172,-17.7191953932737,2.98146228355597e-70,3.15195775636376e-67
"Os03g0183200",4287.48197131748,2.80110369564572,0.163188070483957,17.1648802963272,4.86484966909786e-66,4.95936674838319e-63
"Os05g0157300",1081.36873626812,3.16717806563668,0.187826079631067,16.862291284883,8.52202944930226e-64,8.38802788278909e-61
"Os03g0269100",789.859023043737,7.1246200619876,0.422873345884665,16.8481180744146,1.08306701319416e-63,1.03050216082047e-60
"Os09g0392666",1837.78070473319,3.922874588921,0.236215112504973,16.6072125839892,6.17988019372372e-62,5.69027420160161e-59
"Os02g0687900",7790.79397223502,2.34720533606391,0.143193591575549,16.391832275717,2.18750286337172e-60,1.95125255412757e-57
"Os02g0772100",477.271882765651,5.52541147388254,0.33740953732577,16.3759789295693,2.83902565310271e-60,2.45567115885345e-57
"Os07g0115200",6090.27325813803,-16.7609725902786,1.03479171753751,-16.1974359730716,5.25738724182858e-59,4.41373121855162e-56
"Os02g0228300",5396.17998320811,4.30333391719356,0.26693437445054,16.1213179308644,1.80713782906966e-58,1.47379834837041e-55
"Os01g0270100",4648.44450940015,2.36035014495331,0.14662237746263,16.0981576332364,2.62814268265098e-58,2.0838251314886e-55
"Os07g0129900",332.363366638331,4.29663119180974,0.267885623822379,16.039051034178,6.81883328351724e-58,5.26045343904638e-55
"Os04g0613600",5189.94904822979,6.9416318934779,0.434406198207687,15.9795875890315,1.7731514499598e-57,1.33191671020138e-54
