"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os10g0529800",7874.73678881363,9.65483492933796,0.291844727156852,33.0820947953909,5.37752968882395e-240,1.53496207437791e-235
"Os04g0688300",10264.7521109849,6.76667395840843,0.207113355805766,32.6713549306512,3.98672683117131e-234,5.68985653344769e-230
"Os05g0103800",3401.29458749736,5.91510906872005,0.202896742986426,29.1532972962301,7.58754621448889e-187,7.21929730487903e-183
"Os03g0223301",2082.37940891016,8.85587730975698,0.36390559086615,24.3356451014634,8.22699601031148e-131,4.69662748236662e-127
"Os12g0179700",1296.19454676362,7.49733316980294,0.317917518338001,23.5826361787084,5.80958846985807e-123,2.07286116604536e-119
"Os12g0508500",1584.99019290938,4.33582839236824,0.194121011797839,22.3356985017348,1.66308504584407e-110,5.27456661650812e-107
"Os06g0347100",9112.34190766744,11.8457541488592,0.536463981514983,22.0811733071187,4.79476875289714e-108,1.36861879282696e-104
"Os01g0124650",4646.98806058883,6.29682381095476,0.300691323472074,20.9411556617115,2.25912726159527e-97,4.60603775392681e-94
"Os11g0100100",2307.64458251974,9.64586398302396,0.481996131520812,20.012326556624,4.3009885193539e-89,8.18449441976251e-86
"Os07g0539300",4515.92009765459,4.45131889847899,0.236868218884137,18.7923855697008,8.71712665699207e-79,1.38234257387323e-75
"Os07g0281000",3609.3479835008,1.90628024777174,0.101709203582136,18.7424557526134,2.23089760074448e-78,3.35151269029739e-75
"Os07g0215200",1117.25520921454,7.97749533169369,0.430150404214795,18.5458278163332,8.81332411511425e-77,1.25783761770911e-73
"Os08g0205100",934.971052499014,4.44976523940162,0.241226481938968,18.4464209884196,5.57149908387373e-76,7.57299380238532e-73
"Os09g0380400",2398.17923782389,2.87623487437399,0.156415443385667,18.3884328306521,1.62612839471751e-75,2.10982767721894e-72
"Os12g0125400",1553.80041506175,2.24988615251698,0.122773850979546,18.3254506930128,5.18501280397884e-75,6.43482632507704e-72
"Os01g0116400",1965.57158616827,6.84130886411911,0.38245453147417,17.8879011780807,1.46524171760824e-71,1.67295438349638e-68
"Os04g0565750",813.085083803029,7.77817793867433,0.435416329040416,17.8637717970204,2.25848584224683e-71,2.47946999542668e-68
"Os03g0183200",4287.48197131748,2.80110369564572,0.163188070483957,17.1648802963272,4.86484966909786e-66,4.95936674838319e-63
"Os05g0157300",1081.36873626812,3.16717806563668,0.187826079631067,16.862291284883,8.52202944930226e-64,8.38802788278909e-61
"Os03g0269100",789.859023043737,7.1246200619876,0.422873345884665,16.8481180744146,1.08306701319416e-63,1.03050216082047e-60
"Os09g0392666",1837.78070473319,3.922874588921,0.236215112504973,16.6072125839892,6.17988019372372e-62,5.69027420160161e-59
"Os02g0687900",7790.79397223502,2.34720533606391,0.143193591575549,16.391832275717,2.18750286337172e-60,1.95125255412757e-57
"Os02g0772100",477.271882765651,5.52541147388254,0.33740953732577,16.3759789295693,2.83902565310271e-60,2.45567115885345e-57
"Os02g0228300",5396.17998320811,4.30333391719356,0.26693437445054,16.1213179308644,1.80713782906966e-58,1.47379834837041e-55
"Os01g0270100",4648.44450940015,2.36035014495331,0.14662237746263,16.0981576332364,2.62814268265098e-58,2.0838251314886e-55
"Os07g0129900",332.363366638331,4.29663119180974,0.267885623822379,16.039051034178,6.81883328351724e-58,5.26045343904638e-55
"Os04g0613600",5189.94904822979,6.9416318934779,0.434406198207687,15.9795875890315,1.7731514499598e-57,1.33191671020138e-54
"Os06g0356800",840.924296253063,4.61747279012654,0.290923900857607,15.8717546977571,9.94219949674502e-57,6.92171079109975e-54
"Os06g0674000",2013.85776307223,3.16195941910131,0.206007486289264,15.3487597759504,3.61022442599159e-53,2.146880125323e-50
"Os10g0394000",1363.90101041773,4.43444954009251,0.291562410744251,15.209263528769,3.0697711783528e-52,1.71810879440985e-49
"Os03g0111600",1896.12020697991,1.97936673341163,0.130154758687807,15.2077938092098,3.13946095840853e-52,1.72332256916948e-49
"Os01g0114300",1199.73190512069,3.42517013892289,0.225394800727083,15.1963138806836,3.74087060237907e-52,2.01470585800581e-49
"Os01g0120400",1316.98489971911,2.41065205537923,0.159305596097293,15.1322496788309,9.92438330363291e-52,5.24595550034996e-49
"Os04g0508500",707.074704603297,3.72245487691217,0.246139340892576,15.1233641213689,1.13588369608656e-51,5.78976146805264e-49
"Os11g0126900",1477.07333043251,3.76737758040163,0.252937987414095,14.8944712453725,3.58005594394541e-50,1.70315194773296e-47
"Os01g0781700",1068.63842272705,4.67485337073051,0.314113157022088,14.8827047394318,4.26886684058477e-50,1.99754975569921e-47
"Os03g0559700",1491.84459840122,4.1696547401754,0.280585277466612,14.8605613873364,5.94251246694195e-50,2.73585606219986e-47
"Os11g0237700",652.782547461448,3.31835364131485,0.226880122944061,14.6260218755832,1.91671287323762e-48,8.41702342364532e-46
