"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os12g0285100",5921.38441247703,-5.03751381335308,0.206876552998449,-24.3503371471529,5.74983456026158e-131,8.04028115734178e-127
"Os03g0847500",2540.31325972925,-3.78192609508972,0.214035485899891,-17.6696218348513,7.18771065291625e-70,1.54629772177007e-66
"Os06g0244000",2867.98354913491,-6.83739152200229,0.39644968435192,-17.2465555955214,1.18772320444242e-66,2.37264677561722e-63
"Os01g0120300",5076.80142433901,-3.63030806260714,0.220252885916549,-16.482454009627,4.90527012589256e-61,8.57410560067733e-58
"Os07g0442800",1404.9386289392,-2.13814127804258,0.131424321454717,-16.2689923324373,1.63831665515471e-59,2.54548899415065e-56
"Os04g0419400",2885.28052899205,-12.5040586184715,0.774426207037303,-16.1462234940472,1.20730618648311e-58,1.68823660586866e-55
"Os09g0241700",3404.8777743013,-12.8583242680866,0.860598958269915,-14.9411338981121,1.77921756846778e-50,1.77712063347637e-47
"Os01g0144200",1152.02450663623,-2.90804524732124,0.195133887199117,-14.9028202587582,3.15956381861164e-50,3.04701797638316e-47
"Os08g0417000",1145.76116200569,-2.34964923800861,0.158160623279864,-14.8560949576616,6.35215187611231e-50,5.73066553287849e-47
"Os06g0720000",967.162153771905,-6.99648204762694,0.472759340501016,-14.7992465684809,1.48132591300275e-49,1.29463255652963e-46
"Os12g0508400",2330.9917362585,-3.77909779849482,0.263006753275821,-14.3688241895888,8.11980925168448e-47,6.30796403727389e-44
"Os04g0367400",770.70749943872,-2.41996876944747,0.173259050209892,-13.9673440811077,2.46654532704175e-44,1.46769942896546e-41
"Os06g0731200",1113.38568946853,-5.38664447636845,0.387395560823822,-13.9047656222838,5.92606646928047e-44,3.38233267237483e-41
"Os07g0115200",6090.27325813803,-16.1333508931075,1.19208006861529,-13.5337812600523,9.88075627866887e-42,5.02427474264604e-39
"Os03g0673700",837.066556464181,-5.8808425300317,0.438816229956267,-13.4016067058819,5.91682109434796e-41,2.80467348382423e-38
"Os09g0340400",4768.59439704822,-15.7819604208079,1.19437695077223,-13.2135507224951,7.3284239806873e-40,3.15313897642895e-37
"Os07g0220600",2136.26133152002,-2.21981395934862,0.168404525046241,-13.1814389116866,1.12229629863788e-39,4.75564554303115e-37
"Os11g0549665",3321.75747687273,-15.4545635528565,1.18911060294586,-12.9967418628427,1.2766749375931e-38,5.25070117348034e-36
"Os01g0942900",3268.63279172381,-15.4377701331419,1.19340349518459,-12.9359183171775,2.8223047639222e-38,1.14393329467554e-35
"Os03g0236200",2240.97750587406,-2.25493571252707,0.175025166965854,-12.8834941375431,5.57531105279624e-38,2.22749606019361e-35
"Os08g0367300",3635.04562822954,-15.4172916384426,1.19797765808213,-12.8694316913427,6.6892515291456e-38,2.63490559881148e-35
"Os12g0576100",741.331700096808,-3.19589208204548,0.248752803622751,-12.8476625609906,8.86485392875003e-38,3.44338013646322e-35
"Os04g0330301",3471.70948027489,-15.3147477918793,1.19379559893084,-12.8286180696219,1.1336824895369e-37,4.34324632669567e-35
"Os08g0424500",4901.1466692448,-2.30436445437194,0.180173417193813,-12.7897027778139,1.87188421053578e-37,7.07445752919653e-35
"Os01g0956500",1107.45338739196,-11.2574759428476,0.883856514173016,-12.7367686522973,3.69379437924234e-37,1.37739129872361e-34
"Os01g0943800",2349.98975112061,-15.0810724284665,1.19506385972488,-12.6194699184848,1.6492768000648e-36,6.06912161413321e-34
"Os02g0129000",2854.31142785035,-15.0749033713181,1.19819575916704,-12.5813359427994,2.67468009837276e-36,9.50197208833705e-34
"Os07g0158900",1507.06142309098,-3.77572952158793,0.300068959141456,-12.5828727249592,2.62314291963518e-36,9.50197208833705e-34
"Os07g0147500",10072.6677070986,-6.32448901048131,0.502750951543703,-12.5797653710289,2.72839016699952e-36,9.53811097505945e-34
"Os06g0271500",2630.27717491601,-14.959621476228,1.19427569791473,-12.5261038990815,5.37384094045358e-36,1.83280743392275e-33
"Os02g0644600",2843.49835605915,-2.78228577479748,0.22308767996209,-12.4717141496576,1.06509916605842e-35,3.55291211077229e-33
"Os11g0308100",2212.54366908801,-14.7822437583115,1.19066128572803,-12.4151544486247,2.162691010229e-35,7.1157622921264e-33
"Os10g0137300",1261.31634487622,-14.8441256262837,1.22019813093851,-12.1653404065341,4.75459155986898e-34,1.51104161539609e-31
"Os04g0405900",942.198602022088,-2.08626105570195,0.171525397692721,-12.162986261891,4.89364779045481e-34,1.53776008714213e-31
"Os06g0135000",2053.21273985129,-14.5305035753065,1.19884812439212,-12.1203872948245,8.23689738089783e-34,2.53144295661065e-31
"Os01g0541000",1984.11257740073,-14.4696370988915,1.19496964791884,-12.1087904819105,9.48829563921049e-34,2.88433874067174e-31
"Os09g0110300",3275.98127387603,-6.37712560630378,0.531639418129763,-11.9952083852955,3.76468487688925e-33,1.10828359949433e-30
"Os12g0572500",368.78893451312,-2.85947999115809,0.238740407602358,-11.9773607655089,4.66953629244142e-33,1.34631877825473e-30
"Os10g0159300",1270.64658767655,-14.3099465488883,1.19492303782468,-11.9756219404215,4.76848204484123e-33,1.36081772804158e-30
"Os01g0539400",1609.4361155918,-14.3227514651639,1.20022192199564,-11.9334193141124,7.92500300669153e-33,2.23877332412265e-30
