"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os05g0103800",3401.29458749736,5.69843287938956,0.207736322681107,27.4310857429451,1.16825946774732e-165,3.26727125344892e-161
"Os12g0118800",11553.5101403455,11.9112523777278,0.496567172398921,23.9871925487633,3.78316798387391e-127,3.52679530016672e-123
"Os04g0688300",10264.7521109849,5.11650110910611,0.225618388148476,22.677677786347,7.44139373040813e-114,5.2028364614581e-110
"Os06g0347100",9112.34190766744,8.93384808968536,0.406970078711233,21.9521005523957,8.26911052843224e-107,4.62524428297329e-103
"Os12g0125400",1553.80041506175,2.8464363989067,0.130485600293167,21.8141802046471,1.70193126975002e-105,7.93298530351649e-102
"Os12g0179700",1296.19454676362,7.48366715043839,0.361497991947616,20.7018221875015,3.33519085956634e-95,1.33250403956417e-91
"Os09g0392666",1837.78070473319,5.23007026961995,0.266505534750074,19.6246215844059,9.52838832115325e-86,3.33100545222116e-82
"Os02g0687900",7790.79397223502,2.73511272759027,0.150953433908862,18.1189169187208,2.26000171297518e-73,7.02282976741964e-70
"Os04g0308000",820.461039343455,7.24151138880484,0.402217583211785,18.0039652443336,1.81357391589434e-72,5.0720221705817e-69
"Os07g0215200",1117.25520921454,8.30310678044387,0.462128106873491,17.9671105413133,3.52608344050958e-72,8.96490687097558e-69
"Os07g0124900",8958.86327076326,5.49306658381122,0.308144481734261,17.8262695242693,4.41943560981922e-71,1.02998629749845e-67
"Os08g0462900",1629.68362900324,4.13011620227076,0.243381992670056,16.9696868571119,1.3766417526062e-64,2.56670265967585e-61
"Os03g0111600",1896.12020697991,2.27095674718569,0.138016141322472,16.4542837194648,7.81407874756629e-61,1.28550788431286e-57
"Os11g0673100",1523.56468686403,2.69646086138906,0.166238330167879,16.220452038143,3.61524172076546e-59,5.32144553708672e-56
"Os01g0124650",4646.98806058883,5.42277433024284,0.340122663099329,15.9435842376054,3.15714231330732e-57,4.20456186077456e-54
"Os05g0404901",1036.21824697713,8.9883137112326,0.569875591721477,15.7724139124484,4.81728700805729e-56,6.12386662519719e-53
"Os07g0126301",9048.67684513438,4.70808020234428,0.302578787623336,15.5598488556479,1.36420670543665e-54,1.65881604047595e-51
"Os07g0125500",9351.12270196242,4.47961400119542,0.291726369653398,15.3555333599691,3.25223787566686e-53,3.78980569453229e-50
"Os02g0771400",799.578374188724,2.12294807282741,0.13917596512506,15.2536975110593,1.55568360049864e-52,1.74031213020582e-49
"Os04g0326300",313.481481227915,4.18893784928255,0.277553245629087,15.0923756621477,1.81777659085025e-51,1.95529838139649e-48
"Os01g0116400",1965.57158616827,7.15868629889288,0.475212851370338,15.0641681474941,2.7865083102177e-51,2.88630658932809e-48
"Os07g0539300",4515.92009765459,3.78775179817596,0.254322459010324,14.8935010022933,3.63240071189047e-50,3.38624502364802e-47
"Os09g0380400",2398.17923782389,2.42033621686353,0.163956960118882,14.7620217836961,2.57445906323937e-49,2.18181504913986e-46
"Os06g0142050",1186.57366044401,2.67405447596513,0.183195358748379,14.5967370256251,2.94612170151253e-48,2.42335840077062e-45
"Os10g0370800",4130.80523211963,3.81111946650863,0.264755863002825,14.3948444551272,5.57501693474507e-47,4.45475710325759e-44
"Os02g0222100",978.498360080249,3.21101903000539,0.223845409233175,14.3448062705657,1.14820456132233e-46,8.67887485581121e-44
"Os06g0159600",4618.4379987752,4.54168385683724,0.317965798402468,14.2835609353449,2.77073968066313e-46,2.03919149076594e-43
"Os11g0575600",1738.36400285232,8.82369309746525,0.618867042102164,14.2578171031584,4.00796331339261e-46,2.87412076886285e-43
"Os02g0725300",2330.71754577215,2.28595777082407,0.160477936573443,14.2446857158953,4.83719241854416e-46,3.38204400923562e-43
"Os06g0712700",636.986404082102,4.49829469937074,0.315977849999423,14.2361076872285,5.46894418229051e-46,3.7304868767346e-43
"Os07g0151800",2251.91953532395,4.41892531547842,0.310864250013667,14.2149678365529,7.39854260245169e-46,4.92654859435158e-43
"Os12g0554000",1954.06136481541,2.68006617474044,0.188820791764822,14.1937026621437,1.002240720813e-45,6.51852703232028e-43
"Os08g0535100",717.87953407896,6.66921947807068,0.47039539340282,14.1779013391816,1.25545208037554e-45,7.97982462087786e-43
"Os08g0114400",1180.5795623615,5.62719892137855,0.396954391681807,14.1759331532708,1.29115352196482e-45,8.02437567750889e-43
"Os06g0274300",864.305215158389,3.47475728242934,0.245954447745706,14.1276456444566,2.56579799585211e-45,1.55994940326078e-42
"Os04g0613600",5189.94904822979,6.01247840592699,0.431802459942403,13.9241411610508,4.51941330134971e-44,2.63321732914265e-41
"Os12g0535300",1228.80577749956,2.86891185267012,0.206424284912995,13.8981314813774,6.50165815350492e-44,3.63663747158144e-41
"Os06g0216300",4893.32997127407,2.31152064045021,0.167422624902279,13.8065010138229,2.32870888310136e-43,1.2770000261509e-40
"Os07g0213400",1813.74772046185,1.56297140629628,0.114275195654822,13.6772586329002,1.3882863655114e-42,7.4665778431264e-40
"Os09g0567900",1388.91481505746,2.24309530723202,0.165047086457235,13.5906386194416,4.55092114108718e-42,2.40142663307142e-39
"Os08g0521000",6116.35437592325,2.89918799567596,0.214001983134203,13.5474819121552,8.1994944703235e-42,4.24657892317662e-39
"Os07g0642100",1166.91115191058,10.0035037890076,0.741447766813967,13.4918523417948,1.74656598166189e-41,8.72253764448893e-39
"Os09g0491788",482.629986881869,3.54160760448948,0.263321427499461,13.4497508923642,3.08911206094533e-41,1.5156701229554e-38
"Os04g0458400",543.278360759009,3.33524092876262,0.248043626393973,13.4461867746813,3.24162909751033e-41,1.56308001672537e-38
"Os05g0515900",1045.51026600076,3.25475708854547,0.243884985413116,13.3454590615009,1.25892645273216e-40,5.86806601726007e-38
"Os11g0615800",1685.0753974857,2.53214020232736,0.189781505817889,13.3423970445106,1.31172836680483e-40,6.01395200564437e-38
"Os01g0976450",392.125883740911,4.01633451528889,0.301259037075969,13.3318308199866,1.51142384004375e-40,6.81774040879089e-38
"Os09g0358000",2476.45386217264,4.3273504086643,0.325213088149488,13.3062000465221,2.13044756241646e-40,9.45749634573035e-38
"Os12g0198900",415.197988627097,4.3659330970691,0.330097618192126,13.226187819774,6.19507382176654e-40,2.70715046208351e-37
"Os01g0270100",4648.44450940015,2.03783773439766,0.154996115709726,13.1476697016981,1.75500171037087e-39,7.32569146775257e-37
"Os08g0205100",934.971052499014,3.20702639619127,0.254909099304685,12.5810589144879,2.68407692987674e-36,9.50197208833705e-34
"Os10g0394000",1363.90101041773,3.81866289484145,0.304767561924838,12.5297550392952,5.13209442285177e-36,1.77196647807278e-33
"Os06g0147800",1768.20907611319,2.13299873422827,0.17102899275586,12.471562276421,1.06713132372036e-35,3.55291211077229e-33
"Os02g0166600",4015.57525619877,4.02275778559077,0.327606393819389,12.279240764173,1.17091931649796e-34,3.80780238656958e-32
"Os01g0116900",723.487806371828,5.25519891705731,0.428493575661502,12.2643587104997,1.40721964053518e-34,4.5236450214767e-32
"Os06g0200800",683.912636068749,6.85273715837465,0.563961096197381,12.1510813504346,5.66118278261116e-34,1.75918109868096e-31
