"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os10g0137300",1261.31634487622,-2.89992834999805,0.35017911304947,-8.28127161767178,1.21866868429071e-16,3.39859614522362e-13
"Os04g0405900",942.198602022088,-1.46300164203977,0.185146531899184,-7.90185820405433,2.74775900393151e-15,4.92614308854836e-12
"Os02g0770800",2517.42709797228,-1.41582058302145,0.203372103064399,-6.96172464997877,3.36132006716951e-12,2.48134624605552e-09
"Os08g0208400",255.415626753063,-10.2777863968093,1.51765344503704,-6.77215633807518,1.26876923383038e-11,7.96120974997718e-09
"Os02g0131800",5867.90101754082,-1.06770003338995,0.166789181825822,-6.40149451962024,1.53863337445999e-10,6.03408735399553e-08
"Os04g0472200",863.370105928844,-2.72684333893248,0.434370950671857,-6.27768347472311,3.43654621454489e-10,1.17534104135067e-07
"Os07g0499500",1751.16639572575,-2.42638782652338,0.392274525030397,-6.18543308754338,6.19322012041531e-10,1.9430453975288e-07
"Os06g0140900",561.57561024078,-1.35421774848865,0.21933134822712,-6.17430093525135,6.64568538158713e-10,2.05925996780809e-07
"Os10g0546100",2321.01496638534,-2.4636674793781,0.40311716424206,-6.11154199799526,9.86730266825725e-10,2.84372342580205e-07
"Os02g0559300",339.078606742123,-2.14602149348168,0.35712370395399,-6.0091824477665,1.86461197362532e-09,4.87498915896061e-07
"Os04g0674800",1873.73332624414,-2.4477872051191,0.408730248962994,-5.98875960692775,2.1144742003199e-09,5.47125649008549e-07
"Os03g0819600",5260.03625891596,-1.25269781543232,0.209805219077039,-5.97076574616738,2.36142599062608e-09,5.98681120593173e-07
"Os03g0236200",2240.97750587406,-1.12206968881375,0.190373433773148,-5.89404554288191,3.76853230167498e-09,8.96404516909531e-07
"Os05g0186300",484.452204352253,-1.96895074882114,0.335984876198221,-5.86023624366805,4.62209133600411e-09,1.08420439665764e-06
"Os07g0683900",39855.3724413614,-0.992001636012171,0.169838409797562,-5.84085565329174,5.19333884639903e-09,1.19584964867678e-06
"Os12g0508500",1584.99019290938,-1.29502149548406,0.22597463480323,-5.73082680988386,9.99422704681878e-09,2.12580597159411e-06
"Os02g0176900",182.389653912301,-2.75706594872862,0.481330161276066,-5.7280140962272,1.01613124942779e-08,2.14318304448639e-06
"Os01g0126100",1469.10062482789,-1.8673681062236,0.336487814402526,-5.54958612554612,2.86346661786635e-08,5.28456975307555e-06
"Os03g0836800",1090.12361158636,-4.19527759502675,0.760515365530718,-5.51636138488684,3.46090224795201e-08,6.22480735823955e-06
"Os04g0583500",2527.68199466713,-0.964339627540047,0.174768509157773,-5.51781114450936,3.43248008267061e-08,6.22480735823955e-06
"Os10g0323600",157.311858060644,-2.59008859925483,0.474891081969481,-5.4540687277452,4.92301600505019e-08,8.58074852158018e-06
"Os10g0122600",2401.99104129713,-1.56209514809097,0.286642730529438,-5.4496241547997,5.04763761327379e-08,8.63022970278022e-06
"Os07g0638600",1235.80848305828,-2.44108717892049,0.450867767547582,-5.41419758657481,6.15641552770484e-08,1.02326705902943e-05
"Os03g0831400",460.975110133841,-2.11743114689352,0.394320754978196,-5.3698191641234,7.88156339884921e-08,1.2441469166523e-05
"Os02g0763800",227.500131362985,-1.68274190944101,0.319990298992679,-5.25872788874613,1.45055345999014e-07,2.12909013405219e-05
"Os01g0812100",140.163024690967,-3.32082502997519,0.631741075606696,-5.25662357285541,1.46724200557195e-07,2.14106436615409e-05
"Os07g0481100",493.335617184695,-1.66779827522444,0.318148686729709,-5.24219757864775,1.5867532660738e-07,2.28884598995324e-05
"Os07g0164800",2103.28045314295,-0.830125503949701,0.159991894126292,-5.18854726036577,2.11940976530485e-07,2.92280580765859e-05
"Os04g0613600",5189.94904822979,-2.55899374170608,0.498391216966279,-5.13450810245563,2.82882907637187e-07,3.65413547312981e-05
"Os06g0108600",798.346701229459,-2.47767116401508,0.482783575352276,-5.13205355465372,2.86597920298366e-07,3.67006183753504e-05
"Os08g0431700",1016.14720516871,-1.96304904740014,0.383229227729916,-5.12238865242192,3.01689251742729e-07,3.77786397104588e-05
"Os01g0164300",703.506805720663,-2.41163595295364,0.473029915472914,-5.09827364838564,3.42765073211458e-07,4.15682003598125e-05
"Os01g0308300",85.9453545215702,-19.2446958820877,3.78962277856784,-5.07826161245541,3.80903969166363e-07,4.54987366772366e-05
"Os02g0280200",951.501008248872,-2.6299320498019,0.526626261767386,-4.99392499146493,5.91643838848058e-07,6.65904426513336e-05
"Os02g0641000",285.369321147449,-2.48688296625944,0.499965142537834,-4.97411270240954,6.55471685022148e-07,7.24743780721184e-05
"Os12g0163700",1100.65774148372,-2.44571224767107,0.495803222252924,-4.9328284648046,8.10473272694557e-07,8.76813304800029e-05
"Os12g0578500",2047.47017246853,-0.560421537297737,0.114352554891247,-4.90082217953692,9.54364094125003e-07,0.000100224202503947
"Os01g0227300",3625.22947159494,-0.521780722315112,0.106788680157286,-4.88610517094692,1.0285027282142e-06,0.000106232057512132
"Os01g0206300",84.53169860858,-4.07687137064613,0.844006018180041,-4.83038187267578,1.36271441975858e-06,0.000133084705142104
"Os01g0179000",876.853980351459,-1.01706641031981,0.213346757389424,-4.76719882113484,1.86804944186901e-06,0.000173011708271108
"Os10g0578800",815.500981591722,-2.64324178386409,0.56257378812356,-4.69848016325202,2.62104640837682e-06,0.000230019733579894
"Os02g0712500",1198.23003016675,-1.07442450941589,0.229056739503502,-4.69064787940661,2.72341310708786e-06,0.000236522303026983
"Os01g0294500",3563.02275828998,-2.09129453224548,0.44620918516263,-4.6868029654819,2.77505898084458e-06,0.000237717424437605
"Os07g0516700",892.076160579806,-0.993171014431857,0.21188457803805,-4.6873209160768,2.76804735782497e-06,0.000237717424437605
"Os08g0531000",3535.62806423311,-1.52220231025449,0.324734213334961,-4.68753290459221,2.76518252342814e-06,0.000237717424437605
