"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os04g0326300",313.481481227915,-4.9737641187311,0.233523145195928,-21.2988057974213,1.16452160858339e-100,3.32401047954043e-96
"Os04g0431700",955.454292140427,-4.25539884276986,0.202603840575229,-21.0035448029416,6.0869996309692e-98,5.79157724887949e-94
"Os03g0233900",20309.5768119831,-3.88007987478965,0.202344243202901,-19.1756375836148,5.91390277973754e-82,2.81344068241381e-78
"Os03g0226200",16654.2864997006,-2.62509102055826,0.164681279325525,-15.9404337354536,3.32041149007835e-57,5.26543475404424e-54
"Os04g0194800",489.050303970588,-2.73829238220665,0.175451779048505,-15.6070938525487,6.51371437709701e-55,7.15105627614835e-52
"Os02g0514500",1387.14524693951,-2.69910298370213,0.187110591737868,-14.4251747516433,3.59358561978062e-47,2.699350208711e-44
"Os12g0576750",902.002719916523,-3.47620956220302,0.272484135505205,-12.7574750572465,2.83233697222838e-37,1.02336995614287e-34
"Os07g0499500",1751.16639572575,-3.8478459556358,0.303276336049082,-12.6875904851774,6.92846326649603e-37,2.35435780331979e-34
"Os04g0206200",3486.78770422282,-2.39192984102607,0.188618515067105,-12.6813098924837,7.50667835883429e-37,2.5208309067596e-34
"Os04g0460900",391.428175465315,-13.069600749609,1.05699379640975,-12.3648793342043,4.04818768865387e-35,1.10049018461844e-32
"Os04g0309400",3502.74116934345,-1.60113215108799,0.129908781304972,-12.3250494308709,6.64027534360876e-35,1.77140205054176e-32
"Os07g0481100",493.335617184695,-3.04076097918659,0.247952298921001,-12.2634917781319,1.42236025717507e-34,3.65764425052298e-32
"Os04g0323800",320.419040574189,-12.7809149071241,1.05939380128467,-12.0643663306557,1.62911466027853e-33,3.84309494735458e-31
"Os04g0554600",2210.19640862735,-4.45030148157649,0.373199904904686,-11.924712260345,8.79875032786698e-33,1.9469110802995e-30
"Os04g0511700",779.400580010033,-2.26633206931365,0.191331776088898,-11.8450375344901,2.28316110329321e-32,4.79195224502951e-30
"Os02g0236000",12890.6012433636,-1.18685102270547,0.101752113946514,-11.6641411826523,1.94354333897509e-31,3.87947559914021e-29
"Os02g0771400",799.578374188724,-1.28991595901269,0.110716025486408,-11.6506707438757,2.27659807854979e-31,4.45090517494008e-29
"Os05g0337200",1241.259760309,-3.47724320233628,0.30414275371956,-11.43293127918,2.86278632603298e-30,5.0132130607537e-28
"Os02g0559300",339.078606742123,-3.15715714276346,0.279483608760326,-11.2963946500022,1.36716344707776e-29,2.18012924208869e-27
"Os04g0309600",331.217832578496,-2.67802096664879,0.238393960607591,-11.2335940047448,2.7889838102789e-29,4.37410735607698e-27
"Os10g0546100",2321.01496638534,-3.28912630355347,0.309510835670351,-10.6268534877939,2.23527065783423e-26,2.70354091767883e-24
"Os02g0208500",593.109028290037,-3.44371800118504,0.324888724051838,-10.5996845881163,2.98986879678199e-26,3.6009626554998e-24
"Os01g0716200",2452.43754828043,-1.60438150326534,0.152690479291652,-10.5074102243194,7.98563645401321e-26,9.19120995739327e-24
"Os04g0325300",149.649554552735,-11.0416150138962,1.05258990387067,-10.4899495741818,9.60796552253235e-26,1.09699907150065e-23
"Os04g0192775",348.85809823466,-10.9756997671355,1.04827160300352,-10.4702824494032,1.1828952716859e-25,1.32931348956702e-23
"Os03g0219100",851.014796138464,-2.42367853187772,0.236298303714843,-10.2568596294391,1.10233424504677e-24,1.11183846963304e-22
"Os06g0636700",183.927669556524,-2.52548311451161,0.24689002774123,-10.2291823514177,1.46753153876596e-24,1.44945398763099e-22
"Os12g0561000",14397.1774211412,-0.829078748108356,0.0812027750352144,-10.2099804809481,1.78900822460252e-24,1.73103222925608e-22
"Os04g0296700",108.429987098873,-11.2174620436841,1.10206460453445,-10.1785884398517,2.47119930151026e-24,2.34345225456176e-22
"Os04g0554500",6142.22362363144,-2.96638614413529,0.29272921869354,-10.1335498976644,3.92148608605395e-24,3.58765701411295e-22
"Os08g0561600",2823.24904096469,-1.1931031487645,0.118546647394649,-10.0644191547028,7.93543550891669e-24,7.10059784221059e-22
"Os05g0513800",583.906004403359,-2.19070520426647,0.217945189365541,-10.0516336728689,9.03568873857057e-24,8.05983435480495e-22
"Os03g0794500",16147.9238163769,-1.30391578027126,0.130843986550056,-9.96542382001201,2.15950830748913e-23,1.85665678099306e-21
"Os04g0472200",863.370105928844,-3.35414142514584,0.336768871797064,-9.95977272854075,2.28584658356299e-23,1.9535091281803e-21
"Os04g0476100",7700.12401883812,-1.83143108691342,0.185829433837814,-9.85544135334252,6.49307912093682e-23,5.38774565197734e-21
"Os10g0510000",6543.29805566421,-2.47500046024865,0.252743224312834,-9.7925492047423,1.21200931544783e-22,9.88445540004082e-21
"Os02g0312600",1681.4110966401,-1.48483742730068,0.152474800558535,-9.73824803745622,2.07093824362251e-22,1.61953044454688e-20
"Os10g0323600",157.311858060644,-3.52241897202289,0.362671294255452,-9.71242838299144,2.66901139059242e-22,2.07022448731168e-20
"Os02g0272300",277.120994764808,-3.13761972845353,0.323480532915573,-9.69956275320107,3.02793437951677e-22,2.34225904956441e-20
"Os07g0671100",593.829931486165,-2.02139429897633,0.209686884091226,-9.64006073978809,5.41559223680113e-22,4.11124108529924e-20
"Os09g0367900",1156.28596908403,-1.78354847690854,0.185598805462247,-9.60969803909289,7.27620538342975e-22,5.39459757050958e-20
"Os02g0280200",951.501008248872,-3.93732740816999,0.41199574829867,-9.55671854486151,1.2154957085705e-21,8.76139128925158e-20
"Os12g0163700",1100.65774148372,-3.64550010782145,0.381983023396961,-9.54361813098956,1.3793416725293e-21,9.86765130342766e-20
"Os02g0684100",420.609734710022,-2.50509019663452,0.26268215273283,-9.53658316932712,1.47615776686488e-21,1.05075928422422e-19
"Os11g0707800",6021.54654560169,-1.03889301665911,0.109672457159628,-9.4726884357757,2.72732174151158e-21,1.85796352720064e-19
"Os06g0142700",5807.38173642345,-1.07423817677292,0.113725922555059,-9.44585150542825,3.52526220863691e-21,2.35655935558154e-19
"Os04g0289500",121.445688309706,-10.4951446481915,1.11615943894279,-9.40290811690161,5.30754287665612e-21,3.4827242269258e-19
"Os02g0641000",285.369321147449,-3.70441314630642,0.395302300003843,-9.37108928096398,7.17877772839561e-21,4.63599618731503e-19
"Os04g0446600",81.3852574373285,-10.2378639584902,1.09756444164677,-9.32780214993978,1.08088949526197e-20,6.79579509972636e-19
"Os02g0779650",69.8217731623972,-7.55802703544941,0.812033574413147,-9.30753022239452,1.30839285126741e-20,8.12247148663549e-19
"Os03g0250200",1631.6285297894,-2.23838018318706,0.24077139677786,-9.29670306831433,1.44868098965911e-20,8.93113394575157e-19
"Os09g0421166",433.298671994369,-1.54879393423612,0.166966009394954,-9.27610320117604,1.75790320889785e-20,1.07677230031717e-18
"Os03g0791700",228.873332852383,-1.93972759313391,0.211548678466693,-9.16917849448681,4.76637424433243e-20,2.81097905847572e-18
"Os04g0206300",106.381755419857,-10.1816411636114,1.11312677758138,-9.14688368717012,5.85995559555287e-20,3.41360352080533e-18
"Os04g0307466",119.680633966747,-9.90380513930192,1.08710625868506,-9.11024571901678,8.21955963738289e-20,4.68301617344226e-18
"Os06g0228200",2311.27333206187,-2.14993894068075,0.237160572025818,-9.06533038909478,1.24227193406775e-19,6.89871791556999e-18
"Os02g0831500",794.556480854514,-2.17746600574208,0.240357610226458,-9.05927631619622,1.31318888777908e-19,7.27838128403223e-18
"Os04g0191550",144.310671090626,-9.63516001147015,1.07191934241731,-8.98869871098852,2.50174818758827e-19,1.31996118792088e-17
"Os02g0608500",2382.96532922518,-1.01210542016678,0.112647184581527,-8.98473782479922,2.59351885551292e-19,1.36334074054808e-17
"Os08g0421850",66.7111882968122,-10.5163683516053,1.17152444352548,-8.97665294968855,2.79128644867944e-19,1.4641299946632e-17
"Os04g0599800",3097.56779090298,-1.8877998069916,0.210471401163073,-8.96938869869989,2.9816458891096e-19,1.54742000470444e-17
"Os04g0510400",2093.59101316796,-0.921693476980807,0.103221969768218,-8.92923743899139,4.28955310934878e-19,2.1786655507696e-17
"Os12g0566100",1333.07576914418,-1.04904831290019,0.117547332329378,-8.92447571639194,4.47815248662154e-19,2.26638979748449e-17
"Os04g0487000",80.75789075978,-10.4364941810918,1.17021024918495,-8.91847784478118,4.72740685087602e-19,2.38830267524611e-17
"Os07g0533600",106.681747945579,-3.4223716155762,0.384031160076055,-8.91170293290372,5.02546349141081e-19,2.52547235737377e-17
"Os03g0134800",301.890570347673,-4.23785823962011,0.475810123305599,-8.90661638339768,5.26137262388155e-19,2.63474772238728e-17
"Os07g0101000",215.991046518154,-2.4777338478653,0.278769130094252,-8.88812131754897,6.21508005345948e-19,3.09828386208157e-17
