gene_id,DC1,DC2,DN1,DN2,PC1,PC2,PC3,PC4,PN3,PNC1,PNC2
Os01g0100200,176,164,71,57,27,27,26,38,16,0,4
Os01g0100300,3,7,8,3,0,0,0,8,0,0,9
Os01g0100100,2309,2743,2262,2184,3115,2835,2502,2255,1044,1951,1905
Os01g0100400,1074,925,937,1012,624,840,633,638,758,829,1036
Os01g0100800,1419,1852,1095,1082,2469,2592,2036,1653,1178,1615,1367
Os01g0100500,3138,3159,3081,2727,3521,3579,2999,3057,1920,2779,3131
Os01g0100600,1564,1805,1158,1141,2075,2132,1872,1646,817,1267,1201
Os01g0100650,10,0,0,0,0,0,0,0,0,17,0
Os01g0100700,13629,13678,9389,13833,4270,4665,5783,11095,12969,17092,14501
Os01g0100900,5787,6492,5270,4589,10861,9892,8566,7601,3512,4522,5369
Os01g0101150,83,156,133,146,173,106,148,89,24,70,109
Os01g0101200,1006,1005,575,747,814,948,467,1750,439,315,467
Os01g0101300,640,719,523,625,1024,896,988,896,614,795,595
Os01g0101800,633,730,575,611,125,149,248,415,374,515,752
Os01g0101900,6,3,7,16,0,0,0,0,0,2,10
Os01g0101600,4152,5315,3318,3636,7323,7966,5627,4486,2163,3420,3072
Os01g0101700,581,480,318,325,488,525,511,567,188,345,273
Os01g0102000,1009,728,848,788,259,376,268,471,211,277,313
Os01g0102400,28,16,0,0,22,9,20,0,0,0,10
Os01g0102300,615,622,147,176,735,824,579,1215,104,324,195
Os01g0102500,1482,1571,1344,1210,804,911,965,1300,1087,1435,1517
Os01g0102600,1574,1207,611,883,982,961,389,2032,469,966,711
Os01g0102700,6612,5877,5728,7582,4240,4536,4500,6437,6351,7207,7815
Os01g0102800,3030,3413,2573,2492,3103,3112,2219,2024,1111,1383,1370
Os01g0103100,21,21,48,30,42,46,47,28,9,15,20
Os01g0102850,174,102,108,64,159,219,142,277,59,0,62
Os01g0102900,3562,3056,859,739,8025,7702,4055,29391,511,1223,922
Os01g0103000,1581,1872,1414,1715,409,467,671,1023,1615,2105,1870
Os01g0103050,49,43,26,64,8,15,16,25,33,95,30
Os01g0103400,0,0,0,0,0,0,0,0,0,0,0
Os01g0103650,0,0,0,0,0,0,0,0,0,0,0
Os01g0103600,6314,5939,5303,6126,6959,6997,5890,7135,5431,6754,6955
Os01g0103700,92,67,40,27,446,491,382,356,318,363,366
Os01g0103800,1976,1974,1617,1970,1625,1692,1588,2033,1855,2822,2230
Os01g0104200,243,237,170,213,394,375,370,499,244,433,394
Os01g0104350,500,344,319,374,235,149,155,256,123,181,139
Os01g0103900,275,340,231,308,113,89,91,200,273,291,219
Os01g0104000,2130,1988,1784,1820,2023,1847,1754,2011,1159,1411,1450
Os01g0104100,4229,4130,2636,3164,4020,3994,4245,3901,2225,2939,2809
Os01g0104400,9572,8698,8620,9741,7621,7778,8644,10953,12157,12786,14471
Os01g0104600,1223,1248,1222,812,2169,1965,1286,1605,622,888,1313
Os01g0104800,3906,5206,3414,3762,3811,3696,3324,3641,2939,3826,4054
Os01g0105400,0,0,0,0,2070,2209,1769,1990,1837,2279,2104
Os01g0105300,6,1,2,3,15,18,11,26,0,30,19
Os01g0104900,1237,1097,993,842,2660,3410,3635,3663,2533,4188,4150
