transcript_id,DC1,DC2,DN1,DN2,PC1,PC2,PC3,PC4,PN3,PNC1,PNC2
Os01t0100200-01,176,164,71,57,27,27,26,38,16,0,4
Os01t0100300-00,3,7,8,3,0,0,0,8,0,0,9
Os01t0100100-01,2309,2743,2262,2184,3115,2835,2502,2255,1044,1951,1905
Os01t0100400-01,1074,925,937,1012,624,840,633,638,758,829,1036
Os01t0100800-01,1419,1852,1095,1082,2469,2592,2036,1653,1178,1615,1367
Os01t0100500-01,3138,3159,3081,2727,3521,3579,2999,3057,1920,2779,3131
Os01t0100600-01,1564,1805,1158,1141,2075,2132,1872,1646,817,1267,1201
Os01t0100650-00,10,0,0,0,0,0,0,0,0,17,0
Os01t0100700-01,13629,13678,9389,13833,4270,4665,5783,11095,12969,17092,14501
Os01t0100900-01,5787,6492,5270,4589,10861,9892,8566,7601,3512,4522,5369
Os01t0101150-00,83,156,133,146,173,106,148,89,24,70,109
Os01t0101200-01,1006,1005,575,747,814,948,467,1750,439,315,467
Os01t0101300-01,640,719,523,625,1024,896,988,896,614,795,595
Os01t0101800-01,633,730,575,611,125,149,248,415,374,515,752
Os01t0101900-00,6,3,7,16,0,0,0,0,0,2,10
Os01t0101600-01,983,3522,3104,589,5507,6463,4237,680,437,590,346
Os01t0101600-02,3169,1793,214,3047,1816,1503,1390,3806,1726,2830,2726
Os01t0101700-00,581,480,318,325,488,525,511,567,188,345,273
Os01t0102000-01,1009,728,848,788,259,376,268,471,211,277,313
Os01t0102400-01,28,16,0,0,22,9,20,0,0,0,10
Os01t0102300-01,615,622,147,176,735,824,579,1215,104,324,195
Os01t0102500-01,1482,1571,1344,1210,804,911,965,1300,1087,1435,1517
Os01t0102600-01,1566,1204,610,877,980,958,388,2024,465,959,710
Os01t0102600-02,8,3,1,6,2,3,1,8,4,7,1
Os01t0102700-01,6612,5877,5728,7582,4240,4536,4500,6437,6351,7207,7815
Os01t0102800-01,3030,3413,2573,2492,3103,3112,2219,2024,1111,1383,1370
Os01t0103100-01,21,21,48,30,42,46,47,28,9,15,20
Os01t0102850-00,174,102,108,64,159,219,142,277,59,0,62
Os01t0102900-01,3562,3056,859,739,8025,7702,4055,29391,511,1223,922
Os01t0103000-01,1581,1872,1414,1715,409,467,671,1023,1615,2105,1870
Os01t0103050-01,49,43,26,64,8,15,16,25,33,95,30
Os01t0103400-01,0,0,0,0,0,0,0,0,0,0,0
Os01t0103650-00,0,0,0,0,0,0,0,0,0,0,0
Os01t0103600-02,5185,4802,4345,5070,4983,4882,4695,5771,4952,5780,5900
Os01t0103600-01,1129,1137,958,1056,1976,2115,1195,1364,479,974,1055
Os01t0103700-01,92,67,40,27,446,491,382,356,318,363,366
Os01t0103800-01,1976,1974,1617,1970,1625,1692,1588,2033,1855,2822,2230
Os01t0104200-01,243,237,170,213,394,375,370,499,244,433,394
Os01t0104350-00,500,344,319,374,235,149,155,256,123,181,139
Os01t0103900-01,275,340,231,308,113,89,91,200,273,291,219
Os01t0104000-02,671,947,685,387,579,997,635,1272,0,699,173
Os01t0104000-01,1459,1041,1099,1433,1444,850,1119,739,1159,712,1277
Os01t0104100-01,4229,4130,2636,3164,4020,3994,4245,3901,2225,2939,2809
Os01t0104400-01,9572,8698,8620,9741,7621,7778,8644,10953,12157,12786,14471
Os01t0104600-01,1223,1248,1222,812,2169,1965,1286,1605,622,888,1313
Os01t0104800-01,3906,5206,3414,3762,3811,3696,3324,3641,2939,3826,4054
Os01t0105400-01,0,0,0,0,2070,2209,1769,1990,1837,2279,2104
Os01t0105300-01,6,1,2,3,15,18,11,26,0,30,19
Os01t0104900-01,1224,1095,987,815,2630,3390,3627,3646,2496,4184,4137
Os01t0104900-02,13,2,6,27,30,20,8,17,37,4,13
Os01t0105700-01,225,212,159,212,43,70,126,93,160,158,144
Os01t0105800-01,79,86,58,52,160,121,131,147,84,153,152
Os01t0105900-01,3115,3436,3724,2784,8776,8487,8926,7621,3691,4287,4808
Os01t0106300-01,0,0,12,5,0,43,17,99,190,95,94
Os01t0106200-01,1967,1588,1968,1925,1833,1873,1623,2408,1933,1997,2396
Os01t0106400-01,1257,1247,2376,4106,306,709,646,1072,1012,298,618
Os01t0106600-01,79,93,97,93,24,51,39,50,105,102,124
Os01t0106500-01,1524,1598,1029,1288,497,499,539,894,886,1215,1323
Os01t0106700-01,5279,7090,4441,4207,7352,8561,5480,4399,2059,3622,3695
Os01t0106800-01,4728,4318,4279,4748,4099,4140,4269,5224,4499,5411,5153
Os01t0106900-01,2171,2101,1573,1780,6532,5123,5881,5938,1190,1831,2663
Os01t0107000-01,63,71,96,0,486,521,442,499,32,33,309
Os01t0107000-02,1108,1154,717,1024,2041,2044,1887,1799,786,1324,912
Os01t0107400-01,406,526,479,475,468,523,360,513,424,450,414
Os01t0107700-01,271,336,318,351,138,173,188,312,270,299,335
Os01t0107900-01,5094,5093,3142,3172,7877,8187,6576,6713,2308,3050,3411
Os01t0108600-01,24,50,0,30,50,43,40,23,0,150,31
Os01t0108600-02,156,24,85,141,112,36,58,82,156,0,57
Os01t0108000-01,1566,1888,1331,1279,3308,3322,2742,2227,783,1140,1529
Os01t0108200-01,3084,3458,3003,3040,3829,4311,2895,3177,1891,2752,2975
Os01t0108800-01,1068,1274,908,1027,166,245,331,609,1186,1880,1561
Os01t0109000-01,588,293,130,185,87,111,78,105,157,243,127
Os01t0109432-00,34,17,14,12,8,30,22,12,3,0,6
Os01t0109500-01,101,109,55,50,61,60,25,57,19,68,8
Os01t0109201-01,0,0,0,0,0,0,0,0,0,0,0
Os01t0109300-02,352,330,94,196,218,225,156,251,100,453,357
Os01t0109300-01,609,637,543,482,767,745,493,917,803,422,582
Os01t0109750-01,550,464,509,365,567,647,500,783,500,481,497
Os01t0109700-01,11028,14061,9701,10494,20513,22207,17823,13072,4937,10463,10254
Os01t0110050-01,57,92,21,14,210,258,200,149,19,33,53
Os01t0110100-01,621,780,344,202,1595,2036,1459,1131,200,492,572
Os01t0110200-01,1178,762,1632,1688,110,107,254,622,1642,1075,1179
Os01t0110700-01,13,0,15,0,319,244,340,197,76,151,216
Os01t0110800-01,182,186,84,109,129,76,24,85,27,57,76
Os01t0110400-01,9356,8934,4740,5048,7250,7828,7451,5559,3738,4531,4909
Os01t0110500-01,1634,1472,1173,1626,422,566,556,805,899,831,1257
Os01t0111000-01,6,4,6,0,3,5,0,0,0,0,1
Os01t0111100-01,934,620,326,382,517,386,184,500,124,292,212
Os01t0111300-01,670,697,734,508,1013,892,654,738,497,754,691
Os01t0111200-01,7271,8655,6267,7210,7365,8071,7619,7742,5065,7699,7162
Os01t0111400-01,758,843,561,612,886,881,959,937,507,102,668
Os01t0111400-02,16,12,47,41,148,137,9,68,0,571,53
Os01t0111500-01,405,394,574,764,172,230,236,478,644,419,618
Os01t0111700-01,144,160,78,73,157,70,119,195,34,129,94
Os01t0111800-01,1491,1239,1919,1677,939,917,946,1429,726,1336,1356
Os01t0111900-01,4896,3568,4520,3975,1928,2150,3239,5391,3208,4983,5366
Os01t0112050-01,16,61,18,10,39,40,29,41,31,72,16
Os01t0112000-01,654,605,883,777,82,153,161,475,417,371,562
Os01t0112100-01,529,429,504,424,478,431,394,482,514,628,589
Os01t0112201-01,37,0,0,1,0,2,0,0,0,0,4
Os01t0112400-01,36,28,17,10,5,30,36,20,25,26,34
Os01t0112300-01,2744,3114,1984,2488,2319,2287,1997,2323,1672,2380,2332
Os01t0112600-01,27,30,38,19,17,2,6,14,14,30,23
Os01t0112800-00,0,14,5,8,116,164,125,203,73,111,146
Os01t0113150-00,0,0,5,8,63,90,96,111,58,62,78
Os01t0112500-01,3526,3399,1908,1585,5588,6157,6104,4526,1408,1961,1994
Os01t0113200-01,126,76,64,52,450,282,299,260,121,324,243
Os01t0113300-01,141,276,132,182,129,160,136,311,268,220,285
Os01t0117600-01,348,396,88,88,45,50,54,32,12,37,47
Os01t0117700-00,67,101,88,48,45,33,66,13,0,0,0
Os01t0117900-01,4,3,6,0,24,5,26,18,61,8,11
Os01t0117900-02,163,186,43,107,283,343,255,263,62,292,224
Os01t0113350-02,0,0,0,0,156,121,83,0,0,16,8
Os01t0113400-01,0,0,0,0,0,8,0,6,0,0,0
Os01t0113900-01,0,0,0,0,30,11,0,0,0,0,0
Os01t0114000-00,0,0,0,0,21,18,5,6,8,22,8
Os01t0114050-00,0,0,1,0,0,1,0,0,0,0,0
Os01t0114400-00,0,0,0,0,0,0,0,0,0,0,0
Os01t0114600-00,0,0,0,0,199,207,200,158,107,116,116
Os01t0114700-00,0,0,0,0,0,0,0,0,0,0,0
Os01t0114800-01,0,0,0,0,24,19,0,35,26,32,6
Os01t0115500-00,0,0,0,0,2,4,7,0,0,0,0
Os01t0115566-00,0,0,0,0,0,0,0,0,0,0,0
Os01t0116000-00,0,0,13,0,0,0,0,0,0,0,0
Os01t0116200-01,0,0,0,0,0,0,0,0,0,0,0
Os01t0117200-01,0,0,0,0,0,0,0,0,0,0,0
Os01t0117266-00,0,0,0,0,0,0,0,0,0,0,1
Os01t0117500-00,0,0,0,0,0,0,0,0,0,0,0
Os01t0113350-01,103,141,32,16,607,637,456,297,40,3,8
Os01t0113500-01,57,82,29,15,329,220,260,385,83,83,201
Os01t0113600-01,159,67,52,146,100,74,17,47,58,57,167
Os01t0113600-02,514,582,463,522,222,258,362,431,375,509,140
Os01t0113650-00,109,169,20,44,171,134,61,126,55,28,179
Os01t0113700-00,244,434,275,392,344,298,244,449,213,257,527
Os01t0113800-01,72,79,80,56,352,153,174,239,87,139,104
Os01t0114100-01,1617,1887,984,966,4140,4312,3971,3245,1613,2271,1911
Os01t0114200-01,10,23,9,24,32,50,29,70,22,67,72
Os01t0114300-01,244,348,154,116,3385,3178,3074,2358,334,514,485
Os01t0114550-01,29,23,13,11,0,0,0,3,0,0,0
Os01t0114900-00,5,14,15,0,5,3,7,10,0,11,4
Os01t0115100-01,55,83,42,39,44,68,43,25,34,43,13
Os01t0115300-01,87,252,119,95,359,357,268,125,18,35,61
Os01t0115200-00,2,8,3,7,4,4,5,2,0,0,3
Os01t0115600-01,71,60,50,44,88,70,85,90,88,109,96
Os01t0115700-01,248,288,191,221,0,0,0,13,0,0,0
Os01t0115750-01,313,370,335,350,4,0,0,6,0,0,0
Os01t0115800-01,339,385,245,266,3034,2780,2226,1478,456,765,670
Os01t0116100-01,32,0,18,47,0,5,6,14,14,16,33
Os01t0115900-01,138,130,93,71,931,857,751,481,93,155,117
Os01t0116300-01,118,98,170,117,0,0,0,0,0,0,0
Os01t0116400-01,45,37,0,23,4944,5169,4183,3576,1339,1809,1583
Os01t0116900-00,200,207,8,30,1875,1880,1010,1038,556,818,733
Os01t0116600-01,3872,4647,3159,3090,5039,5705,4805,4730,3175,4777,4117
Os01t0116800-00,18,77,3,0,7,18,14,12,17,9,46
Os01t0117000-00,240,218,114,61,0,0,33,0,0,0,0
Os01t0117050-01,141,132,90,36,0,0,0,0,0,0,1
Os01t0117100-00,118,50,74,40,86,51,52,0,0,30,0
Os01t0117300-00,1,6,1,0,0,0,0,0,0,0,0
Os01t0117400-00,66,48,21,6,28,37,50,21,22,41,29
Os01t0118033-00,0,0,0,0,2,1,1,0,0,0,0
Os01t0118000-01,12389,14030,12935,16080,8415,7834,9431,12065,14786,14984,14947
Os01t0118066-01,148,144,159,155,304,350,248,169,51,63,115
Os01t0118100-01,3273,3482,2972,2739,4931,5460,4312,4690,3187,4538,3914
Os01t0118300-01,192,401,898,887,279,590,154,816,387,141,436
Os01t0118350-00,6,18,14,23,7,6,5,12,8,7,13
Os01t0118300-02,1545,2233,1248,1339,527,478,692,625,998,1824,1564
Os01t0118400-01,2762,2495,3828,3432,796,857,1123,1599,2693,3371,3556
Os01t0118600-00,637,648,687,678,210,276,289,346,523,487,632
Os01t0118700-01,2232,2173,2112,1848,2939,2708,2583,2884,1718,2388,3195
Os01t0119000-01,1140,909,2072,1958,289,403,565,695,1155,981,1568
Os01t0119050-01,142,130,339,168,87,69,50,104,212,177,239
Os01t0119100-00,1531,1280,2209,1884,418,462,507,1196,1908,2283,2269
Os01t0119800-01,20,35,29,60,4,10,0,21,0,9,11
Os01t0119500-01,1000,1354,826,1144,388,302,367,322,446,387,479
Os01t0120400-01,485,546,488,388,2901,2589,2334,2578,844,1076,931
Os01t0120500-01,490,483,189,151,840,829,531,1199,182,383,293
Os01t0120600-01,385,525,475,415,560,672,691,678,610,718,720
Os01t0120300-00,13735,17300,9628,9684,1714,1662,989,1928,646,868,746
Os01t0120700-02,6031,5639,3661,4687,5313,6376,4957,5568,2132,3298,2922
