"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os11g0206000",5416.25641327975,-11.98178479398,0.391695807928841,-30.5895150048598,1.68744480369622e-205,2.46999733141034e-201
"Os12g0285100",6725.79263216323,-4.61122980521117,0.208856859765132,-22.0784216060544,5.09574868948549e-108,1.65753380982986e-104
"Os07g0220600",2470.25761189441,-2.9790465103188,0.139822557692441,-21.3059077124854,1.00069114371828e-100,2.66320302112296e-97
"Os03g0847500",2873.20086470199,-3.53516755644328,0.174172048185266,-20.296985614379,1.36718569982851e-91,2.85888295446282e-88
"Os06g0244000",3312.04095696697,-4.73301842470732,0.234279315927286,-20.2024596408516,9.31405607085724e-91,1.81779327649564e-87
"Os04g0367400",910.612586820867,-2.46300052768057,0.122616818743654,-20.0869713707856,9.59385654628791e-90,1.75537593995362e-86
"Os04g0206200",3931.30252905569,-4.46584156801783,0.222441524833812,-20.0764743514247,1.18513447067803e-89,2.04087127229996e-86
"Os07g0158900",1701.67912995646,-6.11117640394861,0.305985178144475,-19.9721321176646,9.62555839206074e-89,1.56549012181988e-85
"Os03g0226200",19699.4480414952,-3.93764296231801,0.198608674798691,-19.826137837681,1.77129645768431e-87,2.72919493677412e-84
"Os06g0720000",1106.25055819826,-6.74134764124728,0.348285458451279,-19.355811383065,1.8210439182957e-83,2.53862193848127e-80
"Os05g0155000",860.389949816837,-6.29547483771488,0.348129631060591,-18.0837086993585,4.28282968725607e-73,4.84144579935532e-70
"Os06g0621500",416.693952986465,-7.17461966127482,0.410766050533602,-17.4664377738975,2.5811578771158e-68,2.5187798950855e-65
"Os04g0194800",563.692350490248,-3.0189728262843,0.177814413447119,-16.9782233496056,1.19035251615115e-64,1.12411515839758e-61
"Os12g0576100",803.143301889502,-3.61315247656745,0.216458878802738,-16.6920964228969,1.49623235589292e-62,1.36881881933641e-59
"Os07g0115200",7084.92536732209,-16.9541228334661,1.03561012009248,-16.3711444148036,3.07379280322577e-60,2.57100812326955e-57
"Os03g0673700",1006.32933205177,-6.39685758920018,0.393240965020994,-16.267017320687,1.69201358422792e-59,1.27009481226339e-56
"Os09g0340400",5412.32120053777,-16.5584402304634,1.03742949149253,-15.961027102325,2.38769476832409e-57,1.70487230104116e-54
"Os08g0367300",4193.24952472401,-16.1791523347279,1.03933882731106,-15.5667737118856,1.22428628675602e-54,7.96466245439612e-52
"Os03g0743200",808.227739353772,-2.99955477915274,0.192766643594918,-15.5605488751262,1.34936758288437e-54,8.58755130194347e-52
"Os09g0241700",3824.49182770383,-16.0657448898971,1.03934656593228,-15.4575436302965,6.71092414340191e-54,4.18004902761896e-51
"Os11g0549665",3814.41814753549,-15.8771628348901,1.03150293111391,-15.3922614817435,1.84470572648753e-53,1.12507833631088e-50
"Os01g0942900",3720.57347240894,-15.8083131838592,1.0375622163524,-15.2360147032282,2.0393621156088e-52,1.17063384185192e-49
"Os02g0129000",3206.36312438244,-15.7751444445216,1.04229860951301,-15.1349568161586,9.52432062747552e-52,5.36200935325665e-49
"Os01g0120300",5713.26565627188,-3.21642660633709,0.212957534948541,-15.1036055479995,1.53315541908498e-51,8.46851413088921e-49
"Os06g0271500",2948.36160210544,-15.644074203533,1.03621432234147,-15.0973344666604,1.68613002681715e-51,9.14101046945782e-49
"Os11g0178200",478.225996433626,-4.50920427342505,0.298781741098558,-15.0919673231893,1.82906269349568e-51,9.73560188219748e-49
"Os04g0330301",3952.54629185361,-11.8200945798586,0.787358353288638,-15.0123441638594,6.09548280796509e-51,3.18652248577104e-48
"Os11g0308100",2499.77865914876,-15.3517217408852,1.03285005398479,-14.86345639588,5.69115552829949e-50,2.77680963484946e-47
"Os01g0795400",2109.4773152349,-3.59699489889321,0.243319542919821,-14.7830086138148,1.88551922988428e-49,8.90299604110682e-47
"Os01g0541000",2254.33546965104,-15.3187454446853,1.03931101296511,-14.7393275483357,3.60354980537199e-49,1.67450667543278e-46
"Os06g0135000",2309.46316674778,-15.3536293451216,1.0420107865895,-14.7346165152224,3.86384412807521e-49,1.7674068257719e-46
"Os01g0943800",2541.93658260287,-15.2103845000806,1.04311606648958,-14.5816798232898,3.67364696317405e-48,1.6051644007003e-45
"Os08g0424500",5583.55103296866,-2.40149135561459,0.164710580020432,-14.580067384358,3.76145266205208e-48,1.61936068649375e-45
"Os01g0539400",1846.41837621531,-14.9178074017913,1.04206923628261,-14.3155626155973,1.74942600517735e-46,7.11311754188431e-44
"Os11g0549680",1786.93921149994,-14.9356728296971,1.04491835177155,-14.2936266784628,2.39789502655554e-46,9.61621601402922e-44
"Os11g0172166",1061.37269657851,-14.6363243019416,1.03849078842176,-14.0938412406961,4.14393980571034e-45,1.55530561297654e-42
"Os12g0103580",1352.43283786422,-14.5504190939823,1.03626568647468,-14.0412051502757,8.72167395816532e-45,3.19158756406612e-42
"Os07g0212400",1413.98535621747,-14.535982842624,1.03850999149063,-13.9969600309379,1.62681938874219e-44,5.87964661795401e-42
"Os11g0549675",1188.33686722414,-14.3004331061809,1.03854242512505,-13.7697149006301,3.87740257919377e-43,1.38428000616948e-40
