"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os05g0103800",4007.20316945813,5.80026364400422,0.206523499560043,28.0852477144757,1.48342249091382e-173,4.1706423332042e-169
"Os06g0244000",3312.04095696697,-6.65961937709031,0.257042647229964,-25.9086165228149,5.32566461419013e-148,7.48655303139777e-144
"Os04g0688300",11629.3918681525,5.26343701658355,0.205878347804283,25.5657628532516,3.66771435365316e-144,3.43725963509862e-140
"Os12g0118800",13238.4268733451,12.106423232263,0.495169706044411,24.4490385507897,5.15228866169308e-132,3.62141489308753e-128
"Os06g0347100",10348.5773191231,9.12746569420381,0.407064872272734,22.422631663703,2.36765176229673e-111,1.33133058593945e-107
"Os12g0285100",6725.79263216323,-4.84477087805726,0.221482338034806,-21.8742989668815,4.56472993635508e-106,2.13895636934372e-102
"Os12g0179700",1479.32048755811,7.66738537995094,0.369834503344917,20.7319363407263,1.78463109012637e-95,7.16784329984325e-92
"Os03g0111600",2273.31777206748,2.32066698955189,0.114104835002653,20.3380250231984,5.9269565066672e-92,1.90745921019801e-88
"Os03g0847500",2873.20086470199,-3.78259886514433,0.185999892085147,-20.3365648374287,6.10604050925915e-92,1.90745921019801e-88
"Os11g0673100",1749.89196988361,2.91255112175639,0.148615571779993,19.5978865933918,1.61180302669561e-85,4.53158420955471e-82
"Os04g0308000",904.113444218882,7.22119860444992,0.375622858230533,19.2245984135982,2.30415932300458e-82,5.88922176057033e-79
"Os07g0215200",1259.3227613935,8.23361598756737,0.446251069060704,18.4506358828405,5.15351192245361e-76,1.20742489749819e-72
"Os06g0720000",1106.25055819826,-7.15013499914489,0.391747086017738,-18.2519162346013,1.99777233888388e-74,4.32056686982464e-71
"Os02g0687900",9032.5939793014,2.76517096731959,0.155072076744739,17.8315208344781,4.02326685861601e-71,8.07958198071351e-68
"Os12g0609050",1661.75381823341,-6.86855821090448,0.385832143841165,-17.8019336142508,6.82704546177069e-71,1.27961588771789e-67
"Os08g0462900",1944.80470784439,4.32023172929064,0.245717763871965,17.5820895535325,3.37891161962339e-69,5.93738126160698e-66
"Os07g0124900",9918.21646545217,5.39087692331569,0.312825447093049,17.2328593258981,1.50523206875999e-66,2.48938821254042e-63
"Os04g0367400",910.612586820867,-2.20424505524342,0.128902636807618,-17.1000773128727,1.48207567127147e-65,2.31491986098875e-62
"Os01g0124650",5445.9275024302,5.50551348327289,0.326381624167528,16.8683316571982,7.69388664872917e-64,1.13849275331063e-60
"Os12g0508400",2658.84072635193,-3.69012774586545,0.224487169489388,-16.438034094594,1.02180101326309e-60,1.43639677439459e-57
"Os09g0380400",2693.49293070289,2.38379622974642,0.145438486348135,16.3904086848123,2.23933985486306e-60,2.9980495247369e-57
"Os01g0120300",5713.26565627188,-3.67564517697402,0.225601899944904,-16.2926162318299,1.11361660548089e-59,1.42315140286796e-56
"Os05g0404901",1275.32217577347,9.29590492758852,0.576753130718031,16.1176497057164,1.91764913227449e-58,2.34411762408249e-55
"Os09g0392666",2204.85748947025,4.73868821618923,0.295439731394234,16.0394412553331,6.77612488511717e-58,7.93794796437788e-55
"Os04g0458400",643.940761852251,3.60678351517279,0.22491137633285,16.0364654468837,7.1086716446843e-58,7.99441213161196e-55
"Os06g0274300",1001.0498226038,3.48420806390543,0.217733743881259,16.0021501573295,1.2343731032991e-57,1.33478460766362e-54
"Os06g0712700",747.398899269354,4.41458416880685,0.277463421567012,15.9105086496623,5.35764411078372e-57,5.57889496943275e-54
"Os12g0125400",1741.8456395338,3.19169863266721,0.202427481984044,15.7671211506686,5.23836544503999e-56,5.25988016026069e-53
"Os07g0126301",10030.784287153,4.66929151348556,0.300190047718671,15.5544514182611,1.48421493377717e-54,1.43892078838432e-51
"Os06g0142050",1389.05077023508,2.8341614819434,0.183294810170947,15.4623116677453,6.23212439786267e-54,5.84053924819697e-51
"Os02g0725300",2686.95439967236,2.29018651593271,0.14938877229874,15.3303791221533,4.79181632184838e-53,4.34586825447636e-50
"Os07g0220600",2470.25761189441,-2.26613203687646,0.148352644416819,-15.2753059831506,1.11702488525307e-52,9.81411082777819e-50
"Os09g0241700",3824.49182770383,-13.0986386425019,0.859722672944244,-15.2358883332037,2.04330922428498e-52,1.74083754062946e-49
"Os07g0125500",10217.4016479301,4.40806389349681,0.289744418465088,15.2136283309559,2.871755622444e-52,2.3746885095592e-49
"Os05g0281400",687.578853656228,7.27851576353891,0.487415864011556,14.9328659589265,2.01419693602242e-50,1.61797562446486e-47
"Os07g0151800",2569.55963955605,4.48177111323186,0.300580683377666,14.9103763517655,2.82157689107223e-50,2.20357317479155e-47
"Os01g0144200",1324.8653183714,-2.97983167995171,0.200398404326353,-14.8695379584909,5.19707681772653e-50,3.94907607379409e-47
"Os07g0442800",1634.19717807402,-2.06869528398748,0.139368956962681,-14.8433003236253,7.68787218692053e-50,5.62859979098543e-47
"Os12g0535300",1379.90291361156,2.82957953201608,0.190643411147779,14.8422623943856,7.80776780538615e-50,5.62859979098543e-47
"Os01g0976450",460.670397853806,4.08957138885971,0.276101722366765,14.811828603616,1.22852165834437e-49,8.634971606088e-47
"Os07g0539300",5139.46281433086,3.86512657055943,0.265819098371014,14.5404396984476,6.71598784099674e-48,4.6053658085274e-45
"Os06g0159600",5429.75003304699,4.41545150558015,0.305523291150497,14.4520945979374,2.43176589148731e-47,1.62783566759918e-44
"Os03g0673700",1006.32933205177,-6.18638810349244,0.428532058583534,-14.4362317347758,3.06127475943095e-47,2.00157534561398e-44
"Os10g0370800",4788.96510476939,3.77977120386617,0.263627524371062,14.3375438998018,1.27487991921164e-46,8.14619293832622e-44
"Os12g0554000",2281.4368665963,2.65447079222885,0.18740393056247,14.1644349948359,1.52085182434251e-45,9.50194423141993e-43
"Os05g0155000",860.389949816837,-4.92668460337541,0.349427662806184,-14.0992975879763,3.83568460189017e-45,2.3443537517857e-42
"Os11g0575600",2001.74902465635,8.47593025013454,0.602139350541437,14.0763599696865,5.30739616393194e-45,3.17483921593503e-42
"Os09g0567900",1599.00570160379,2.27180459023907,0.162787265999234,13.955665243802,2.90577690641375e-44,1.70199828591297e-41
"Os02g0222100",1168.53106511657,3.25091963769623,0.234665212365441,13.8534365828098,1.21268555141666e-43,6.9580927098121e-41
"Os12g0576100",803.143301889502,-3.23993617129911,0.233976308849128,-13.8472830314982,1.32115458041928e-43,7.42885220569759e-41
"Os08g0521000",7004.19756790057,2.90740588416303,0.211239683301539,13.7635402530536,4.22328590102271e-43,2.32818986484811e-40
"Os07g0115200",7084.92536732209,-16.412581654644,1.19286788731089,-13.7589265577794,4.5016114328147e-43,2.43390010449203e-40
"Os07g0642100",1303.22346296805,10.1205732071868,0.735834141011108,13.7538782765368,4.82709488779397e-43,2.56063722208165e-40
"Os01g0116400",2226.64769402284,7.32585800311482,0.53882577201686,13.5959680913065,4.23124637298484e-42,2.20299058845312e-39
"Os08g0114400",1356.06541994886,5.9419022381773,0.441702414889105,13.4522747394739,2.98544787476e-41,1.52610667270686e-38
"Os09g0340400",5412.32120053777,-16.0329724629304,1.19462517606885,-13.4209229673947,4.55998400063597e-41,2.28935625317644e-38
"Os04g0621900",270.251181287737,3.52789796661958,0.26360682936356,13.3831812139965,7.58309676666528e-41,3.7403292209613e-38
"Os04g0613600",6026.31041409559,5.86321881584623,0.438587752919386,13.3684052434631,9.25028766513828e-41,4.47163103359845e-38
"Os11g0206000",5416.25641327975,-15.9853397842722,1.19585055985591,-13.3673389643253,9.38382468370296e-41,4.47163103359845e-38
"Os06g0731200",1268.07441960602,-5.62412132046043,0.422257363288763,-13.3191787981074,1.79066270889688e-40,8.39074701010596e-38
"Os01g0270100",5473.69449445635,2.02030614282368,0.151708989961917,13.3169836759894,1.84408571819097e-40,8.49942130605557e-38
"Os04g0115200",1194.49773477673,-1.97072866266177,0.148200105490184,-13.2977547900079,2.38523725683057e-40,1.08162815283535e-37
"Os05g0515900",1203.50628802289,3.37550655769173,0.254540378704039,13.2611830581761,3.88714672065228e-40,1.73471635001808e-37
