"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os04g0431700",1104.79158913004,-4.32652782643553,0.198160141232044,-21.8334918391545,1.11564029152048e-105,3.20132981651803e-101
"Os02g0828200",1269.92004352199,4.18567207065269,0.195013612492536,21.4634866620549,3.41694216524094e-102,4.90245777157944e-98
"Os11g0707000",21128.814384291,7.46374488529418,0.353345914668094,21.1230541389025,4.88334731233499e-99,4.67092170424842e-95
"Os11g0133001",2087.02958628138,7.12102583757453,0.351207814680725,20.2758183044648,2.10265611873191e-91,1.5083929331753e-87
"Os05g0366600",5596.14901525869,5.86443332804776,0.312184420801737,18.7851569049699,9.98905490008129e-79,5.73271860715665e-75
"Os04g0320700",7412.14253150638,2.56300212989715,0.137311708787278,18.6655759551265,9.43524494353428e-78,4.51240589424527e-74
"Os03g0233900",24058.8331495351,-3.93868587931553,0.212504222859394,-18.53462404802,1.08545669167575e-76,4.44959710966225e-73
"Os07g0147500",11882.8190363299,8.49464251964117,0.468240926736132,18.1416062428651,1.49594517168354e-73,5.36576833768239e-70
"Os04g0504000",2464.76925592379,2.91202838871501,0.162992514800136,17.8660252729138,2.16909738139082e-71,6.91580548433441e-68
"Os10g0558700",1376.97390300857,3.80917902046969,0.218428592139947,17.4390128286371,4.17218281825474e-68,1.1972078596982e-64
"Os02g0586900",1445.21033972893,3.99148688315345,0.231429568289848,17.2470912539335,1.17676475721066e-66,3.06975133710543e-63
"Os12g0609050",1661.75381823341,5.70199892329993,0.335800247439155,16.9803297251384,1.14839067936524e-64,2.74608921203214e-61
"Os02g0160500",491.482350258521,5.35826662421821,0.315752606875916,16.9698254504796,1.3733966991491e-64,3.0315090986218e-61
"Os04g0490500",1345.04825240482,2.83246951929248,0.16847987522402,16.8119160554118,1.99613648271203e-63,4.09136688367298e-60
"Os09g0570100",2497.75385630705,5.90606343755683,0.352946829023512,16.7335784086712,7.46174284520473e-63,1.42743140628767e-59
"Os01g0200700",5038.91030484947,4.41238527488515,0.265478629131366,16.6204914095054,4.95250183516031e-62,8.88200250999532e-59
"Os04g0194800",563.692350490248,-2.6675952397252,0.160648532865162,-16.6051640319941,6.3945112628528e-62,1.07935588639742e-58
"Os04g0468600",11184.6827326072,3.16298091049647,0.191875741061869,16.4845273977422,4.73986480373331e-61,7.55613447461819e-58
"Os03g0826900",1971.01030633122,6.2557105887946,0.38087078933122,16.424758117521,1.27189980784347e-60,1.92090342031939e-57
"Os04g0326300",368.338485933615,-4.73015966690045,0.290785853830824,-16.2668149244028,1.69761445351011e-59,2.21422939743058e-56
"Os07g0635300",447.708170026331,5.02844434899368,0.309087165126157,16.2686934830868,1.64633145376964e-59,2.21422939743058e-56
"Os12g0639200",2911.28055400248,4.06877099070821,0.250078515805003,16.2699741623579,1.61225773915787e-59,2.21422939743058e-56
"Os04g0654400",649.493562702022,4.22658901665512,0.261837399874777,16.1420370759734,1.29205636013823e-58,1.61198075018115e-55
"Os02g0772100",551.885978100136,4.34877836733839,0.269864141956033,16.1146951047942,2.01153644300413e-58,2.40504325966682e-55
"Os01g0149800",6303.84796121536,3.26047166736344,0.202696011972022,16.085524503627,3.22311028681307e-58,3.69948598720404e-55
"Os12g0508400",2658.84072635193,3.05193622774296,0.189956440182253,16.066505693699,4.38095864182253e-58,4.83506185488837e-55
"Os02g0218700",953.163653393694,4.06906308449281,0.255762367633357,15.9095457324118,5.44068210620367e-57,5.78223603842646e-54
"Os02g0707200",1103.62368694606,4.00837753426911,0.25558666202447,15.6830466133062,1.97547270368754e-55,2.02450675829693e-52
"Os12g0431300",3980.18410847305,5.26796110709536,0.340844434178731,15.4556172225272,6.91460579131975e-54,6.84188321316967e-51
"Os01g0884300",13344.3710907421,1.96211596143968,0.128121588173907,15.3144836042493,6.1195970878203e-53,5.85339461450012e-50
"Os07g0290200",486.338063107322,3.38130174866646,0.221233935383287,15.2838295029574,9.80080999640055e-53,9.072072349894e-50
"Os03g0226200",19699.4480414952,-2.65975922964047,0.175318313003,-15.1710291074667,5.50075400420363e-52,4.93262925470698e-49
"Os08g0458200",2511.36666473188,3.76573789623726,0.251175145949206,14.9924781849188,8.22269677712462e-51,7.15000860665427e-48
"Os02g0514500",1618.89345591373,-2.74444151545036,0.1847960390375,-14.8511923185401,6.83422327744288e-50,5.7678834395948e-47
"Os01g0970700",3899.43786722959,1.68694717102286,0.11363163537091,14.8457528180108,7.41180636062353e-50,6.0766223862312e-47
"Os02g0134300",2446.5286678082,3.45839339113449,0.233096302038525,14.8367578588308,8.47542978996222e-50,6.75562382841572e-47
"Os11g0210201",1302.02356109887,3.67405339390672,0.249006433612813,14.7548532806972,2.86313364365474e-49,2.22047621363981e-46
"Os07g0643400",310.809965465029,5.13891130510798,0.349529029214884,14.7023877148375,6.22262696171277e-49,4.69890212279863e-46
"Os01g0585300",869.985430899433,4.10094682480225,0.28029005040473,14.6310824051036,1.77933674316413e-48,1.3091812267973e-45
"Os08g0440800",4774.03615845679,1.66904953635722,0.114923477333808,14.523138135729,8.64596872733472e-48,6.20240181577174e-45
"Os01g0855600",2354.94618987023,3.34188445776252,0.230416016113612,14.5036986322805,1.14793963431293e-47,8.03417751380724e-45
"Os03g0150600",5471.87315212757,2.39012926936628,0.165324939491933,14.4571610109854,2.2592600673053e-47,1.5435587531268e-44
"Os10g0456000",9149.88063188273,2.81700222331731,0.196471032854927,14.3380028209928,1.2664787114863e-46,8.4515364246743e-44
"Os01g0261200",12059.9889785731,2.17078846003969,0.151669960038103,14.3125801542661,1.82610498359861e-46,1.19091096600823e-43
"Os02g0611200",29717.2573151437,1.18146094137037,0.0830191409586793,14.231187262687,5.86770463886669e-46,3.74163965805066e-43
"Os12g0291066",1767.70616474526,7.44568852090527,0.523354969199106,14.22684212266,6.24382523667413e-46,3.89492532970357e-43
"Os02g0575900",1597.34858067624,4.72996526633594,0.332906645398108,14.2080830518705,8.16295385884598e-46,4.98374385062948e-43
"Os02g0685200",256.661835625822,3.19806896127789,0.228490127675524,13.9965301512695,1.63668709781828e-44,9.78432005664492e-42
"Os09g0133600",2617.52775849669,1.86717288626714,0.13463753272483,13.8681454456184,9.87983260491208e-44,5.78575095097861e-41
"Os08g0103600",3596.89538465373,1.56097667649016,0.112738599607668,13.8459824933287,1.34528660585127e-43,7.72059983098042e-41
"Os02g0227100",3430.98926802112,2.61088727182792,0.188715282825459,13.8350600583987,1.56605607487238e-43,8.81136844479665e-41
"Os08g0203600",6700.1390088175,3.88428075759624,0.281599303141823,13.7936447791562,2.78334386001096e-43,1.53592407813489e-40
"Os04g0688300",11629.3918681525,2.16391240741087,0.157161727234396,13.7686983051767,3.93234632091441e-43,2.12903165431394e-40
"Os03g0857900",1668.19667321244,2.4963257574201,0.181498063479475,13.7540076712852,4.81846694040989e-43,2.56047979361226e-40
"Os03g0195100",2690.49573569288,4.01807921244244,0.292841314109015,13.7210120937602,7.59970889873089e-43,3.96497539725605e-40
"Os01g0940800",1415.82479374721,5.80202756714783,0.423023992939145,13.7155992662158,8.18870077921989e-43,4.19597801535205e-40
