transcript_id,DC1,DC2,DC3,DN1,DN2,DN3,PC1,PC2,PC3,PC4,PN3,PNC1,PNC2
Os01t0100100-01,2571,2973,1647,2565,2474,1390,3468,3153,2760,2517,1164,2213,2154
Os01t0100200-01,202,180,51,69,84,128,27,29,26,36,21,0,4
Os01t0100300-00,3,7,0,8,4,0,0,0,0,8,0,0,9
Os01t0100400-01,1215,1070,947,1017,1211,436,686,882,708,729,839,1139,1228
Os01t0100800-01,1600,2021,951,1244,1279,1193,2792,2858,2331,1958,1317,2023,1577
Os01t0100500-01,3661,3505,1716,3479,3079,1760,3975,3887,3346,3432,2184,3407,3537
Os01t0100600-01,1823,1986,1196,1287,1273,1531,2396,2341,2090,1910,910,1523,1440
Os01t0100650-00,10,0,0,0,0,0,0,0,0,0,0,18,0
Os01t0100700-01,15211,15026,16436,10523,15780,6636,4825,5122,6375,12613,15738,21510,16872
Os01t0100900-01,6374,7117,4261,5998,5083,3747,12140,10839,9401,8461,4049,5378,6068
Os01t0101150-00,105,191,77,134,165,84,186,119,178,99,31,110,126
Os01t0101200-01,1161,1083,617,670,859,1542,908,1027,480,1948,526,402,537
Os01t0101300-01,756,788,530,611,667,469,1154,1022,1125,1066,728,1108,690
Os01t0101800-01,704,804,623,648,737,263,132,159,278,440,448,640,872
Os01t0101900-00,6,3,0,10,16,9,0,0,0,0,0,2,10
Os01t0101600-01,1129,3872,2492,1126,659,585,6022,6999,4366,774,475,673,398
Os01t0101600-02,3565,1908,254,2531,3343,2007,2043,1615,1793,4265,1947,3601,3161
Os01t0101700-00,621,550,321,367,344,413,586,580,597,670,236,369,321
Os01t0102000-01,1127,800,582,952,916,656,297,395,323,522,275,376,344
Os01t0102400-01,28,16,0,0,0,0,22,10,22,0,0,0,10
Os01t0102300-01,682,733,228,173,194,944,826,903,639,1398,110,395,238
Os01t0102500-01,1715,1792,1548,1536,1443,1124,948,1045,1057,1493,1320,1824,1884
Os01t0102600-01,1765,1328,1284,690,1085,1543,1094,1040,445,2262,596,1226,789
Os01t0102600-02,7,3,4,1,12,2,1,3,1,8,6,8,1
Os01t0102700-01,7556,6519,7150,6718,8709,4033,4930,5029,5023,7534,7454,9436,9320
Os01t0102800-01,3337,3745,2084,2858,2848,1886,3465,3379,2499,2272,1258,1887,1627
Os01t0103100-01,21,21,7,52,35,25,51,46,47,43,9,27,23
Os01t0102850-00,198,102,206,119,105,0,176,253,156,315,91,0,75
Os01t0102900-01,3982,3378,2371,972,852,1302,9072,8476,4492,33553,601,1514,1084
Os01t0103000-01,1734,2069,1839,1579,1955,801,467,531,771,1220,1974,2460,2234
Os01t0103050-01,57,62,32,28,74,26,9,16,19,37,34,99,33
Os01t0103400-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Os01t0103650-00,0,0,0,0,0,0,0,0,0,0,0,0,0
Os01t0103600-02,5743,5225,4485,4895,5792,3173,5640,5411,5053,6581,5801,7332,7032
Os01t0103600-01,1282,1447,656,1033,1418,384,2232,2373,1436,1585,649,1299,1375
Os01t0103700-01,95,70,0,43,28,22,507,574,400,412,318,389,400
Os01t0103800-01,2253,2196,1628,1850,2246,978,1820,1814,1719,2315,2159,3383,2620
Os01t0104200-01,277,258,647,183,215,247,442,406,406,588,254,532,487
Os01t0104350-00,572,448,279,387,461,782,288,150,181,295,139,236,195
Os01t0103900-01,314,365,339,259,342,63,118,94,101,218,304,425,297
Os01t0104000-02,690,1018,1214,777,431,282,665,1077,482,1466,0,574,222
Os01t0104000-01,1738,1146,373,1176,1608,1078,1642,898,1442,886,1281,1196,1525
