"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os05g0103800",3222.16185386114,5.81153093421448,0.217005005407769,26.7806308121519,5.4330008111019e-158,1.52460868761141e-153
"Os06g0244000",3573.70261672036,-6.46298803771519,0.267362906079769,-24.1730916695936,4.26977457722485e-129,5.99092070930418e-125
"Os12g0285100",7849.43986859743,-4.95575236151989,0.221312648957385,-22.3925400778794,4.65301809972544e-111,4.35243313048317e-107
"Os06g0720000",1303.16622745461,-7.13243125279585,0.335604237026091,-21.2525065714273,3.1252785964203e-100,2.19253919931866e-96
"Os03g0111600",1933.56186111434,2.31782332671466,0.116475986390075,19.8995810085035,4.1034432968711e-88,2.30301651593594e-84
"Os12g0609050",1859.38210845879,-7.056131917567,0.359890891785955,-19.6063086858103,1.36592973595425e-85,6.388453375058e-82
"Os06g0713400",2625.11417197195,-10.9633219400171,0.588910655056123,-18.6162737010971,2.37153278435109e-77,9.50713614206573e-74
"Os01g0120300",6802.44184805326,-3.77142993078187,0.205941351346863,-18.3131260726251,6.50271253359868e-75,2.28098898897308e-71
"Os04g0308000",722.191148973399,7.72030002939307,0.42201533949459,18.293884858875,9.25761180446829e-75,2.88652336063321e-71
"Os07g0124900",8002.08960182393,5.5398406167562,0.326136894356231,16.9862432390283,1.03830007237801e-64,2.91367766310718e-61
"Os05g0404901",1019.32726766201,9.75818777025512,0.580558115232824,16.8082876015638,2.12213483697282e-63,5.41375889046649e-60
"Os04g0419400",3897.35548477112,-12.7731307068103,0.762937220624743,-16.742046870319,6.47237479982945e-63,1.51356484694012e-59
"Os03g0847500",3112.71710262522,-3.84198160002322,0.238253931170126,-16.125574848458,1.68682164373662e-58,3.64119915127208e-55
"Os01g0144200",1461.66618095046,-3.14593697503726,0.203378912373925,-15.4683538146436,5.67395251914739e-54,1.13730325423081e-50
"Os03g0673700",1268.23430220344,-6.53198797361504,0.425413285084734,-15.3544522529756,3.30690778619166e-53,6.18656308640736e-50
"Os04g0367400",974.43870220069,-2.10006278149691,0.137518155440885,-15.2711674670452,1.19022935636755e-52,2.08751351239914e-49
"Os09g0241700",4858.38992245704,-13.3918362537032,0.886271197648886,-15.11031418964,1.38477895806783e-51,2.28586277184115e-48
"Os07g0126301",8155.51456398706,4.79913296389278,0.319772370349781,15.0079663188013,6.5113657902514e-51,1.01512192670019e-47
"Os03g0170200",392.43999627206,-5.83310294875352,0.390227016916578,-14.9479730922898,1.60562223614875e-50,2.37141953635822e-47
"Os12g0554000",1911.75337424092,2.69619300436038,0.183704083999182,14.6768266968544,9.0738602646037e-49,1.27315333372654e-45
"Os07g0642100",1041.64288047871,10.578247078747,0.737491658327369,14.3435481056674,1.16921629561598e-46,1.5624070327417e-43
"Os05g0155000",974.78906714785,-4.73906756944497,0.333145498568513,-14.2252186801508,6.39042753238063e-46,8.15128079153024e-43
"Os10g0394000",1295.69211602691,3.88229803046099,0.273556590913966,14.1919374616055,1.02779379177566e-45,1.2539977993395e-42
"Os08g0205100",876.912442912742,3.37220204259059,0.238399708893918,14.1451600685097,2.00060918503913e-45,2.33921228960701e-42
"Os07g0125500",8337.49115069992,4.55490014145546,0.322308738407628,14.1321025422985,2.40844616322045e-45,2.70343264929169e-42
"Os02g0687900",7629.28651207586,2.57898472884789,0.1831817043761,14.0788335692785,5.12486934527051e-45,5.53131090642234e-42
"Os12g0508400",2659.45444581207,-3.76012061664036,0.268513969405765,-14.0034450533866,1.48494329539103e-44,1.54335106500974e-41
"Os09g0392666",1789.3568294013,4.48659132737663,0.321398824124427,13.9595760488522,2.75065172042704e-44,2.75674244923656e-41
"Os02g0222100",973.449501995423,3.15312849435344,0.226189490125481,13.9402077992405,3.60887959081345e-44,3.49215100266921e-41
"Os08g0526200",543.775256911657,-7.69602066780779,0.553088531397514,-13.9146271002255,5.16284964360435e-44,4.82932955662751e-41
"Os07g0158900",1914.36656729048,-3.89424964602814,0.281576274128233,-13.8301767721191,1.67608123440029e-43,1.51723198708842e-40
"Os06g0731200",1581.5670153205,-6.08126849234712,0.442357099612624,-13.7474192178051,5.27788762987546e-43,4.62837758342391e-40
"Os07g0442800",1812.54758916751,-2.22657295756475,0.163324542310266,-13.6328130853412,2.55536884709489e-42,2.17299274506597e-39
"Os07g0115200",9603.01566603029,-16.9711972254747,1.25404387797023,-13.533176568705,9.96238836866896e-42,8.22248654122319e-39
"Os04g0688300",9383.50764294267,4.88371199499578,0.361965983454817,13.4921849516984,1.7387032838861e-41,1.38000688172553e-38
"Os05g0281400",550.093070403948,7.76034956442707,0.575230408018025,13.4908541973043,1.77037444737079e-41,1.38000688172553e-38
"Os11g0206000",6724.58285641849,-16.1332716017032,1.19946694925904,-13.4503677751766,3.06344839879244e-41,2.32341862072739e-38
"Os09g0340400",6364.58313723143,-16.1442999980933,1.20201282626895,-13.431054682008,3.97706592573864e-41,2.93695852652836e-38
"Os07g0643400",305.962405226149,-4.70725094680822,0.350819520949289,-13.4178706306616,4.75171036927162e-41,3.41903836878206e-38
"Os01g0967800",2998.70303657844,-5.80937523565379,0.434077667821548,-13.3832621816473,7.57483878320252e-41,5.31412814835572e-38
"Os11g0691800",209.656007261765,-4.46424414171692,0.334209169816842,-13.3576351126556,1.06906903989074e-40,7.3171257066863e-38
"Os01g0956500",1488.38401062184,-11.5003960211669,0.871951028756232,-13.1892682523367,1.01162412096362e-39,6.75909430535264e-37
