"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os04g0179100",125.638792818037,22.7526658221394,2.52840673271068,8.99881554964319,2.28165882710303e-19,6.00806402352771e-15
"Os05g0170300",246.519639908887,20.6233625966361,2.64065218497988,7.80995040314,5.72104941635946e-15,3.33688675932347e-11
"Os09g0437500",20064.4445492729,1.91030248729333,0.256571026843993,7.44551132990898,9.65696426587917e-14,4.23811971748551e-10
"Os10g0481500",410.234374653067,4.17591323123438,0.569529220360138,7.33221945766676,2.26371996515195e-13,8.51546773176874e-10
"Os03g0575200",2991.02617481819,3.25550400571138,0.45283682952247,7.18913258257817,6.5204234366631e-13,1.56087081758375e-09
"Os09g0444900",555.231344547337,3.15771787879805,0.467138818877407,6.75969915406825,1.38278566056897e-11,2.60082228672159e-08
"Os03g0154000",3262.83517689822,1.73430116372834,0.278290812255477,6.23197420594761,4.60593329292832e-10,7.13431973349344e-07
"Os06g0216300",4716.87347313444,1.16488491977288,0.1906226467999,6.11094714782595,9.90415648825826e-10,1.33136477862133e-06
"Os12g0555000",7874.39044738653,6.10837698551996,1.000122301649,6.10763001229796,1.01121432372879e-09,1.33136477862133e-06
"Os01g0543600",176.598418643124,6.01346687761112,0.997476340177631,6.02868121818332,1.65302975145119e-09,1.97852633705513e-06
"Os02g0577700",523.49212834118,2.45885010150129,0.408681613457089,6.01654202326737,1.78182258117654e-09,2.03995444380612e-06
"Os12g0258700",711.27871769705,5.29972047422097,0.88820879257269,5.96675074434961,2.4202469384325e-09,2.45115163010787e-06
"Os08g0140300",549.988397550658,5.32347685908677,0.904224327772754,5.88734089050592,3.9245869081909e-09,3.56352491263734e-06
"Os07g0523150",662.781080882641,25.5962018227081,4.40747322891503,5.80745485980162,6.34296449566836e-09,5.38783680967546e-06
"Os12g0151000",45.0841150747176,7.71586515908211,1.33491127372915,5.78005842854813,7.46746866014951e-09,5.95858741694112e-06
"Os01g0627701",350.079738557915,3.39119264884708,0.588459524285172,5.76283076217776,8.27147265730101e-09,6.24229590632748e-06
"Os02g0212300",97.4730382208367,9.03628043754193,1.60113031600898,5.64368830393893,1.66445294085874e-08,1.14503472226312e-05
"Os06g0314501",301.991645033956,2.76788482802599,0.490719098605463,5.64046689010441,1.69589678597379e-08,1.14503472226312e-05
"Os02g0574800",98.1473534681507,5.01084581330597,0.890326712209507,5.62809780341269,1.82207773053261e-08,1.19320729813604e-05
"Os10g0456000",7761.42328069944,1.38475133907222,0.247494817013984,5.59507207374764,2.20530137641498e-08,1.38261894866094e-05
"Os01g0557100",3537.36131419978,1.07267407181864,0.192354741679402,5.57654083519536,2.45348341149811e-08,1.50244477189694e-05
"Os08g0453200",16140.926721172,0.793468003375166,0.143515427857894,5.52879934386456,3.22429878327414e-08,1.80643054385478e-05
