"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Os04g0431700",982.968399807882,-4.31686046792941,0.241300727929555,-17.8899604032263,1.4120866223125e-71,3.96259747953334e-67
"Os12g0609050",1859.38210845879,5.70942943209533,0.34204562760456,16.6920111567572,1.4983710101441e-62,2.10236436433319e-58
"Os10g0558700",1142.90332036703,3.81754903591588,0.229923706566349,16.6035468587675,6.56917876378592e-62,6.14480981564535e-58
"Os02g0707200",916.86643301305,4.01765048304606,0.24967235072806,16.0916916564062,2.91755372247754e-58,2.04680981400412e-54
"Os04g0194800",565.142038331144,-2.65858061635754,0.173690784289148,-15.3063999753247,6.92947296421035e-53,3.88909740643342e-49
"Os07g0643400",305.962405226149,5.14858305154744,0.33709134926386,15.2735543726972,1.14744457764215e-52,5.36659828963235e-49
"Os02g0611200",26930.0093670401,1.190416615483,0.0824421910113582,14.4394102204172,2.92332867420849e-47,1.17192070365198e-43
"Os01g0200700",4190.42128121783,4.42082330311401,0.316969433919236,13.9471596628476,3.27385833497501e-44,1.14838765745086e-40
"Os04g0320700",6546.36345209558,2.57174662556313,0.185013347863689,13.9003301937863,6.30498279684908e-44,1.96589363605754e-40
"Os12g0105600",713.920299691158,4.85323656986274,0.372245840398422,13.0377187416473,7.46575693297202e-39,2.09504071053061e-35
"Os07g0147500",11169.5118390805,8.49835152735224,0.664442356915971,12.7902013453772,1.85991418398809e-37,4.74481016646125e-34
"Os04g0326300",303.247672298618,-4.72209148221066,0.376439726430839,-12.544083821818,4.28339632034453e-36,1.00167222951257e-32
"Os04g0460900",358.491113735336,-13.2319586861682,1.06678728603662,-12.4035586656907,2.49970360817981e-35,5.39589866559552e-32
"Os11g0669100",1262.32129641773,3.15451972758817,0.256210104104663,12.3122377964435,7.78346905238984e-35,1.56014077534403e-31
"Os02g0559300",373.410646655466,-3.13840281562816,0.256030882761929,-12.2579072562368,1.52384600166472e-34,2.85081109991436e-31
"Os10g0456000",7761.42328069944,2.82597561226522,0.231058919109446,12.2305411241305,2.13511522960544e-34,3.74472522332425e-31
"Os12g0508400",2659.45444581207,3.06150311935628,0.251877540381293,12.1547285030724,5.4141352407422e-34,8.9371448897475e-31
"Os08g0293300",1315.01544530945,2.95262881406102,0.243188886392834,12.1412983046088,6.38055095004471e-34,9.9472789311197e-31
"Os03g0122000",1096.75636426648,1.80250180508843,0.148797654690722,12.1137783309486,8.92845476133531e-34,1.31868577638206e-30
"Os04g0490500",1202.22455632841,2.84225031115807,0.235353307976087,12.0765258648791,1.40532937723413e-33,1.97181764919721e-30
"Os11g0227800",646.319886111303,3.44329956220806,0.286203824717412,12.0309348262828,2.44377935264217e-33,3.26558743780213e-30
"Os02g0514500",1475.85289286846,-2.73601720349886,0.227882934395049,-12.0062400054749,3.29488025604746e-33,4.07876452842448e-30
"Os02g0583700",51907.793311189,13.3633829325699,1.1131476972266,12.0050402708146,3.34301133752987e-33,4.07876452842448e-30
"Os04g0323800",280.728623096355,-12.879337975695,1.08444542680662,-11.8764279486345,1.56931212946441e-32,1.83491820737626e-29
"Os02g0580900",1011.60676325805,3.34768590582784,0.282998942854421,11.8293230075772,2.75353590659461e-32,3.09078898443432e-29
"Os02g0668500",1514.99075495559,2.01517876652703,0.171183030421037,11.7720708739093,5.43731430676081e-32,5.86853515678161e-29
"Os01g0966900",265.354145991959,6.05789014022969,0.518320626028878,11.6875343870498,1.47609830123624e-31,1.53415816775153e-28
"Os12g0431300",3305.66753041503,5.27715851031743,0.452961842394565,11.6503378792791,2.28550832861483e-31,2.29056909705677e-28
"Os12g0431100",3038.29038615177,4.77255205942442,0.410121988582104,11.6369085108661,2.67538131072677e-31,2.58884656350396e-28
"Os03g0608700",870.628127280777,13.8845116651955,1.20195850978034,11.5515731634804,7.24814101946386e-31,6.77991110960649e-28
"Os04g0226400",1046.71109146069,14.1502576972356,1.225804658689,11.5436481636228,7.9481261748335e-31,7.19484892639283e-28
"Os10g0546100",2727.03888730117,-3.35033404116291,0.290723429628219,-11.5241280878096,9.97165376183794e-31,8.74451712077176e-28
"Os02g0160500",440.482249077631,5.3765705443619,0.467246074777928,11.506935712445,1.21727159726095e-30,1.00705600536016e-27
"Os03g0757000",485.313810294291,2.04393855954204,0.177629807393591,11.5067318347821,1.22015195574961e-30,1.00705600536016e-27
"Os02g0208500",757.346169229349,-3.4938955206202,0.303952389501374,-11.4948776232746,1.39979259411732e-30,1.12231370788915e-27
"Os04g0269600",2935.18908681106,2.93814690582883,0.255805773047322,11.4858506546891,1.55398309461014e-30,1.2113298222486e-27
"Os02g0523100",1569.74684504094,6.84777378902763,0.596448223669324,11.4809190760942,1.64522271203424e-30,1.24779026338121e-27
"Os01g0138800",1588.49628760865,1.81246671111382,0.157975114252964,11.473115368105,1.80058037398001e-30,1.32968122249019e-27
"Os08g0185701",286.340040278585,5.34199008192841,0.469719112481477,11.3727330653148,5.71689895839867e-30,4.11352868129702e-27
"Os01g0299300",244.39609705749,3.54526955860226,0.312320589856868,11.351379555946,7.30016986024076e-30,5.12143416545191e-27
"Os04g0442800",1447.05233717248,13.2574699033848,1.18362436743665,11.2007409344708,4.04337489038043e-29,2.76744356521599e-26
"Os05g0318600",1754.56251307817,4.72100113448115,0.423099797955291,11.1581266578152,6.53541829390853e-29,4.36659305151574e-26
"Os04g0219000",364.781646292489,4.74179610596253,0.432052784303917,10.9750388800342,5.03841771213227e-28,3.28809483343851e-25
"Os02g0692700",2543.033006543,1.82450212718737,0.166296195059066,10.9714003170027,5.24536658564167e-28,3.34535175286992e-25
"Os06g0673800",523.848986962974,3.09133079510424,0.281887374674962,10.9665457655519,5.53465967682315e-28,3.45141377446692e-25
"Os03g0142900",3092.88018710426,0.983803423709179,0.0898450521862204,10.9500011382938,6.64467813805846e-28,4.05354256326514e-25
"Os04g0504000",2184.95272103504,2.92108282227108,0.267683465260477,10.9124514636294,1.0050879115451e-27,6.00101637739967e-25
"Os04g0554600",2557.09296837394,-4.3952137594311,0.403809030523054,-10.8843869928763,1.36816008781471e-27,7.99860591338675e-25
"Os12g0194100",288.522091821128,3.45599745513832,0.319747991403176,10.8085040346058,3.13744624602598e-27,1.79679625624451e-24
