gene_id,DC1,DC2,DC3,DN1,DN2,DN3,PC1,PC2,PC3,PC4,PN3,PNC1,PNC2
Os01g0100100,2571,2973,1647,2565,2474,1390,3468,3153,2760,2517,1164,2213,2154
Os01g0100200,202,180,51,69,84,128,27,29,26,36,21,0,4
Os01g0100300,3,7,0,8,4,0,0,0,0,8,0,0,9
Os01g0100400,1215,1070,947,1017,1211,436,686,882,708,729,839,1139,1228
Os01g0100800,1600,2021,951,1244,1279,1193,2792,2858,2331,1958,1317,2023,1577
Os01g0100500,3661,3505,1716,3479,3079,1760,3975,3887,3346,3432,2184,3407,3537
Os01g0100600,1823,1986,1196,1287,1273,1531,2396,2341,2090,1910,910,1523,1440
Os01g0100650,10,0,0,0,0,0,0,0,0,0,0,18,0
Os01g0100700,15211,15026,16436,10523,15780,6636,4825,5122,6375,12613,15738,21510,16872
Os01g0100900,6374,7117,4261,5998,5083,3747,12140,10839,9401,8461,4049,5378,6068
Os01g0101150,105,191,77,134,165,84,186,119,178,99,31,110,126
Os01g0101200,1161,1083,617,670,859,1542,908,1027,480,1948,526,402,537
Os01g0101300,756,788,530,611,667,469,1154,1022,1125,1066,728,1108,690
Os01g0101800,704,804,623,648,737,263,132,159,278,440,448,640,872
Os01g0101900,6,3,0,10,16,9,0,0,0,0,0,2,10
Os01g0101600,4694,5780,2746,3657,4002,2592,8065,8614,6159,5039,2422,4274,3559
Os01g0101700,621,550,321,367,344,413,586,580,597,670,236,369,321
Os01g0102000,1127,800,582,952,916,656,297,395,323,522,275,376,344
Os01g0102400,28,16,0,0,0,0,22,10,22,0,0,0,10
Os01g0102300,682,733,228,173,194,944,826,903,639,1398,110,395,238
Os01g0102500,1715,1792,1548,1536,1443,1124,948,1045,1057,1493,1320,1824,1884
Os01g0102600,1772,1331,1288,691,1097,1545,1095,1043,446,2270,602,1234,790
Os01g0102700,7556,6519,7150,6718,8709,4033,4930,5029,5023,7534,7454,9436,9320
Os01g0102800,3337,3745,2084,2858,2848,1886,3465,3379,2499,2272,1258,1887,1627
Os01g0103100,21,21,7,52,35,25,51,46,47,43,9,27,23
Os01g0102850,198,102,206,119,105,0,176,253,156,315,91,0,75
Os01g0102900,3982,3378,2371,972,852,1302,9072,8476,4492,33553,601,1514,1084
Os01g0103000,1734,2069,1839,1579,1955,801,467,531,771,1220,1974,2460,2234
Os01g0103050,57,62,32,28,74,26,9,16,19,37,34,99,33
