transcript_id,DC1,DC2,DC3,DN1,DN2,DN3,PC1,PC2,PC3,PC4,PN3,PNC1,PNC2
Os01t0100200-01,176,164,61,71,57,91,27,27,26,38,16,0,4
Os01t0100300-00,3,7,0,8,3,0,0,0,0,8,0,0,9
Os01t0100100-01,2309,2743,1557,2262,2184,1083,3115,2835,2502,2255,1044,1951,1905
Os01t0100400-01,1074,925,721,937,1012,359,624,840,633,638,758,829,1036
Os01t0100800-01,1419,1852,781,1095,1082,1039,2469,2592,2036,1653,1178,1615,1367
Os01t0100500-01,3138,3159,1453,3081,2727,1540,3521,3579,2999,3057,1920,2779,3131
Os01t0100600-01,1564,1805,1050,1158,1141,1286,2075,2132,1872,1646,817,1267,1201
Os01t0100650-00,10,0,0,0,0,0,0,0,0,0,0,17,0
Os01t0100700-01,13629,13678,13650,9389,13833,5535,4270,4665,5783,11095,12969,17092,14501
Os01t0100900-01,5787,6492,3823,5270,4589,3412,10861,9892,8566,7601,3512,4522,5369
Os01t0101150-00,83,156,79,133,146,87,173,106,148,89,24,70,109
Os01t0101200-01,1006,1005,471,575,747,1176,814,948,467,1750,439,315,467
Os01t0101300-01,640,719,454,523,625,379,1024,896,988,896,614,795,595
Os01t0101800-01,633,730,526,575,611,258,125,149,248,415,374,515,752
Os01t0101900-00,6,3,0,7,16,9,0,0,0,0,0,2,10
Os01t0101600-01,983,3522,2145,3104,589,932,5507,6463,4237,680,437,590,346
Os01t0101600-02,3169,1793,243,214,3047,1284,1816,1503,1390,3806,1726,2830,2726
Os01t0101700-00,581,480,221,318,325,263,488,525,511,567,188,345,273
Os01t0102000-01,1009,728,457,848,788,562,259,376,268,471,211,277,313
Os01t0102400-01,28,16,0,0,0,0,22,9,20,0,0,0,10
Os01t0102300-01,615,622,190,147,176,821,735,824,579,1215,104,324,195
Os01t0102500-01,1482,1571,1348,1344,1210,929,804,911,965,1300,1087,1435,1517
Os01t0102600-01,1566,1204,1073,610,877,1342,980,958,388,2024,465,959,710
Os01t0102600-02,8,3,4,1,6,2,2,3,1,8,4,7,1
Os01t0102700-01,6612,5877,5796,5728,7582,3303,4240,4536,4500,6437,6351,7207,7815
Os01t0102800-01,3030,3413,1877,2573,2492,1572,3103,3112,2219,2024,1111,1383,1370
Os01t0103100-01,21,21,7,48,30,25,42,46,47,28,9,15,20
Os01t0102850-00,174,102,88,108,64,0,159,219,142,277,59,0,62
Os01t0102900-01,3562,3056,1970,859,739,1082,8025,7702,4055,29391,511,1223,922
Os01t0103000-01,1581,1872,1426,1414,1715,694,409,467,671,1023,1615,2105,1870
Os01t0103050-01,49,43,30,26,64,6,8,15,16,25,33,95,30
Os01t0103400-01,0,0,0,0,0,0,0,0,0,0,0,0,0
Os01t0103650-00,0,0,0,0,0,0,0,0,0,0,0,0,0
Os01t0103600-02,5185,4802,3845,4345,5070,2694,4983,4882,4695,5771,4952,5780,5900
Os01t0103600-01,1129,1137,490,958,1056,254,1976,2115,1195,1364,479,974,1055
Os01t0103700-01,92,67,0,40,27,22,446,491,382,356,318,363,366
Os01t0103800-01,1976,1974,1376,1617,1970,825,1625,1692,1588,2033,1855,2822,2230
Os01t0104200-01,243,237,600,170,213,195,394,375,370,499,244,433,394
Os01t0104350-00,500,344,242,319,374,574,235,149,155,256,123,181,139
Os01t0103900-01,275,340,246,231,308,52,113,89,91,200,273,291,219
Os01t0104000-02,671,947,1024,685,387,252,579,997,635,1272,0,699,173
Os01t0104000-01,1459,1041,315,1099,1433,968,1444,850,1119,739,1159,712,1277
Os01t0104100-01,4229,4130,2659,2636,3164,3092,4020,3994,4245,3901,2225,2939,2809
Os01t0104400-01,9572,8698,6636,8620,9741,4188,7621,7778,8644,10953,12157,12786,14471
Os01t0104600-01,1223,1248,494,1222,812,593,2169,1965,1286,1605,622,888,1313
Os01t0104800-01,3906,5206,3353,3414,3762,1524,3811,3696,3324,3641,2939,3826,4054
Os01t0105400-01,0,0,0,0,0,0,2070,2209,1769,1990,1837,2279,2104
Os01t0105300-01,6,1,0,2,3,1,15,18,11,26,0,30,19
Os01t0104900-01,1224,1095,314,987,815,728,2630,3390,3627,3646,2496,4184,4137
Os01t0104900-02,13,2,257,6,27,33,30,20,8,17,37,4,13
Os01t0105700-01,225,212,199,159,212,121,43,70,126,93,160,158,144
Os01t0105800-01,79,86,107,58,52,26,160,121,131,147,84,153,152
Os01t0105900-01,3115,3436,2982,3724,2784,1617,8776,8487,8926,7621,3691,4287,4808
Os01t0106300-01,0,0,0,12,5,19,0,43,17,99,190,95,94
