GO_id,term,k,n,K,N,FoldEnrichment,pvalue,FDR
GO:0006749,glutathione metabolic process,16,713,45,29909,14.91488234377435,3.133977216078588e-15,2.1624442790942257e-13
GO:0009765,"photosynthesis, light harvesting",4,713,15,29909,11.186161757830762,0.00035448245160568366,0.012229644580396087
GO:0005975,carbohydrate metabolic process,19,713,409,29909,1.9486895482773636,0.004731668786881237,0.09250628969818646
GO:0030001,metal ion transport,4,713,30,29909,5.593080878915381,0.005362683460764433,0.09250628969818646
GO:0045944,positive regulation of transcription by RNA polymerase II,4,713,33,29909,5.084618980832165,0.0075700550384015025,0.10446675952994074
GO:1990961,xenobiotic detoxification by transmembrane export across the plasma membrane,4,713,37,29909,4.534930442363823,0.0113393442141311,0.13040245846250764
GO:0015979,photosynthesis,4,713,47,29909,3.570051624839605,0.025441756867192557,0.19505346931514295
GO:0006508,proteolysis,15,713,354,29909,1.7774621437231084,0.023735420260199872,0.19505346931514295
GO:0071577,zinc ion transmembrane transport,2,713,10,29909,8.389621318373072,0.022494590491632924,0.19505346931514295
GO:0009691,cytokinin biosynthetic process,2,713,13,29909,6.453554860286978,0.03719851134541478,0.25666972828336193
GO:0034599,cellular response to oxidative stress,2,713,15,29909,5.593080878915381,0.04853654361053128,0.2889212476685572
GO:0009873,ethylene-activated signaling pathway,3,713,35,29909,3.595551993588459,0.05024717350757517,0.2889212476685572
GO:0046274,lignin catabolic process,2,713,18,29909,4.660900732429484,0.06750752938312891,0.3583091944181458
GO:0009909,regulation of flower development,2,713,19,29909,4.415590167564774,0.07429273829384454,0.36615706730537667
GO:0005992,trehalose biosynthetic process,2,713,23,29909,3.6476614427709007,0.10336536685771305,0.47548068754548006
GO:0015749,monosaccharide transmembrane transport,2,713,24,29909,3.495675549322113,0.11105202309031335,0.47891184957697636
GO:0016114,terpenoid biosynthetic process,2,713,25,29909,3.3558485273492282,0.11888205591806185,0.4825212857850745
GO:0006979,response to oxidative stress,6,713,145,29909,1.7357837210427045,0.13378696727556777,0.4858579337902198
GO:0006096,glycolytic process,3,713,53,29909,2.3744211278414356,0.1323749241408755,0.4858579337902198
GO:0006352,DNA-templated transcription initiation,2,713,28,29909,2.996293327990383,0.14312285478641582,0.49377384901313454
GO:0015995,chlorophyll biosynthetic process,1,713,11,29909,3.813464235624123,0.2331391325432457,0.574521433767284
GO:0009073,aromatic amino acid family biosynthetic process,1,713,11,29909,3.813464235624123,0.2331391325432457,0.574521433767284
GO:0009627,systemic acquired resistance,1,713,10,29909,4.194810659186536,0.21440508887516288,0.574521433767284
GO:0006520,amino acid metabolic process,2,713,34,29909,2.467535681874433,0.19410149178326713,0.574521433767284
GO:0007166,cell surface receptor signaling pathway,4,713,92,29909,1.8238307213854503,0.1771252985345129,0.574521433767284
GO:0072488,ammonium transmembrane transport,1,713,10,29909,4.194810659186536,0.21440508887516288,0.574521433767284
GO:0005985,sucrose metabolic process,1,713,10,29909,4.194810659186536,0.21440508887516288,0.574521433767284
GO:0042546,cell wall biogenesis,2,713,37,29909,2.2674652211819115,0.22037830826618693,0.574521433767284
GO:0006086,pyruvate decarboxylation to acetyl-CoA,1,713,12,29909,3.495675549322113,0.251427038038485,0.5782821874885155
GO:0009690,cytokinin metabolic process,1,713,12,29909,3.495675549322113,0.251427038038485,0.5782821874885155
GO:0006887,exocytosis,2,713,42,29909,1.9975288853269215,0.2646779427215187,0.5891218725091867
GO:0006259,DNA metabolic process,1,713,14,29909,2.996293327990383,0.28670662214401377,0.6139576538195606
GO:0016310,phosphorylation,1,713,15,29909,2.7965404394576905,0.3037187706106908,0.6139576538195606
GO:0006913,nucleocytoplasmic transport,1,713,16,29909,2.621756661991585,0.3203257324275968,0.6139576538195606
GO:0006334,nucleosome assembly,1,713,15,29909,2.7965404394576905,0.3037187706106908,0.6139576538195606
GO:0006535,cysteine biosynthetic process from serine,1,713,16,29909,2.621756661991585,0.3203257324275968,0.6139576538195606
GO:0006952,defense response,8,713,281,29909,1.1942521449641383,0.35571842922789687,0.6633668004520238
GO:0048544,recognition of pollen,3,713,93,29909,1.3531647287698503,0.38262245219349866,0.6691521524118605
GO:0010411,xyloglucan metabolic process,1,713,21,29909,1.9975288853269215,0.39761214853458376,0.6691521524118605
GO:0042254,ribosome biogenesis,1,713,20,29909,2.097405329593268,0.3828910579774531,0.6691521524118605
GO:0045893,positive regulation of DNA-templated transcription,1,713,21,29909,1.9975288853269215,0.39761214853458376,0.6691521524118605
GO:0006413,translational initiation,1,713,24,29909,1.7478377746610565,0.4397044543505179,0.6700491747208677
GO:0042744,hydrogen peroxide catabolic process,3,713,106,29909,1.1872105639207178,0.4649272415242149,0.6700491747208677
