GO_id,term,k,n,K,N,FoldEnrichment,pvalue,FDR
GO:0006412,translation,224,6072,292,29909,3.7786380782211633,3.586980524189535e-96,6.348955527815477e-94
GO:0007018,microtubule-based movement,39,6072,48,29909,4.002151268115942,2.0852526432260938e-19,1.845448589255093e-17
GO:0006260,DNA replication,34,6072,55,29909,3.044993412384717,2.290045793314778e-11,1.351127018055719e-09
GO:0042744,hydrogen peroxide catabolic process,49,6072,106,29909,2.2769859174186498,1.7059367853164982e-09,7.548770275025505e-08
GO:0051603,proteolysis involved in protein catabolic process,20,6072,28,29909,3.5183747412008284,7.753054540443167e-09,2.744581307316881e-07
GO:0006979,response to oxidative stress,59,6072,145,29909,2.0042603698150927,1.595001749011707e-08,4.0330758510724586e-07
GO:0007017,microtubule-based process,17,6072,22,29909,3.806241765480896,1.5150032147088208e-08,4.0330758510724586e-07
GO:0005975,carbohydrate metabolic process,128,6072,409,29909,1.5415470748733213,8.646181903834116e-08,1.912967746223298e-06
GO:0006270,DNA replication initiation,10,6072,10,29909,4.925724637681159,1.1823115410266812e-07,2.325212697352473e-06
GO:0006414,translational elongation,16,6072,23,29909,3.426591052299937,4.588867738212441e-07,8.122295896636021e-06
GO:0006457,protein folding,39,6072,99,29909,1.940436978480457,1.01857552008409e-05,0.00016389806095898539
GO:0000226,microtubule cytoskeleton organization,14,6072,22,29909,3.134552042160738,1.201377528293451e-05,0.00017720318542328403
GO:0006364,rRNA processing,23,6072,48,29909,2.360243055555556,1.669027204990279e-05,0.00021681754638256314
GO:0042254,ribosome biogenesis,13,6072,20,29909,3.2017210144927537,1.7847745262674748e-05,0.00021681754638256314
GO:0044772,mitotic cell cycle phase transition,10,6072,13,29909,3.7890189520624302,1.837436833750535e-05,0.00021681754638256314
GO:0006096,glycolytic process,24,6072,53,29909,2.2305168170631666,3.580952956869484e-05,0.00039144821408043136
GO:0006913,nucleocytoplasmic transport,11,6072,16,29909,3.3864356884057973,3.759672112636911e-05,0.00039144821408043136
GO:0006099,tricarboxylic acid cycle,16,6072,30,29909,2.6270531400966184,6.281848344913274e-05,0.0006177150872498053
GO:0030042,actin filament depolymerization,8,6072,10,29909,3.940579710144928,8.698753167629431e-05,0.0008103575319317944
GO:0019953,sexual reproduction,9,6072,13,29909,3.410117056856187,0.00018676621313269207,0.0016528809862243249
GO:0006633,fatty acid biosynthetic process,20,6072,46,29909,2.1416194076874606,0.00030911433625521533,0.0026053922627225293
GO:0009725,response to hormone,12,6072,23,29909,2.5699432892249527,0.0006854960829299456,0.005515127576300017
GO:0098542,defense response to other organism,20,6072,49,29909,2.010499852114759,0.0008305645348644804,0.006391735768304914
GO:0007010,cytoskeleton organization,7,6072,10,29909,3.448007246376812,0.000948647146427821,0.006863988445787641
GO:0015986,proton motive force-driven ATP synthesis,10,6072,18,29909,2.736513687600644,0.0010265387501580533,0.006863988445787641
GO:0048367,shoot system development,14,6072,30,29909,2.298671497584541,0.0010470490849506572,0.006863988445787641
GO:0048364,root development,14,6072,30,29909,2.298671497584541,0.0010470490849506572,0.006863988445787641
GO:0006284,base-excision repair,11,6072,21,29909,2.5801414768806072,0.0011011195877282487,0.006960648822425
GO:0042546,cell wall biogenesis,16,6072,37,29909,2.130043086564826,0.001299698438150856,0.007932642191472467
