GO_id,term,k,n,K,N,FoldEnrichment,pvalue,FDR
GO:0015979,photosynthesis,36,6830,47,29909,3.3541758823712655,8.447097050355494e-15,1.486689080862567e-12
GO:0009765,"photosynthesis, light harvesting",15,6830,15,29909,4.379062957540263,2.3666049790179195e-10,2.082612381535769e-08
GO:0006952,defense response,102,6830,281,29909,1.5895531020252915,2.070299276285998e-07,1.2145755754211189e-05
GO:0048544,recognition of pollen,38,6830,93,29909,1.7892945417906456,7.781891605686935e-05,0.003424032306502251
GO:0006749,glutathione metabolic process,22,6830,45,29909,2.140875223686351,0.00011374963119141025,0.0040039870179376415
GO:0071577,zinc ion transmembrane transport,8,6830,10,29909,3.503250366032211,0.00021099311044351035,0.0061891312396763045
GO:0006914,autophagy,10,6830,15,29909,2.9193753050268425,0.0003626026257006049,0.00911686601761521
GO:0070588,calcium ion transmembrane transport,7,6830,11,29909,2.7866764275256224,0.004400924927613744,0.09682034840750237
GO:0016114,terpenoid biosynthetic process,12,6830,25,29909,2.1019502196193267,0.004984446554373972,0.09747362150775767
GO:0016567,protein ubiquitination,49,6830,154,29909,1.3933382137628112,0.006459185722356968,0.11368166871348263
GO:0015031,protein transport,20,6830,53,29909,1.652476587751043,0.010311784586585986,0.1512395072699278
GO:0006508,proteolysis,100,6830,354,29909,1.237023434333408,0.00989502857128444,0.1512395072699278
GO:0043328,protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway,6,6830,10,29909,2.627437774524158,0.012541669242972087,0.15766669905450623
GO:2000031,regulation of salicylic acid mediated signaling pathway,6,6830,10,29909,2.627437774524158,0.012541669242972087,0.15766669905450623
GO:0006470,protein dephosphorylation,34,6830,104,29909,1.4316167361189323,0.013570188130790355,0.15922354073460684
GO:0016311,dephosphorylation,11,6830,25,29909,1.9267877013177157,0.015379947230598016,0.16917941953657817
GO:0006887,exocytosis,16,6830,42,29909,1.6682144600153384,0.01868632274697315,0.1934584002039573
GO:0007166,cell surface receptor signaling pathway,30,6830,92,29909,1.4279553122413904,0.020233689841174914,0.19784052289148804
GO:0015995,chlorophyll biosynthetic process,6,6830,11,29909,2.388579795021962,0.02231056242140208,0.20666626242982977
GO:0030001,metal ion transport,12,6830,30,29909,1.7516251830161056,0.02645198872823744,0.23277750080848947
GO:0006811,monoatomic ion transport,11,6830,27,29909,1.7840626864052926,0.028643270244348644,0.24005788395263625
GO:0000160,phosphorelay signal transduction system,12,6830,31,29909,1.6951211448542955,0.03441466127545255,0.2753172902036204
GO:0016310,phosphorylation,7,6830,15,29909,2.04356271351879,0.03605639259002731,0.2759097867758612
