locus,symbol,description,Dharia_log2FC,Dharia_padj,PTT1_log2FC,PTT1_padj
Os03g0701700,ERS1,Ethylene receptor (OsERS1),-0.24,0.621,0.27,0.124
Os04g0169100,ETR2,Ethylene receptor (OsETR2/ERL1),0.18,0.804,0.42,0.0262
Os02g0820900,ETR3,Ethylene receptor (OsETR3/OsERS4),-0.05,0.960,-0.03,0.858
Os07g0259100,ETR4,Ethylene receptor (OsETR4/PK3),NA,NA,NA,NA
Os02g0527600,OsCTR2,Raf-like MAPKKK; functional homolog of Arabidopsis CTR1,0.16,0.774,0.26,0.122
Os08g0103000,,Similar to serine/threonine-protein kinase CTR1,0.40,0.416,0.87,0.0000114
Os09g0566550,,Similar to serine/threonine protein kinase 1 (CTR1),0.02,1.000,0.77,0.000528
Os06g0605900,OsEBF1,F-box protein; degrades EIN3/EIL1 via 26S proteasome,0.31,0.376,1.02,1.33e-12
Os02g0200900,OsEBF2,F-box protein; degrades EIN3/EIL1 via 26S proteasome,-0.05,0.935,0.13,0.287
Os03g0324200,EIL1/EIN3,Master TF of ethylene signal transduction pathway,0.20,0.532,1.15,3.76e-23
Os03g0294700,OsETOL1,E3 ubiquitin ligase; ethylene-overproducer1-like; negative regulator,-0.12,0.903,-0.49,0.0124
Os07g0178100,,Similar to ETO1-like protein 1 (negative regulator),-0.29,0.116,-0.35,0.000272
Os11g0585900,,Similar to ETO1-like protein 1 (negative regulator),0.12,0.558,0.37,0.000000264
