locus,symbol,description,go_hits,Dharia_log2FC,Dharia_padj,Dharia_sig,PTT1_log2FC,PTT1_padj,PTT1_sig
Os01g0172600,,Similar to electron carrier/ heme binding / peroxidase.,GO:0006979;GO:0042744,0.0787365445801613,0.975776236659917,False,-0.338063681541247,0.27596638549887,False
Os01g0205900,prx2,Similar to Class III peroxidase GvPx2b (Fragment).,GO:0006979;GO:0042744,-0.49023393291767,0.826397505494972,False,-2.55152637216993,4.59031353934057e-06,True
Os01g0263000,PRX5,Similar to Peroxidase.,GO:0006979;GO:0042744,-0.719966633924285,0.142306907773836,False,-1.30512092226728,1.13011358033992e-07,True
Os01g0263300,ATP6,Similar to Peroxidase 72 precursor (EC 1.11.1.7) (Atperox P72) (PRXR8) (ATP6a).,GO:0006979;GO:0042744,-0.586087144752129,0.282375806273348,False,-1.77901812846803,2.02108911137578e-13,True
Os01g0270300,prx4,Similar to Cationic peroxidase isozyme 40K precursor.,GO:0006979;GO:0042744,-0.279642284012052,0.787676052801652,False,-1.64703245144386,2.3699474551126604e-09,True
Os01g0293900,prx8,Similar to peroxidase 1.,GO:0006979,,,False,,,False
Os01g0294500,,Similar to Class III peroxidase 9.,GO:0006979;GO:0042744,-2.0899033396491,0.0002269721630641,True,-2.64045749930692,2.7946950432888e-13,True
Os01g0294700,PRX11,"Haem peroxidase, plant/fungal/bacterial family protein.",GO:0006979;GO:0042744,-0.655301384719209,0.505682385803665,False,-1.5575166986776,2.75974638413662e-05,True
Os01g0326000,prx12,Similar to Peroxidase (Fragment).,GO:0006979;GO:0042744,0.435382093061328,0.707284204171438,False,-1.78075909455498,5.8472094031051e-07,True
Os01g0326100,RP-2 or RP-4,Similar to Peroxidase component PR-2 and/or 4 (Fragment).,GO:0006979,1.05531642629213,0.789546431304804,False,5.71399187748417,1.58773002069664e-05,True
Os01g0326300,POD2,"Haem peroxidase, plant/fungal/bacterial family protein.",GO:0006979;GO:0042744,,,False,,,False
Os01g0327000,prx14,Similar to Class III peroxidase 14.,GO:0006979,-0.525035000797653,0.642531172590107,False,-1.12102150661544,0.0031430657116601,True
Os01g0327100,prx15,Haem peroxidase family protein.,GO:0006979;GO:0042744,1.11661189366169,0.400980187171487,False,3.03428597734941,9.59066103282358e-09,True
Os01g0327400,PRX16,Similar to Peroxidase (Fragment).,GO:0006979;GO:0042744,-0.656773163712049,0.228733649952815,False,0.618281789953357,0.0193683542821918,False
Os01g0378100,,Plant peroxidase domain containing protein.,GO:0006979,0.0022919723278049,,False,2.68217555613126,0.112764575454008,False
Os01g0543100,PRX17,Similar to Peroxidase 72 precursor (EC 1.11.1.7) (Atperox P72) (PRXR8) (ATP6a).,GO:0006979;GO:0042744,-0.133000080023431,0.894764722208214,False,-0.151465680098886,0.535967702506321,False
